image_id,mode,selected_method,applied_method,face_count,anonymised_path,side_by_side_path
synthetic_face,blur,blur,blur,1,app/examples/anonymised/synthetic_face__blur.jpg,app/examples/side_by_side/synthetic_face__blur.jpg
synthetic_face,pixelate,pixelate,pixelate,1,app/examples/anonymised/synthetic_face__pixelate.jpg,app/examples/side_by_side/synthetic_face__pixelate.jpg
synthetic_face,solid_mask,solid_mask,solid_mask,1,app/examples/anonymised/synthetic_face__solid_mask.jpg,app/examples/side_by_side/synthetic_face__solid_mask.jpg
synthetic_face,layered,layered,layered,1,app/examples/anonymised/synthetic_face__layered.jpg,app/examples/side_by_side/synthetic_face__layered.jpg
synthetic_face,objective_profile_balanced,layered,layered,1,app/examples/anonymised/synthetic_face__objective_profile_balanced.jpg,app/examples/side_by_side/synthetic_face__objective_profile_balanced.jpg
synthetic_noface,blur,copy,copy,0,app/examples/anonymised/synthetic_noface__blur.jpg,app/examples/side_by_side/synthetic_noface__blur.jpg
synthetic_noface,pixelate,copy,copy,0,app/examples/anonymised/synthetic_noface__pixelate.jpg,app/examples/side_by_side/synthetic_noface__pixelate.jpg
synthetic_noface,solid_mask,copy,copy,0,app/examples/anonymised/synthetic_noface__solid_mask.jpg,app/examples/side_by_side/synthetic_noface__solid_mask.jpg
synthetic_noface,layered,copy,copy,0,app/examples/anonymised/synthetic_noface__layered.jpg,app/examples/side_by_side/synthetic_noface__layered.jpg
synthetic_noface,objective_profile_balanced,copy,copy,0,app/examples/anonymised/synthetic_noface__objective_profile_balanced.jpg,app/examples/side_by_side/synthetic_noface__objective_profile_balanced.jpg
synthetic_screen_text,blur,copy,copy,0,app/examples/anonymised/synthetic_screen_text__blur.jpg,app/examples/side_by_side/synthetic_screen_text__blur.jpg
synthetic_screen_text,pixelate,copy,copy,0,app/examples/anonymised/synthetic_screen_text__pixelate.jpg,app/examples/side_by_side/synthetic_screen_text__pixelate.jpg
synthetic_screen_text,solid_mask,copy,copy,0,app/examples/anonymised/synthetic_screen_text__solid_mask.jpg,app/examples/side_by_side/synthetic_screen_text__solid_mask.jpg
synthetic_screen_text,layered,copy,copy,0,app/examples/anonymised/synthetic_screen_text__layered.jpg,app/examples/side_by_side/synthetic_screen_text__layered.jpg
synthetic_screen_text,objective_profile_balanced,copy,copy,0,app/examples/anonymised/synthetic_screen_text__objective_profile_balanced.jpg,app/examples/side_by_side/synthetic_screen_text__objective_profile_balanced.jpg
synthetic_face,generative_fallback_demo,nullface,layered,1,app/examples/anonymised/synthetic_face__nullface_fallback_layered.jpg,app/examples/side_by_side/synthetic_face__nullface_fallback_layered.jpg
