relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed,image_id,face_count_category,face_scale_category,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,text_screen_risk,outdoor_vehicle_scene,category_review_status,condition_label,category_notes
day3/members/stevan/11_0546.webp,11_0546.webp,webp,194554,0a0f4954b049ab0dd66c14b5b742e6b4bae64ec9afba67b0fcc5f7605d7fbd73,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,11_0546,42,day3/members/stevan/11_0546.webp,multi_face,mixed_scale,no,pending_review,yes,no,yes,medium,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|downward_egocentric|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/stevan/14_0277.webp,14_0277.webp,webp,271276,6c1c49fe8388598b18e9b0559a84608e0b2ad4cef7c61e05a122059168daa318,3840,2160,stevan,egocentric,stevan,day1,ok,valid,day1,14_0277,42,day1/members/stevan/14_0277.webp,multi_face,medium,no,pending_review,yes,no,no,high,not_assessed_in_face_review,no,pending,multi_face|medium|downward_egocentric|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/tien/20_0668.webp,20_0668.webp,webp,197188,6872e789051c46a8db6c133e7664a208ae29da89c576816819cbe8481b41f822,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,20_0668,42,day3/members/tien/20_0668.webp,multi_face,small,yes,pending_review,yes,no,no,medium,not_assessed_in_face_review,no,pending,multi_face|small|edge_or_partial|downward_egocentric|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/florian/14_0019.webp,14_0019.webp,webp,152034,ef9a62c606e87247065423f89a14e8e8713e05800bc7427abe9eef3f8f801343,3840,2160,florian,egocentric,florian,day4,ok,valid,day4,14_0019,42,day4/members/florian/14_0019.webp,multi_face,medium,yes,pending_review,yes,yes,no,low,not_assessed_in_face_review,no,pending,multi_face|medium|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/allie/11_0226.webp,11_0226.webp,webp,126758,c1629df9bbed06e08d3854a8c8797c95ec613bc9248048b5ef4bc573d72c2d27,3840,2160,allie,egocentric,allie,day4,ok,valid,day4,11_0226,42,day4/members/allie/11_0226.webp,multi_face,mixed_scale,yes,pending_review,yes,yes,no,low,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/onanong/14_0475.webp,14_0475.webp,webp,370792,45b648b3722a00b94e1437f52cf8d17205abb39c92f008df17f57b7aaec767f7,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,14_0475,42,day1/members/onanong/14_0475.webp,multi_face,mixed_scale,yes,pending_review,yes,no,no,high,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|downward_egocentric|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/tien/11_0172.webp,11_0172.webp,webp,163110,75a2341051a5e68a8c81ec92bf0b593dee975409908509a84379a8da52faaa82,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,11_0172,42,day3/members/tien/11_0172.webp,multi_face,small,no,pending_review,yes,yes,yes,low,not_assessed_in_face_review,no,pending,multi_face|small|downward_egocentric|motion_blur_or_low_sharpness|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/werner/14_0127.webp,14_0127.webp,webp,179058,b9e095f1d03fa719c0e2ac9ea10371b460e4a00090f9bbfa02ef4c224afef4e8,3840,2160,werner,egocentric,werner,day4,ok,valid,day4,14_0127,42,day4/members/werner/14_0127.webp,multi_face,small,no,pending_review,yes,no,no,medium,not_assessed_in_face_review,no,pending,multi_face|small|downward_egocentric|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/werner/10_0612.webp,10_0612.webp,webp,202876,0537cb1c38cedfd450613e5fc2c58a2894d4c0a30ba920fe5095ad1a00219ee9,3840,2160,werner,egocentric,werner,day4,ok,valid,day4,10_0612,42,day4/members/werner/10_0612.webp,multi_face,medium,no,pending_review,yes,no,no,medium,not_assessed_in_face_review,no,pending,multi_face|medium|downward_egocentric|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/luca/14_0397.webp,14_0397.webp,webp,269240,2746a1c1ab4ef173b544c7773bd523b8cec47ac614ed126e5d69ca560614fbe6,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,14_0397,42,day1/members/luca/14_0397.webp,multi_face,mixed_scale,yes,pending_review,yes,no,no,high,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|downward_egocentric|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/luca/18_0653.webp,18_0653.webp,webp,120334,35ddaee35f5e5e3d24a5d02f9d933506e19c7a33853f1fba841ba2b7d7f2a81c,3840,2160,luca,egocentric,luca,day3,ok,valid,day3,18_0653,42,day3/members/luca/18_0653.webp,multi_face,small,yes,pending_review,yes,yes,yes,low,not_assessed_in_face_review,no,pending,multi_face|small|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
