relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed,image_id,face_count_category,face_scale_category,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,text_screen_risk,outdoor_vehicle_scene,category_review_status,condition_label,category_notes
day1/members/luca/11_0360.webp,11_0360.webp,webp,249284,8fb45535ffb70cb4e1db96e98dfc0c996c81fe25238b11dceb6a97a1a5aa9cc3,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,11_0360,42,day1/members/luca/11_0360.webp,multi_face,mixed_scale,yes,pending_review,no,no,no,high,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/tien/20_0668.webp,20_0668.webp,webp,197188,6872e789051c46a8db6c133e7664a208ae29da89c576816819cbe8481b41f822,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,20_0668,42,day3/members/tien/20_0668.webp,multi_face,small,yes,pending_review,yes,no,no,medium,not_assessed_in_face_review,no,pending,multi_face|small|edge_or_partial|downward_egocentric|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/werner/18_0414.webp,18_0414.webp,webp,223056,284c969a1dfc21c7a93ec25c005024320575e1bda769b4bf60a506ff6cd7be32,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,18_0414,42,day1/members/werner/18_0414.webp,multi_face,medium,yes,pending_review,no,no,yes,medium,not_assessed_in_face_review,no,pending,multi_face|medium|edge_or_partial|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/florian/14_0019.webp,14_0019.webp,webp,152034,ef9a62c606e87247065423f89a14e8e8713e05800bc7427abe9eef3f8f801343,3840,2160,florian,egocentric,florian,day4,ok,valid,day4,14_0019,42,day4/members/florian/14_0019.webp,multi_face,medium,yes,pending_review,yes,yes,no,low,not_assessed_in_face_review,no,pending,multi_face|medium|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day2/members/klaus/13_0438.webp,13_0438.webp,webp,229386,631400785789d59154bba010c404cf9d3825b377571b6ef75529b9dc0e0c63c6,3840,2160,klaus,egocentric,klaus,day2,ok,valid,day2,13_0438,42,day2/members/klaus/13_0438.webp,multi_face,medium,yes,pending_review,no,no,no,medium,not_assessed_in_face_review,no,pending,multi_face|medium|edge_or_partial|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/allie/11_0226.webp,11_0226.webp,webp,126758,c1629df9bbed06e08d3854a8c8797c95ec613bc9248048b5ef4bc573d72c2d27,3840,2160,allie,egocentric,allie,day4,ok,valid,day4,11_0226,42,day4/members/allie/11_0226.webp,multi_face,mixed_scale,yes,pending_review,yes,yes,no,low,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/onanong/14_0475.webp,14_0475.webp,webp,370792,45b648b3722a00b94e1437f52cf8d17205abb39c92f008df17f57b7aaec767f7,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,14_0475,42,day1/members/onanong/14_0475.webp,multi_face,mixed_scale,yes,pending_review,yes,no,no,high,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|downward_egocentric|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/stevan/13_0254.webp,13_0254.webp,webp,247270,7b3bbdbeed9211a483c1be8a20c539dfe99e39d08c905ea17be3b4ef40057489,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,13_0254,42,day3/members/stevan/13_0254.webp,multi_face,small,yes,pending_review,no,no,no,high,not_assessed_in_face_review,no,pending,multi_face|small|edge_or_partial|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/florian/20_0331.webp,20_0331.webp,webp,240670,a62892b7f9366c5f6cb6472245f0256491d053fbb110e320ab9da68079380623,3840,2160,florian,egocentric,florian,day3,ok,valid,day3,20_0331,42,day3/members/florian/20_0331.webp,multi_face,small,yes,pending_review,no,no,no,high,not_assessed_in_face_review,no,pending,multi_face|small|edge_or_partial|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/werner/08_0207.webp,08_0207.webp,webp,218776,111aaa6f8a172a4a081969e5935f3374423a73565994712c90e515cae8e15061,3840,2160,werner,egocentric,werner,day4,ok,valid,day4,08_0207,42,day4/members/werner/08_0207.webp,multi_face,mixed_scale,yes,pending_review,no,no,no,high,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/luca/14_0397.webp,14_0397.webp,webp,269240,2746a1c1ab4ef173b544c7773bd523b8cec47ac614ed126e5d69ca560614fbe6,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,14_0397,42,day1/members/luca/14_0397.webp,multi_face,mixed_scale,yes,pending_review,yes,no,no,high,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|downward_egocentric|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/onanong/10_0022.webp,10_0022.webp,webp,234012,4db8d287e16dec4296480416d83d7254316bef7f02fd82de859630ee2b6e24da,3840,2160,onanong,egocentric,onanong,day4,ok,valid,day4,10_0022,42,day4/members/onanong/10_0022.webp,multi_face,mixed_scale,yes,pending_review,no,no,no,high,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/luca/18_0653.webp,18_0653.webp,webp,120334,35ddaee35f5e5e3d24a5d02f9d933506e19c7a33853f1fba841ba2b7d7f2a81c,3840,2160,luca,egocentric,luca,day3,ok,valid,day3,18_0653,42,day3/members/luca/18_0653.webp,multi_face,small,yes,pending_review,yes,yes,yes,low,not_assessed_in_face_review,no,pending,multi_face|small|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day2/members/cathal/19_0702.webp,19_0702.webp,webp,161322,8cf8c6799bc26b7bbb5b55825773b4490c309bfe326f8772d306f7d1365d1f3f,3840,2160,cathal,egocentric,cathal,day2,ok,valid,day2,19_0702,42,day2/members/cathal/19_0702.webp,multi_face,mixed_scale,yes,pending_review,no,yes,yes,medium,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|motion_blur_or_low_sharpness|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
