relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed,image_id,face_count_category,face_scale_category,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,text_screen_risk,outdoor_vehicle_scene,category_review_status,condition_label,category_notes
day3/members/stevan/11_0546.webp,11_0546.webp,webp,194554,0a0f4954b049ab0dd66c14b5b742e6b4bae64ec9afba67b0fcc5f7605d7fbd73,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,11_0546,42,day3/members/stevan/11_0546.webp,multi_face,mixed_scale,no,pending_review,yes,no,yes,medium,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|downward_egocentric|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/werner/18_0414.webp,18_0414.webp,webp,223056,284c969a1dfc21c7a93ec25c005024320575e1bda769b4bf60a506ff6cd7be32,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,18_0414,42,day1/members/werner/18_0414.webp,multi_face,medium,yes,pending_review,no,no,yes,medium,not_assessed_in_face_review,no,pending,multi_face|medium|edge_or_partial|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/tien/11_0172.webp,11_0172.webp,webp,163110,75a2341051a5e68a8c81ec92bf0b593dee975409908509a84379a8da52faaa82,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,11_0172,42,day3/members/tien/11_0172.webp,multi_face,small,no,pending_review,yes,yes,yes,low,not_assessed_in_face_review,no,pending,multi_face|small|downward_egocentric|motion_blur_or_low_sharpness|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/luca/18_0673.webp,18_0673.webp,webp,180362,2230508db425ba67b1d0fedd18f2c689e12a6bb61d9846dae217b29610d71f84,3840,2160,luca,egocentric,luca,day3,ok,valid,day3,18_0673,42,day3/members/luca/18_0673.webp,multi_face,small,no,pending_review,no,no,yes,medium,not_assessed_in_face_review,no,pending,multi_face|small|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/luca/18_0653.webp,18_0653.webp,webp,120334,35ddaee35f5e5e3d24a5d02f9d933506e19c7a33853f1fba841ba2b7d7f2a81c,3840,2160,luca,egocentric,luca,day3,ok,valid,day3,18_0653,42,day3/members/luca/18_0653.webp,multi_face,small,yes,pending_review,yes,yes,yes,low,not_assessed_in_face_review,no,pending,multi_face|small|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day2/members/cathal/19_0702.webp,19_0702.webp,webp,161322,8cf8c6799bc26b7bbb5b55825773b4490c309bfe326f8772d306f7d1365d1f3f,3840,2160,cathal,egocentric,cathal,day2,ok,valid,day2,19_0702,42,day2/members/cathal/19_0702.webp,multi_face,mixed_scale,yes,pending_review,no,yes,yes,medium,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|motion_blur_or_low_sharpness|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/luca/18_0523.webp,18_0523.webp,webp,142718,a220d91e998f2c7a50fa138533e4a90c4d0fbe54e068c9406dfb301ad1173ce6,3840,2160,luca,egocentric,luca,day3,ok,valid,day3,18_0523,42,day3/members/luca/18_0523.webp,multi_face,small,no,pending_review,yes,yes,yes,medium,not_assessed_in_face_review,no,pending,multi_face|small|downward_egocentric|motion_blur_or_low_sharpness|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/tien/20_0160.webp,20_0160.webp,webp,113198,160bd8ceb3af837ecf6b2bf3bbb00f912a9d7457f5b9f479704f34465241c921,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,20_0160,42,day3/members/tien/20_0160.webp,multi_face,small,yes,pending_review,yes,yes,yes,low,not_assessed_in_face_review,no,pending,multi_face|small|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/luca/08_0019.webp,08_0019.webp,webp,95830,553353a07d2c35de13a716565da3d5e653e2ea9d6916dfd13bbdde924e635caf,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,08_0019,42,day1/members/luca/08_0019.webp,no_face,none,no,pending_review,no,yes,yes,low,not_assessed_in_face_review,no,pending,no_face|motion_blur_or_low_sharpness|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day2/members/klaus/17_0578.webp,17_0578.webp,webp,278688,31ae358003976f98a058801fd15c0b4338a6eb88bf4ddf276b5a8c7386bfcda6,3840,2160,klaus,egocentric,klaus,day2,ok,valid,day2,17_0578,42,day2/members/klaus/17_0578.webp,single_face,medium,no,pending_review,no,no,yes,high,not_assessed_in_face_review,no,pending,single_face|medium|low_light_or_dim|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/klaus/19_0367.webp,19_0367.webp,webp,103854,02eb84a776ac23c944d352ce5ff45e348dd8bf0e2c02e778519642dcde804c6d,3840,2160,klaus,egocentric,klaus,day3,ok,valid,day3,19_0367,42,day3/members/klaus/19_0367.webp,single_face,very_small_or_distant,no,pending_review,no,yes,yes,low,not_assessed_in_face_review,no,pending,single_face|very_small_or_distant|motion_blur_or_low_sharpness|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/luca/13_0260.webp,13_0260.webp,webp,523960,102742791138cb4582fc55549d0ecb5ceb22fdc3d4b4e96628e47e015bba8ecc,3840,2160,luca,egocentric,luca,day3,ok,valid,day3,13_0260,42,day3/members/luca/13_0260.webp,single_face,medium,yes,pending_review,no,no,yes,high,not_assessed_in_face_review,no,pending,single_face|medium|edge_or_partial|low_light_or_dim|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/allie/12_0583.webp,12_0583.webp,webp,134512,11aa0d127a34a3b983d778480e57f77dae6958817f9c9ce2d7975bba7e773fc8,3840,2160,allie,egocentric,allie,day3,ok,valid,day3,12_0583,42,day3/members/allie/12_0583.webp,single_face,medium,no,pending_review,no,no,yes,low,not_assessed_in_face_review,no,pending,single_face|medium|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/klaus/11_0714.webp,11_0714.webp,webp,189154,054638bc709e0dd4b21dcde26b97e32733834e7757d5903f0e309618168a816b,3840,2160,klaus,egocentric,klaus,day4,ok,valid,day4,11_0714,42,day4/members/klaus/11_0714.webp,no_face,none,no,pending_review,no,no,yes,medium,not_assessed_in_face_review,no,pending,no_face|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/klaus/18_0264.webp,18_0264.webp,webp,210160,a2dea40ce2bc5ddfd3e4d45f97f1a42e278b1c950a04dcc34f92b963ac79f85a,3840,2160,klaus,egocentric,klaus,day3,ok,valid,day3,18_0264,42,day3/members/klaus/18_0264.webp,multi_face,small,no,pending_review,no,no,yes,medium,not_assessed_in_face_review,no,pending,multi_face|small|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
