relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed,image_id,manual_review_status,manual_face_count,review_method,reviewed_face_boxes_json,face_count_category,face_scale_category,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,text_screen_risk,outdoor_vehicle_scene,condition_label,category_notes,category_review_status
day3/members/stevan/11_0546.webp,11_0546.webp,webp,194554,0a0f4954b049ab0dd66c14b5b742e6b4bae64ec9afba67b0fcc5f7605d7fbd73,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,11_0546,42,day3/members/stevan/11_0546.webp,yes,4,manual reviewer-app verification by the project reviewers,"[{""x1"":2383,""y1"":296,""x2"":2522,""y2"":469},{""x1"":1480,""y1"":852,""x2"":1655,""y2"":1079},{""x1"":2962,""y1"":1329,""x2"":3205,""y2"":1657},{""x1"":1780,""y1"":413,""x2"":1888,""y2"":525}]",multi_face,mixed_scale,no,,yes,no,yes,medium,not_assessed_in_face_review,no,multi_face|mixed_scale|downward_egocentric|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day1/members/luca/11_0360.webp,11_0360.webp,webp,249284,8fb45535ffb70cb4e1db96e98dfc0c996c81fe25238b11dceb6a97a1a5aa9cc3,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,11_0360,42,day1/members/luca/11_0360.webp,yes,4,manual reviewer-app verification by the project reviewers,"[{""x1"":780,""y1"":479,""x2"":988,""y2"":722},{""x1"":3371,""y1"":625,""x2"":3673,""y2"":1052},{""x1"":2155,""y1"":603,""x2"":2201,""y2"":677},{""x1"":0,""y1"":1220,""x2"":66,""y2"":1449}]",multi_face,mixed_scale,yes,,no,no,no,high,not_assessed_in_face_review,no,multi_face|mixed_scale|edge_or_partial|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day3/members/tien/15_0003.webp,15_0003.webp,webp,216220,d61c90f3366c67326ae62739d02d712c772740b5bcbb0f1afe7b392a8db2f7c4,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,15_0003,42,day3/members/tien/15_0003.webp,yes,0,manual reviewer-app verification by the project reviewers,[],no_face,none,no,,no,no,no,low,not_assessed_in_face_review,yes,no_face|outdoor_or_vehicle|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day2/members/bjorn/17_0341.webp,17_0341.webp,webp,356208,0f1dcc2757facbf659d55e85ce84ae0178831bacb70073d60aeaf96990022f9f,3840,2160,bjorn,egocentric,bjorn,day2,ok,valid,day2,17_0341,42,day2/members/bjorn/17_0341.webp,yes,0,manual reviewer-app verification by the project reviewers,[],no_face,none,no,,no,no,no,high,not_assessed_in_face_review,no,no_face|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day1/members/stevan/14_0277.webp,14_0277.webp,webp,271276,6c1c49fe8388598b18e9b0559a84608e0b2ad4cef7c61e05a122059168daa318,3840,2160,stevan,egocentric,stevan,day1,ok,valid,day1,14_0277,42,day1/members/stevan/14_0277.webp,yes,4,manual reviewer-app verification by the project reviewers,"[{""x1"":1418,""y1"":1056,""x2"":1617,""y2"":1299},{""x1"":1021,""y1"":1122,""x2"":1195,""y2"":1353},{""x1"":2166,""y1"":1202,""x2"":2402,""y2"":1468},{""x1"":3098,""y1"":1335,""x2"":3496,""y2"":1870}]",multi_face,medium,no,pending_review,yes,no,no,high,not_assessed_in_face_review,no,multi_face|medium|downward_egocentric|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day3/members/werner/16_0642.webp,16_0642.webp,webp,200048,0b736994722e7d201d6a074cd8bbdf115421825a0c8981865bd3e499e7775bfb,3840,2160,werner,egocentric,werner,day3,ok,valid,day3,16_0642,42,day3/members/werner/16_0642.webp,yes,1,manual reviewer-app verification by the project reviewers,"[{""x1"":897,""y1"":768,""x2"":1011,""y2"":870}]",single_face,very_small_or_distant,no,pending_review,no,no,no,medium,not_assessed_in_face_review,no,single_face|very_small_or_distant|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day3/members/tien/20_0668.webp,20_0668.webp,webp,197188,6872e789051c46a8db6c133e7664a208ae29da89c576816819cbe8481b41f822,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,20_0668,42,day3/members/tien/20_0668.webp,yes,5,manual reviewer-app verification by the project reviewers,"[{""x1"":3259,""y1"":856,""x2"":3398,""y2"":1058},{""x1"":35,""y1"":1829,""x2"":278,""y2"":2101},{""x1"":2604,""y1"":1057,""x2"":2762,""y2"":1257},{""x1"":1250,""y1"":1608,""x2"":1393,""y2"":1796},{""x1"":1736,""y1"":1322,""x2"":1922,""y2"":1536}]",multi_face,small,yes,pending_review,yes,no,no,medium,not_assessed_in_face_review,no,multi_face|small|edge_or_partial|downward_egocentric|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day1/members/werner/18_0414.webp,18_0414.webp,webp,223056,284c969a1dfc21c7a93ec25c005024320575e1bda769b4bf60a506ff6cd7be32,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,18_0414,42,day1/members/werner/18_0414.webp,yes,4,manual reviewer-app verification by the project reviewers,"[{""x1"":479,""y1"":104,""x2"":777,""y2"":490},{""x1"":2859,""y1"":183,""x2"":3068,""y2"":458},{""x1"":1832,""y1"":233,""x2"":2107,""y2"":558},{""x1"":3662,""y1"":639,""x2"":3836,""y2"":994}]",multi_face,medium,yes,pending_review,no,no,yes,medium,not_assessed_in_face_review,no,multi_face|medium|edge_or_partial|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day1/members/klaus/08_0415.webp,08_0415.webp,webp,176846,e4f61a46441d98b32529c0f9a73ff3b9dfbf0f9fe29b2674c092067549a599ad,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,08_0415,42,day1/members/klaus/08_0415.webp,yes,0,manual reviewer-app verification by the project reviewers,[],no_face,none,no,pending_review,no,yes,no,low,not_assessed_in_face_review,no,no_face|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day4/members/florian/14_0019.webp,14_0019.webp,webp,152034,ef9a62c606e87247065423f89a14e8e8713e05800bc7427abe9eef3f8f801343,3840,2160,florian,egocentric,florian,day4,ok,valid,day4,14_0019,42,day4/members/florian/14_0019.webp,yes,6,manual reviewer-app verification by the project reviewers,"[{""x1"":3138,""y1"":636,""x2"":3319,""y2"":857},{""x1"":906,""y1"":185,""x2"":1088,""y2"":385},{""x1"":2150,""y1"":301,""x2"":2379,""y2"":537},{""x1"":1557,""y1"":153,""x2"":1725,""y2"":345},{""x1"":2688,""y1"":516,""x2"":2907,""y2"":723},{""x1"":3621,""y1"":1515,""x2"":3837,""y2"":1908}]",multi_face,medium,yes,pending_review,yes,yes,no,low,not_assessed_in_face_review,no,multi_face|medium|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day1/members/allie/15_0148.webp,15_0148.webp,webp,153564,70d290df9532d1a99ae21b62ff39a4bd2c718ea54bacfe68431c32eb1cd9c3b3,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,15_0148,42,day1/members/allie/15_0148.webp,yes,0,manual reviewer-app verification by the project reviewers,[],no_face,none,no,,no,yes,no,low,not_assessed_in_face_review,no,no_face|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day2/members/klaus/13_0438.webp,13_0438.webp,webp,229386,631400785789d59154bba010c404cf9d3825b377571b6ef75529b9dc0e0c63c6,3840,2160,klaus,egocentric,klaus,day2,ok,valid,day2,13_0438,42,day2/members/klaus/13_0438.webp,yes,3,manual reviewer-app verification by the project reviewers,"[{""x1"":3064,""y1"":165,""x2"":3338,""y2"":513},{""x1"":1995,""y1"":90,""x2"":2263,""y2"":424},{""x1"":85,""y1"":325,""x2"":401,""y2"":737}]",multi_face,medium,yes,pending_review,no,no,no,medium,not_assessed_in_face_review,no,multi_face|medium|edge_or_partial|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day4/members/allie/11_0226.webp,11_0226.webp,webp,126758,c1629df9bbed06e08d3854a8c8797c95ec613bc9248048b5ef4bc573d72c2d27,3840,2160,allie,egocentric,allie,day4,ok,valid,day4,11_0226,42,day4/members/allie/11_0226.webp,yes,6,manual reviewer-app verification by the project reviewers,"[{""x1"":186,""y1"":1283,""x2"":620,""y2"":1809},{""x1"":765,""y1"":1264,""x2"":861,""y2"":1384},{""x1"":1493,""y1"":1209,""x2"":1607,""y2"":1350},{""x1"":2147,""y1"":1242,""x2"":2286,""y2"":1382},{""x1"":2754,""y1"":978,""x2"":3012,""y2"":1176},{""x1"":3453,""y1"":753,""x2"":3768,""y2"":1077}]",multi_face,mixed_scale,yes,pending_review,yes,yes,no,low,not_assessed_in_face_review,no,multi_face|mixed_scale|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day1/members/onanong/14_0475.webp,14_0475.webp,webp,370792,45b648b3722a00b94e1437f52cf8d17205abb39c92f008df17f57b7aaec767f7,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,14_0475,42,day1/members/onanong/14_0475.webp,yes,8,manual reviewer-app verification by the project reviewers,"[{""x1"":3533,""y1"":1204,""x2"":3792,""y2"":1535},{""x1"":614,""y1"":700,""x2"":765,""y2"":889},{""x1"":2985,""y1"":1176,""x2"":3128,""y2"":1337},{""x1"":1695,""y1"":940,""x2"":1801,""y2"":1074},{""x1"":0,""y1"":638,""x2"":85,""y2"":853},{""x1"":2350,""y1"":1094,""x2"":2482,""y2"":1264},{""x1"":3525,""y1"":1537,""x2"":3802,""y2"":2125},{""x1"":1299,""y1"":921,""x2"":1482,""y2"":1086}]",multi_face,mixed_scale,yes,pending_review,yes,no,no,high,not_assessed_in_face_review,no,multi_face|mixed_scale|edge_or_partial|downward_egocentric|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day3/members/stevan/13_0254.webp,13_0254.webp,webp,247270,7b3bbdbeed9211a483c1be8a20c539dfe99e39d08c905ea17be3b4ef40057489,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,13_0254,42,day3/members/stevan/13_0254.webp,yes,2,manual reviewer-app verification by the project reviewers,"[{""x1"":1794,""y1"":182,""x2"":1994,""y2"":442},{""x1"":635,""y1"":0,""x2"":1211,""y2"":275}]",multi_face,small,yes,pending_review,no,no,no,high,not_assessed_in_face_review,no,multi_face|small|edge_or_partial|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day3/members/tien/11_0172.webp,11_0172.webp,webp,163110,75a2341051a5e68a8c81ec92bf0b593dee975409908509a84379a8da52faaa82,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,11_0172,42,day3/members/tien/11_0172.webp,yes,4,manual reviewer-app verification by the project reviewers,"[{""x1"":3084,""y1"":1022,""x2"":3293,""y2"":1336},{""x1"":2542,""y1"":1387,""x2"":2694,""y2"":1557},{""x1"":1869,""y1"":1401,""x2"":2007,""y2"":1554},{""x1"":1412,""y1"":990,""x2"":1639,""y2"":1253}]",multi_face,small,no,pending_review,yes,yes,yes,low,not_assessed_in_face_review,no,multi_face|small|downward_egocentric|motion_blur_or_low_sharpness|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day4/members/werner/14_0127.webp,14_0127.webp,webp,179058,b9e095f1d03fa719c0e2ac9ea10371b460e4a00090f9bbfa02ef4c224afef4e8,3840,2160,werner,egocentric,werner,day4,ok,valid,day4,14_0127,42,day4/members/werner/14_0127.webp,yes,5,manual reviewer-app verification by the project reviewers,"[{""x1"":1286,""y1"":1566,""x2"":1480,""y2"":1817},{""x1"":1902,""y1"":1370,""x2"":2038,""y2"":1524},{""x1"":316,""y1"":1512,""x2"":453,""y2"":1687},{""x1"":2905,""y1"":1334,""x2"":3020,""y2"":1475},{""x1"":3420,""y1"":1283,""x2"":3562,""y2"":1439}]",multi_face,small,no,pending_review,yes,no,no,medium,not_assessed_in_face_review,no,multi_face|small|downward_egocentric|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
day1/members/cathal/15_0700.webp,15_0700.webp,webp,244386,d1645cd1c4840c399a8de68f9a1d17dc3b9241533a1ce37a3dbf5724074fccc0,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,15_0700,42,day1/members/cathal/15_0700.webp,yes,1,manual reviewer-app verification by the project reviewers,"[{""x1"":3328,""y1"":1034,""x2"":3395,""y2"":1138}]",single_face,very_small_or_distant,no,pending_review,no,no,no,medium,not_assessed_in_face_review,no,single_face|very_small_or_distant|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.,reviewed
