relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed,image_id,face_count_category,face_scale_category,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,text_screen_risk,outdoor_vehicle_scene,category_review_status,condition_label,category_notes
day1/members/stevan/14_0277.webp,14_0277.webp,webp,271276,6c1c49fe8388598b18e9b0559a84608e0b2ad4cef7c61e05a122059168daa318,3840,2160,stevan,egocentric,stevan,day1,ok,valid,day1,14_0277,42,day1/members/stevan/14_0277.webp,multi_face,medium,no,pending_review,yes,no,no,high,not_assessed_in_face_review,no,pending,multi_face|medium|downward_egocentric|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/werner/18_0414.webp,18_0414.webp,webp,223056,284c969a1dfc21c7a93ec25c005024320575e1bda769b4bf60a506ff6cd7be32,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,18_0414,42,day1/members/werner/18_0414.webp,multi_face,medium,yes,pending_review,no,no,yes,medium,not_assessed_in_face_review,no,pending,multi_face|medium|edge_or_partial|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/florian/14_0019.webp,14_0019.webp,webp,152034,ef9a62c606e87247065423f89a14e8e8713e05800bc7427abe9eef3f8f801343,3840,2160,florian,egocentric,florian,day4,ok,valid,day4,14_0019,42,day4/members/florian/14_0019.webp,multi_face,medium,yes,pending_review,yes,yes,no,low,not_assessed_in_face_review,no,pending,multi_face|medium|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day2/members/klaus/13_0438.webp,13_0438.webp,webp,229386,631400785789d59154bba010c404cf9d3825b377571b6ef75529b9dc0e0c63c6,3840,2160,klaus,egocentric,klaus,day2,ok,valid,day2,13_0438,42,day2/members/klaus/13_0438.webp,multi_face,medium,yes,pending_review,no,no,no,medium,not_assessed_in_face_review,no,pending,multi_face|medium|edge_or_partial|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/werner/10_0612.webp,10_0612.webp,webp,202876,0537cb1c38cedfd450613e5fc2c58a2894d4c0a30ba920fe5095ad1a00219ee9,3840,2160,werner,egocentric,werner,day4,ok,valid,day4,10_0612,42,day4/members/werner/10_0612.webp,multi_face,medium,no,pending_review,yes,no,no,medium,not_assessed_in_face_review,no,pending,multi_face|medium|downward_egocentric|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/luca/08_0407.webp,08_0407.webp,webp,97420,07f8bdaa49140f3511abfa715d0022f12e5241e8577a1094d957331b8fbd5d19,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,08_0407,42,day1/members/luca/08_0407.webp,single_face,medium,yes,pending_review,yes,yes,no,low,not_assessed_in_face_review,no,pending,single_face|medium|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day2/members/klaus/17_0578.webp,17_0578.webp,webp,278688,31ae358003976f98a058801fd15c0b4338a6eb88bf4ddf276b5a8c7386bfcda6,3840,2160,klaus,egocentric,klaus,day2,ok,valid,day2,17_0578,42,day2/members/klaus/17_0578.webp,single_face,medium,no,pending_review,no,no,yes,high,not_assessed_in_face_review,no,pending,single_face|medium|low_light_or_dim|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/werner/08_0205.webp,08_0205.webp,webp,352202,dbc54698c16fd5634c47363a40bac9c05e943b5309bf3f1d2359eba7daa11c31,3840,2160,werner,egocentric,werner,day3,ok,valid,day3,08_0205,42,day3/members/werner/08_0205.webp,single_face,medium,no,pending_review,no,no,no,high,not_assessed_in_face_review,no,pending,single_face|medium|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/luca/13_0260.webp,13_0260.webp,webp,523960,102742791138cb4582fc55549d0ecb5ceb22fdc3d4b4e96628e47e015bba8ecc,3840,2160,luca,egocentric,luca,day3,ok,valid,day3,13_0260,42,day3/members/luca/13_0260.webp,single_face,medium,yes,pending_review,no,no,yes,high,not_assessed_in_face_review,no,pending,single_face|medium|edge_or_partial|low_light_or_dim|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/allie/12_0583.webp,12_0583.webp,webp,134512,11aa0d127a34a3b983d778480e57f77dae6958817f9c9ce2d7975bba7e773fc8,3840,2160,allie,egocentric,allie,day3,ok,valid,day3,12_0583,42,day3/members/allie/12_0583.webp,single_face,medium,no,pending_review,no,no,yes,low,not_assessed_in_face_review,no,pending,single_face|medium|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
