relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed,image_id,face_count_category,face_scale_category,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,text_screen_risk,outdoor_vehicle_scene,category_review_status,condition_label,category_notes
day1/members/klaus/08_0415.webp,08_0415.webp,webp,176846,e4f61a46441d98b32529c0f9a73ff3b9dfbf0f9fe29b2674c092067549a599ad,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,08_0415,42,day1/members/klaus/08_0415.webp,no_face,none,no,pending_review,no,yes,no,low,not_assessed_in_face_review,no,pending,no_face|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/florian/14_0019.webp,14_0019.webp,webp,152034,ef9a62c606e87247065423f89a14e8e8713e05800bc7427abe9eef3f8f801343,3840,2160,florian,egocentric,florian,day4,ok,valid,day4,14_0019,42,day4/members/florian/14_0019.webp,multi_face,medium,yes,pending_review,yes,yes,no,low,not_assessed_in_face_review,no,pending,multi_face|medium|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/allie/15_0148.webp,15_0148.webp,webp,153564,70d290df9532d1a99ae21b62ff39a4bd2c718ea54bacfe68431c32eb1cd9c3b3,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,15_0148,42,day1/members/allie/15_0148.webp,no_face,none,no,pending_review,no,yes,no,low,not_assessed_in_face_review,no,pending,no_face|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/allie/11_0226.webp,11_0226.webp,webp,126758,c1629df9bbed06e08d3854a8c8797c95ec613bc9248048b5ef4bc573d72c2d27,3840,2160,allie,egocentric,allie,day4,ok,valid,day4,11_0226,42,day4/members/allie/11_0226.webp,multi_face,mixed_scale,yes,pending_review,yes,yes,no,low,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/tien/11_0172.webp,11_0172.webp,webp,163110,75a2341051a5e68a8c81ec92bf0b593dee975409908509a84379a8da52faaa82,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,11_0172,42,day3/members/tien/11_0172.webp,multi_face,small,no,pending_review,yes,yes,yes,low,not_assessed_in_face_review,no,pending,multi_face|small|downward_egocentric|motion_blur_or_low_sharpness|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/allie/08_0286.webp,08_0286.webp,webp,163918,89834e06ba4ec378f768ed88c25e5d0999a6d3638a3707edef2a76941abeb1da,3840,2160,allie,egocentric,allie,day4,ok,valid,day4,08_0286,42,day4/members/allie/08_0286.webp,single_face,small,no,pending_review,no,yes,no,medium,not_assessed_in_face_review,no,pending,single_face|small|motion_blur_or_low_sharpness|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day2/members/luca/13_0221.webp,13_0221.webp,webp,118900,283ace4bea983cfb8bc7f50249b8e38231ab28d51dc67cb6903962bfdc51113a,3840,2160,luca,egocentric,luca,day2,ok,valid,day2,13_0221,42,day2/members/luca/13_0221.webp,no_face,none,no,pending_review,no,yes,no,low,not_assessed_in_face_review,yes,pending,no_face|motion_blur_or_low_sharpness|outdoor_or_vehicle|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/luca/18_0653.webp,18_0653.webp,webp,120334,35ddaee35f5e5e3d24a5d02f9d933506e19c7a33853f1fba841ba2b7d7f2a81c,3840,2160,luca,egocentric,luca,day3,ok,valid,day3,18_0653,42,day3/members/luca/18_0653.webp,multi_face,small,yes,pending_review,yes,yes,yes,low,not_assessed_in_face_review,no,pending,multi_face|small|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|low_light_or_dim|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day2/members/cathal/19_0702.webp,19_0702.webp,webp,161322,8cf8c6799bc26b7bbb5b55825773b4490c309bfe326f8772d306f7d1365d1f3f,3840,2160,cathal,egocentric,cathal,day2,ok,valid,day2,19_0702,42,day2/members/cathal/19_0702.webp,multi_face,mixed_scale,yes,pending_review,no,yes,yes,medium,not_assessed_in_face_review,no,pending,multi_face|mixed_scale|edge_or_partial|motion_blur_or_low_sharpness|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/luca/18_0523.webp,18_0523.webp,webp,142718,a220d91e998f2c7a50fa138533e4a90c4d0fbe54e068c9406dfb301ad1173ce6,3840,2160,luca,egocentric,luca,day3,ok,valid,day3,18_0523,42,day3/members/luca/18_0523.webp,multi_face,small,no,pending_review,yes,yes,yes,medium,not_assessed_in_face_review,no,pending,multi_face|small|downward_egocentric|motion_blur_or_low_sharpness|low_light_or_dim|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
