relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed,image_id,face_count_category,face_scale_category,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,text_screen_risk,outdoor_vehicle_scene,category_review_status,condition_label,category_notes
day3/members/tien/15_0003.webp,15_0003.webp,webp,216220,d61c90f3366c67326ae62739d02d712c772740b5bcbb0f1afe7b392a8db2f7c4,3840,2160,tien,egocentric,tien,day3,ok,valid,day3,15_0003,42,day3/members/tien/15_0003.webp,no_face,none,no,pending_review,no,no,no,low,not_assessed_in_face_review,yes,pending,no_face|outdoor_or_vehicle|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day2/members/bjorn/17_0341.webp,17_0341.webp,webp,356208,0f1dcc2757facbf659d55e85ce84ae0178831bacb70073d60aeaf96990022f9f,3840,2160,bjorn,egocentric,bjorn,day2,ok,valid,day2,17_0341,42,day2/members/bjorn/17_0341.webp,no_face,none,no,pending_review,no,no,no,high,not_assessed_in_face_review,no,pending,no_face|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/klaus/08_0415.webp,08_0415.webp,webp,176846,e4f61a46441d98b32529c0f9a73ff3b9dfbf0f9fe29b2674c092067549a599ad,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,08_0415,42,day1/members/klaus/08_0415.webp,no_face,none,no,pending_review,no,yes,no,low,not_assessed_in_face_review,no,pending,no_face|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/allie/15_0148.webp,15_0148.webp,webp,153564,70d290df9532d1a99ae21b62ff39a4bd2c718ea54bacfe68431c32eb1cd9c3b3,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,15_0148,42,day1/members/allie/15_0148.webp,no_face,none,no,pending_review,no,yes,no,low,not_assessed_in_face_review,no,pending,no_face|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day3/members/bjorn/12_0491.webp,12_0491.webp,webp,992676,50f67dbb486a6ab2d38ac52902a28e8464acb83562ecf860003b167c57a4b5c6,3840,2160,bjorn,egocentric,bjorn,day3,ok,valid,day3,12_0491,42,day3/members/bjorn/12_0491.webp,no_face,none,no,pending_review,no,no,no,high,not_assessed_in_face_review,no,pending,no_face|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day2/members/luca/13_0221.webp,13_0221.webp,webp,118900,283ace4bea983cfb8bc7f50249b8e38231ab28d51dc67cb6903962bfdc51113a,3840,2160,luca,egocentric,luca,day2,ok,valid,day2,13_0221,42,day2/members/luca/13_0221.webp,no_face,none,no,pending_review,no,yes,no,low,not_assessed_in_face_review,yes,pending,no_face|motion_blur_or_low_sharpness|outdoor_or_vehicle|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day4/members/cathal/17_0646.webp,17_0646.webp,webp,192526,d9dd31975384dd19b2005ce14228df482db9795d0148dc87ed90415881bf9758,3840,2160,cathal,egocentric,cathal,day4,ok,valid,day4,17_0646,42,day4/members/cathal/17_0646.webp,no_face,none,no,pending_review,no,no,no,medium,not_assessed_in_face_review,no,pending,no_face|clutter_medium,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day2/members/luca/20_0597.webp,20_0597.webp,webp,247904,a051cf6cc30b250e642fd62d67fbcc25aa4b690816ef28c1d080c636a8a418ae,3840,2160,luca,egocentric,luca,day2,ok,valid,day2,20_0597,42,day2/members/luca/20_0597.webp,no_face,none,no,pending_review,no,no,no,high,not_assessed_in_face_review,no,pending,no_face|clutter_high,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/klaus/16_0178.webp,16_0178.webp,webp,128826,548db7e8bd032d2a01a41dc3fe4861622e0b40fe3d5bffce97325a394f458467,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,16_0178,42,day1/members/klaus/16_0178.webp,no_face,none,no,pending_review,no,yes,no,low,not_assessed_in_face_review,no,pending,no_face|motion_blur_or_low_sharpness|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
day1/members/onanong/18_0324.webp,18_0324.webp,webp,157448,ea457e07816b1deba27613b6592c2cffdbd6dc1c0d49770e8325cc27e2a2c160,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,18_0324,42,day1/members/onanong/18_0324.webp,no_face,none,no,pending_review,no,no,no,low,not_assessed_in_face_review,no,pending,no_face|clutter_low,Candidate labels generated from reviewed face boxes and image-quality cues. Profile/occlusion and semantic scene labels require reviewer confirmation.
