relative_path,image_id,condition_label,review_status
day2/members/bjorn/16_0250.webp,day2/members/bjorn/16_0250.webp,no_face|downward_egocentric|clutter_high,reviewed
day4/members/werner/18_0362.webp,day4/members/werner/18_0362.webp,no_face|downward_egocentric|clutter_medium,reviewed
day4/members/werner/09_0017.webp,day4/members/werner/09_0017.webp,no_face|downward_egocentric|clutter_high,reviewed
day1/members/stevan/08_0631.webp,day1/members/stevan/08_0631.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day2/members/florian/12_0020.webp,day2/members/florian/12_0020.webp,no_face|downward_egocentric|clutter_high,reviewed
day4/members/bao/08_0028.webp,day4/members/bao/08_0028.webp,no_face|downward_egocentric|clutter_medium,reviewed
day2/members/florian/19_0363.webp,day2/members/florian/19_0363.webp,no_face|downward_egocentric|clutter_medium,reviewed
day2/members/klaus/12_0264.webp,day2/members/klaus/12_0264.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day2/members/allie/13_0355.webp,day2/members/allie/13_0355.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day3/members/klaus/12_0484.webp,day3/members/klaus/12_0484.webp,no_face|downward_egocentric|outdoor_or_vehicle|clutter_high,reviewed
day3/members/florian/19_0349.webp,day3/members/florian/19_0349.webp,no_face|downward_egocentric|clutter_medium,reviewed
day3/members/cathal/11_0509.webp,day3/members/cathal/11_0509.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/bjorn/19_0429.webp,day2/members/bjorn/19_0429.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day1/members/luca/12_0168.webp,day1/members/luca/12_0168.webp,no_face|downward_egocentric|clutter_medium,reviewed
day4/members/onanong/12_0450.webp,day4/members/onanong/12_0450.webp,no_face|downward_egocentric|clutter_medium,reviewed
day3/members/klaus/15_0375.webp,day3/members/klaus/15_0375.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/tien/09_0391.webp,day3/members/tien/09_0391.webp,no_face|downward_egocentric|clutter_medium,reviewed
day1/members/florian/08_0341.webp,day1/members/florian/08_0341.webp,no_face|downward_egocentric|clutter_medium,reviewed
day3/members/klaus/12_0480.webp,day3/members/klaus/12_0480.webp,no_face|downward_egocentric|outdoor_or_vehicle|clutter_high,reviewed
day1/members/tien/08_0068.webp,day1/members/tien/08_0068.webp,no_face|downward_egocentric|clutter_high,reviewed
day1/members/florian/18_0328.webp,day1/members/florian/18_0328.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day2/members/bjorn/15_0627.webp,day2/members/bjorn/15_0627.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/klaus/15_0590.webp,day2/members/klaus/15_0590.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/allie/13_0179.webp,day2/members/allie/13_0179.webp,no_face|downward_egocentric|clutter_high,reviewed
day1/members/florian/15_0647.webp,day1/members/florian/15_0647.webp,no_face|downward_egocentric|clutter_medium,reviewed
day2/members/klaus/12_0531.webp,day2/members/klaus/12_0531.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day1/members/bjorn/15_0586.webp,day1/members/bjorn/15_0586.webp,no_face|downward_egocentric|clutter_medium,reviewed
day1/members/bjorn/09_0318.webp,day1/members/bjorn/09_0318.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day2/members/werner/20_0620.webp,day2/members/werner/20_0620.webp,no_face|downward_egocentric|clutter_high,reviewed
day1/members/florian/18_0375.webp,day1/members/florian/18_0375.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day1/members/bjorn/14_0017.webp,day1/members/bjorn/14_0017.webp,no_face|downward_egocentric|clutter_medium,reviewed
day3/members/florian/19_0282.webp,day3/members/florian/19_0282.webp,no_face|downward_egocentric|clutter_high,reviewed
day4/members/cathal/17_0524.webp,day4/members/cathal/17_0524.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/cathal/19_0198.webp,day2/members/cathal/19_0198.webp,no_face|downward_egocentric|clutter_medium,reviewed
day2/members/florian/12_0439.webp,day2/members/florian/12_0439.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/allie/10_0210.webp,day3/members/allie/10_0210.webp,no_face|downward_egocentric|clutter_medium,reviewed
day2/members/luca/17_0249.webp,day2/members/luca/17_0249.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/allie/12_0237.webp,day3/members/allie/12_0237.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day1/members/tien/19_0050.webp,day1/members/tien/19_0050.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day3/members/onanong/14_0121.webp,day3/members/onanong/14_0121.webp,no_face|downward_egocentric|clutter_medium,reviewed
day3/members/werner/12_0583.webp,day3/members/werner/12_0583.webp,no_face|downward_egocentric|outdoor_or_vehicle|clutter_medium,reviewed
day2/members/stevan/09_0309.webp,day2/members/stevan/09_0309.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/allie/08_0398.webp,day3/members/allie/08_0398.webp,no_face|downward_egocentric|clutter_high,reviewed
day4/members/cathal/09_0426.webp,day4/members/cathal/09_0426.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/bjorn/17_0110.webp,day2/members/bjorn/17_0110.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/allie/15_0703.webp,day2/members/allie/15_0703.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day2/members/florian/14_0042.webp,day2/members/florian/14_0042.webp,no_face|downward_egocentric|clutter_medium,reviewed
day4/members/florian/15_0498.webp,day4/members/florian/15_0498.webp,no_face|downward_egocentric|clutter_medium,reviewed
day1/members/tien/08_0483.webp,day1/members/tien/08_0483.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/klaus/12_0153.webp,day2/members/klaus/12_0153.webp,no_face|downward_egocentric|clutter_medium,reviewed
day3/members/onanong/15_0609.webp,day3/members/onanong/15_0609.webp,no_face|downward_egocentric|clutter_medium,reviewed
day2/members/luca/18_0188.webp,day2/members/luca/18_0188.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/tien/17_0282.webp,day3/members/tien/17_0282.webp,no_face|downward_egocentric|clutter_medium,reviewed
day3/members/cathal/15_0606.webp,day3/members/cathal/15_0606.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/onanong/16_0351.webp,day3/members/onanong/16_0351.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/onanong/17_0489.webp,day2/members/onanong/17_0489.webp,no_face|downward_egocentric|clutter_high,reviewed
day1/members/werner/13_0365.webp,day1/members/werner/13_0365.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day1/members/stevan/08_0330.webp,day1/members/stevan/08_0330.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day1/members/florian/19_0244.webp,day1/members/florian/19_0244.webp,no_face|downward_egocentric|clutter_medium,reviewed
day4/members/werner/10_0441.webp,day4/members/werner/10_0441.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day2/members/luca/17_0072.webp,day2/members/luca/17_0072.webp,no_face|downward_egocentric|clutter_high,reviewed
day4/members/bao/12_0423.webp,day4/members/bao/12_0423.webp,no_face|downward_egocentric|clutter_medium,reviewed
day2/members/onanong/16_0168.webp,day2/members/onanong/16_0168.webp,no_face|downward_egocentric|clutter_medium,reviewed
day1/members/stevan/19_0205.webp,day1/members/stevan/19_0205.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day1/members/klaus/15_0547.webp,day1/members/klaus/15_0547.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/onanong/11_0615.webp,day2/members/onanong/11_0615.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day2/members/werner/17_0039.webp,day2/members/werner/17_0039.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/bjorn/12_0222.webp,day3/members/bjorn/12_0222.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day1/members/werner/15_0198.webp,day1/members/werner/15_0198.webp,no_face|downward_egocentric|clutter_high,reviewed
day1/members/werner/15_0199.webp,day1/members/werner/15_0199.webp,no_face|downward_egocentric|clutter_medium,reviewed
day3/members/klaus/13_0098.webp,day3/members/klaus/13_0098.webp,no_face|downward_egocentric|low_light|outdoor_or_vehicle|clutter_medium,reviewed
day1/members/bjorn/19_0016.webp,day1/members/bjorn/19_0016.webp,no_face|downward_egocentric|clutter_medium,reviewed
day2/members/luca/10_0406.webp,day2/members/luca/10_0406.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/luca/18_0197.webp,day2/members/luca/18_0197.webp,no_face|downward_egocentric|clutter_medium,reviewed
day3/members/florian/19_0086.webp,day3/members/florian/19_0086.webp,no_face|downward_egocentric|clutter_high,reviewed
day4/members/cathal/15_0410.webp,day4/members/cathal/15_0410.webp,no_face|downward_egocentric|clutter_medium,reviewed
day1/members/cathal/11_0477.webp,day1/members/cathal/11_0477.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/werner/16_0476.webp,day2/members/werner/16_0476.webp,no_face|downward_egocentric|clutter_high,reviewed
day1/members/werner/14_0080.webp,day1/members/werner/14_0080.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day3/members/florian/11_0647.webp,day3/members/florian/11_0647.webp,no_face|downward_egocentric|clutter_medium,reviewed
day4/members/florian/18_0559.webp,day4/members/florian/18_0559.webp,no_face|downward_egocentric|clutter_medium,reviewed
day2/members/florian/12_0418.webp,day2/members/florian/12_0418.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/florian/15_0395.webp,day2/members/florian/15_0395.webp,no_face|downward_egocentric|clutter_medium,reviewed
day1/members/bjorn/18_0660.webp,day1/members/bjorn/18_0660.webp,no_face|downward_egocentric|clutter_medium,reviewed
day2/members/florian/15_0006.webp,day2/members/florian/15_0006.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/florian/19_0684.webp,day3/members/florian/19_0684.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day1/members/onanong/19_0481.webp,day1/members/onanong/19_0481.webp,no_face|downward_egocentric|clutter_medium,reviewed
day4/members/klaus/08_0554.webp,day4/members/klaus/08_0554.webp,no_face|downward_egocentric|clutter_medium,reviewed
day2/members/luca/12_0565.webp,day2/members/luca/12_0565.webp,no_face|downward_egocentric|clutter_high,reviewed
