relative_path,image_id,condition_label,review_status
day2/members/bjorn/16_0250.webp,day2/members/bjorn/16_0250.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/werner/08_0619.webp,day3/members/werner/08_0619.webp,multi_face|medium|clutter_high,reviewed
day4/members/florian/11_0412.webp,day4/members/florian/11_0412.webp,multi_face|small|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/klaus/18_0601.webp,day2/members/klaus/18_0601.webp,multi_face|small|low_light|clutter_high,reviewed
day1/members/cathal/12_0342.webp,day1/members/cathal/12_0342.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/florian/19_0198.webp,day3/members/florian/19_0198.webp,single_face|small|clutter_high,reviewed
day4/members/werner/09_0017.webp,day4/members/werner/09_0017.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/onanong/15_0413.webp,day3/members/onanong/15_0413.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/werner/18_0672.webp,day4/members/werner/18_0672.webp,multi_face|medium|clutter_high,reviewed
day2/members/luca/11_0416.webp,day2/members/luca/11_0416.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/stevan/08_0631.webp,day1/members/stevan/08_0631.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day4/members/cathal/13_0074.webp,day4/members/cathal/13_0074.webp,multi_face|medium|clutter_high,reviewed
day2/members/cathal/19_0687.webp,day2/members/cathal/19_0687.webp,multi_face|small|low_light|clutter_high,reviewed
day1/members/allie/09_0273.webp,day1/members/allie/09_0273.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/luca/18_0040.webp,day1/members/luca/18_0040.webp,single_face|medium|clutter_high,reviewed
day2/members/luca/10_0654.webp,day2/members/luca/10_0654.webp,multi_face|medium|clutter_high,reviewed
day2/members/florian/12_0020.webp,day2/members/florian/12_0020.webp,no_face|downward_egocentric|clutter_high,reviewed
day1/members/cathal/09_0001.webp,day1/members/cathal/09_0001.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/klaus/12_0264.webp,day2/members/klaus/12_0264.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day1/members/florian/08_0717.webp,day1/members/florian/08_0717.webp,multi_face|mixed_scale|profile_or_occluded|clutter_high,reviewed
day2/members/allie/13_0355.webp,day2/members/allie/13_0355.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day2/members/klaus/10_0629.webp,day2/members/klaus/10_0629.webp,multi_face|small|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/werner/17_0115.webp,day2/members/werner/17_0115.webp,single_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/klaus/12_0484.webp,day3/members/klaus/12_0484.webp,no_face|downward_egocentric|outdoor_or_vehicle|clutter_high,reviewed
day1/members/luca/08_0716.webp,day1/members/luca/08_0716.webp,multi_face|small|clutter_high,reviewed
day4/members/florian/10_0112.webp,day4/members/florian/10_0112.webp,multi_face|medium|clutter_high,reviewed
day1/members/florian/13_0133.webp,day1/members/florian/13_0133.webp,single_face|medium|clutter_high,reviewed
day3/members/cathal/11_0509.webp,day3/members/cathal/11_0509.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/allie/17_0399.webp,day3/members/allie/17_0399.webp,multi_face|medium|clutter_high,reviewed
day1/members/klaus/09_0114.webp,day1/members/klaus/09_0114.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/bjorn/19_0429.webp,day2/members/bjorn/19_0429.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day3/members/klaus/15_0375.webp,day3/members/klaus/15_0375.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/florian/14_0324.webp,day2/members/florian/14_0324.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/florian/12_0302.webp,day3/members/florian/12_0302.webp,single_face|small|clutter_high,reviewed
day3/members/klaus/18_0283.webp,day3/members/klaus/18_0283.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/cathal/13_0418.webp,day4/members/cathal/13_0418.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/bjorn/10_0088.webp,day1/members/bjorn/10_0088.webp,multi_face|small|edge_or_partial|profile_or_occluded|low_light|clutter_high,reviewed
day3/members/klaus/09_0194.webp,day3/members/klaus/09_0194.webp,single_face|small|clutter_high,reviewed
day3/members/klaus/12_0480.webp,day3/members/klaus/12_0480.webp,no_face|downward_egocentric|outdoor_or_vehicle|clutter_high,reviewed
day2/members/tien/19_0512.webp,day2/members/tien/19_0512.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/stevan/11_0452.webp,day2/members/stevan/11_0452.webp,multi_face|mixed_scale|profile_or_occluded|clutter_high,reviewed
day1/members/tien/08_0068.webp,day1/members/tien/08_0068.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/onanong/18_0325.webp,day2/members/onanong/18_0325.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/bjorn/15_0627.webp,day2/members/bjorn/15_0627.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/onanong/14_0193.webp,day2/members/onanong/14_0193.webp,multi_face|medium|clutter_high,reviewed
day2/members/klaus/15_0590.webp,day2/members/klaus/15_0590.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/klaus/18_0613.webp,day3/members/klaus/18_0613.webp,multi_face|small|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/luca/11_0464.webp,day4/members/luca/11_0464.webp,multi_face|large|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/allie/13_0179.webp,day2/members/allie/13_0179.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/allie/12_0148.webp,day3/members/allie/12_0148.webp,multi_face|small|low_light|clutter_high,reviewed
day2/members/luca/10_0586.webp,day2/members/luca/10_0586.webp,multi_face|small|clutter_high,reviewed
day4/members/onanong/11_0656.webp,day4/members/onanong/11_0656.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|low_light|clutter_high,reviewed
day2/members/werner/14_0229.webp,day2/members/werner/14_0229.webp,single_face|very_small_or_distant|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/allie/18_0514.webp,day3/members/allie/18_0514.webp,multi_face|small|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/werner/20_0620.webp,day2/members/werner/20_0620.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/luca/20_0211.webp,day2/members/luca/20_0211.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/klaus/09_0268.webp,day1/members/klaus/09_0268.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/tien/15_0093.webp,day1/members/tien/15_0093.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/florian/19_0282.webp,day3/members/florian/19_0282.webp,no_face|downward_egocentric|clutter_high,reviewed
day1/members/cathal/15_0298.webp,day1/members/cathal/15_0298.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/cathal/17_0524.webp,day4/members/cathal/17_0524.webp,no_face|downward_egocentric|clutter_high,reviewed
day4/members/luca/14_0018.webp,day4/members/luca/14_0018.webp,multi_face|small|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/klaus/14_0224.webp,day4/members/klaus/14_0224.webp,multi_face|large|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/bjorn/20_0121.webp,day2/members/bjorn/20_0121.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/stevan/10_0044.webp,day4/members/stevan/10_0044.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/tien/14_0211.webp,day1/members/tien/14_0211.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/stevan/18_0537.webp,day3/members/stevan/18_0537.webp,multi_face|medium|clutter_high,reviewed
day2/members/florian/12_0439.webp,day2/members/florian/12_0439.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/allie/11_0505.webp,day2/members/allie/11_0505.webp,multi_face|medium|clutter_high,reviewed
day3/members/werner/08_0594.webp,day3/members/werner/08_0594.webp,multi_face|small|clutter_high,reviewed
day2/members/klaus/18_0665.webp,day2/members/klaus/18_0665.webp,multi_face|small|low_light|clutter_high,reviewed
day4/members/allie/09_0451.webp,day4/members/allie/09_0451.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/klaus/12_0644.webp,day4/members/klaus/12_0644.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/luca/17_0249.webp,day2/members/luca/17_0249.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/werner/10_0468.webp,day3/members/werner/10_0468.webp,multi_face|small|clutter_high,reviewed
day3/members/allie/12_0237.webp,day3/members/allie/12_0237.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day2/members/allie/11_0188.webp,day2/members/allie/11_0188.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/klaus/10_0219.webp,day2/members/klaus/10_0219.webp,multi_face|small|clutter_high,reviewed
day2/members/onanong/14_0331.webp,day2/members/onanong/14_0331.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/onanong/10_0182.webp,day4/members/onanong/10_0182.webp,multi_face|small|clutter_high,reviewed
day3/members/onanong/16_0319.webp,day3/members/onanong/16_0319.webp,single_face|very_small_or_distant|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/werner/12_0480.webp,day2/members/werner/12_0480.webp,multi_face|medium|clutter_high,reviewed
day1/members/tien/19_0050.webp,day1/members/tien/19_0050.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day3/members/florian/20_0698.webp,day3/members/florian/20_0698.webp,multi_face|small|clutter_high,reviewed
day2/members/onanong/10_0518.webp,day2/members/onanong/10_0518.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/stevan/09_0309.webp,day2/members/stevan/09_0309.webp,no_face|downward_egocentric|clutter_high,reviewed
day3/members/allie/08_0398.webp,day3/members/allie/08_0398.webp,no_face|downward_egocentric|clutter_high,reviewed
day4/members/cathal/09_0426.webp,day4/members/cathal/09_0426.webp,no_face|downward_egocentric|clutter_high,reviewed
day1/members/klaus/11_0523.webp,day1/members/klaus/11_0523.webp,multi_face|small|outdoor_or_vehicle|clutter_high,reviewed
day3/members/onanong/11_0644.webp,day3/members/onanong/11_0644.webp,multi_face|medium|edge_or_partial|profile_or_occluded|low_light|clutter_high,reviewed
day2/members/bjorn/17_0110.webp,day2/members/bjorn/17_0110.webp,no_face|downward_egocentric|clutter_high,reviewed
day2/members/florian/11_0279.webp,day2/members/florian/11_0279.webp,multi_face|small|clutter_high,reviewed
day1/members/allie/12_0272.webp,day1/members/allie/12_0272.webp,multi_face|small|edge_or_partial|profile_or_occluded|low_light|clutter_high,reviewed
day1/members/luca/11_0691.webp,day1/members/luca/11_0691.webp,single_face|very_small_or_distant|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/florian/18_0329.webp,day3/members/florian/18_0329.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
