relative_path,image_id,condition_label,review_status
day4/members/allie/18_0334.webp,day4/members/allie/18_0334.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/klaus/10_0063.webp,day1/members/klaus/10_0063.webp,single_face|large|low_light|clutter_medium,reviewed
day4/members/allie/08_0040.webp,day4/members/allie/08_0040.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day2/members/allie/13_0355.webp,day2/members/allie/13_0355.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day2/members/werner/10_0252.webp,day2/members/werner/10_0252.webp,multi_face|large|clutter_medium,reviewed
day1/members/bjorn/18_0134.webp,day1/members/bjorn/18_0134.webp,multi_face|large|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day4/members/luca/10_0115.webp,day4/members/luca/10_0115.webp,single_face|large|clutter_medium,reviewed
day4/members/luca/11_0464.webp,day4/members/luca/11_0464.webp,multi_face|large|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/bjorn/12_0570.webp,day4/members/bjorn/12_0570.webp,single_face|large|clutter_medium,reviewed
day4/members/klaus/14_0224.webp,day4/members/klaus/14_0224.webp,multi_face|large|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/cathal/13_0040.webp,day1/members/cathal/13_0040.webp,single_face|large|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day1/members/klaus/16_0531.webp,day1/members/klaus/16_0531.webp,single_face|large|clutter_low,reviewed
day2/members/allie/17_0331.webp,day2/members/allie/17_0331.webp,single_face|large|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day1/members/onanong/18_0512.webp,day1/members/onanong/18_0512.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day2/members/allie/17_0093.webp,day2/members/allie/17_0093.webp,single_face|large|low_light|clutter_medium,reviewed
day2/members/allie/17_0175.webp,day2/members/allie/17_0175.webp,single_face|large|edge_or_partial|profile_or_occluded|low_light|clutter_low,reviewed
day4/members/florian/11_0305.webp,day4/members/florian/11_0305.webp,multi_face|large|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/allie/10_0446.webp,day4/members/allie/10_0446.webp,multi_face|large|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
day2/members/cathal/10_0273.webp,day2/members/cathal/10_0273.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day1/members/allie/09_0673.webp,day1/members/allie/09_0673.webp,multi_face|large|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/klaus/17_0002.webp,day1/members/klaus/17_0002.webp,single_face|large|clutter_medium,reviewed
day1/members/cathal/11_0405.webp,day1/members/cathal/11_0405.webp,single_face|large|clutter_high,reviewed
day3/members/tien/20_0575.webp,day3/members/tien/20_0575.webp,multi_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day4/members/allie/09_0293.webp,day4/members/allie/09_0293.webp,single_face|large|clutter_high,reviewed
day1/members/onanong/15_0060.webp,day1/members/onanong/15_0060.webp,multi_face|large|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
day3/members/luca/11_0673.webp,day3/members/luca/11_0673.webp,multi_face|large|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day4/members/onanong/15_0191.webp,day4/members/onanong/15_0191.webp,single_face|large|clutter_medium,reviewed
day3/members/luca/18_0524.webp,day3/members/luca/18_0524.webp,multi_face|large|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
