relative_path,image_id,condition_label,review_status
day1/members/klaus/17_0206.webp,day1/members/klaus/17_0206.webp,multi_face|medium|low_light|clutter_medium,reviewed
day2/members/klaus/18_0601.webp,day2/members/klaus/18_0601.webp,multi_face|small|low_light|clutter_high,reviewed
day4/members/allie/12_0604.webp,day4/members/allie/12_0604.webp,multi_face|small|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day4/members/allie/18_0334.webp,day4/members/allie/18_0334.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day3/members/bjorn/20_0140.webp,day3/members/bjorn/20_0140.webp,multi_face|small|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/stevan/08_0631.webp,day1/members/stevan/08_0631.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day3/members/luca/11_0126.webp,day3/members/luca/11_0126.webp,multi_face|medium|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day2/members/cathal/19_0687.webp,day2/members/cathal/19_0687.webp,multi_face|small|low_light|clutter_high,reviewed
day1/members/klaus/10_0063.webp,day1/members/klaus/10_0063.webp,single_face|large|low_light|clutter_medium,reviewed
day3/members/tien/20_0155.webp,day3/members/tien/20_0155.webp,multi_face|medium|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/bjorn/18_0340.webp,day1/members/bjorn/18_0340.webp,no_face|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/werner/18_0484.webp,day1/members/werner/18_0484.webp,multi_face|medium|low_light|clutter_medium,reviewed
day2/members/klaus/12_0264.webp,day2/members/klaus/12_0264.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day1/members/cathal/08_0346.webp,day1/members/cathal/08_0346.webp,no_face|motion_blur_or_low_sharpness|low_light|outdoor_or_vehicle|clutter_low,reviewed
day3/members/onanong/11_0042.webp,day3/members/onanong/11_0042.webp,multi_face|medium|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day3/members/allie/17_0205.webp,day3/members/allie/17_0205.webp,single_face|medium|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day3/members/bjorn/18_0629.webp,day3/members/bjorn/18_0629.webp,multi_face|mixed_scale|profile_or_occluded|low_light|clutter_medium,reviewed
day2/members/bjorn/19_0429.webp,day2/members/bjorn/19_0429.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day3/members/allie/12_0570.webp,day3/members/allie/12_0570.webp,no_face|motion_blur_or_low_sharpness|low_light|outdoor_or_vehicle|clutter_low,reviewed
day3/members/luca/18_0517.webp,day3/members/luca/18_0517.webp,multi_face|small|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day1/members/bjorn/10_0088.webp,day1/members/bjorn/10_0088.webp,multi_face|small|edge_or_partial|profile_or_occluded|low_light|clutter_high,reviewed
day3/members/klaus/20_0128.webp,day3/members/klaus/20_0128.webp,multi_face|small|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/werner/13_0606.webp,day1/members/werner/13_0606.webp,no_face|low_light|clutter_low,reviewed
day1/members/bjorn/18_0134.webp,day1/members/bjorn/18_0134.webp,multi_face|large|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day1/members/florian/18_0328.webp,day1/members/florian/18_0328.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day1/members/cathal/10_0708.webp,day1/members/cathal/10_0708.webp,multi_face|small|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day2/members/klaus/12_0531.webp,day2/members/klaus/12_0531.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day1/members/bjorn/09_0318.webp,day1/members/bjorn/09_0318.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day3/members/allie/12_0148.webp,day3/members/allie/12_0148.webp,multi_face|small|low_light|clutter_high,reviewed
day1/members/klaus/17_0521.webp,day1/members/klaus/17_0521.webp,multi_face|medium|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day4/members/onanong/11_0656.webp,day4/members/onanong/11_0656.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|low_light|clutter_high,reviewed
day1/members/florian/18_0375.webp,day1/members/florian/18_0375.webp,no_face|downward_egocentric|low_light|clutter_medium,reviewed
day4/members/luca/18_0521.webp,day4/members/luca/18_0521.webp,no_face|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/cathal/13_0040.webp,day1/members/cathal/13_0040.webp,single_face|large|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day2/members/klaus/18_0665.webp,day2/members/klaus/18_0665.webp,multi_face|small|low_light|clutter_high,reviewed
day3/members/allie/12_0237.webp,day3/members/allie/12_0237.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day2/members/allie/17_0331.webp,day2/members/allie/17_0331.webp,single_face|large|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day1/members/onanong/18_0512.webp,day1/members/onanong/18_0512.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/luca/19_0006.webp,day1/members/luca/19_0006.webp,multi_face|small|low_light|clutter_medium,reviewed
day1/members/tien/19_0050.webp,day1/members/tien/19_0050.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
