relative_path,image_id,condition_label,review_status
day1/members/stevan/10_0179.webp,day1/members/stevan/10_0179.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_low,reviewed
day3/members/werner/08_0619.webp,day3/members/werner/08_0619.webp,multi_face|medium|clutter_high,reviewed
day1/members/klaus/17_0206.webp,day1/members/klaus/17_0206.webp,multi_face|medium|low_light|clutter_medium,reviewed
day1/members/allie/18_0412.webp,day1/members/allie/18_0412.webp,multi_face|medium|motion_blur_or_low_sharpness|clutter_low,reviewed
day1/members/onanong/08_0572.webp,day1/members/onanong/08_0572.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
day1/members/cathal/12_0342.webp,day1/members/cathal/12_0342.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/onanong/15_0413.webp,day3/members/onanong/15_0413.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/luca/13_0044.webp,day1/members/luca/13_0044.webp,single_face|medium|edge_or_partial|profile_or_occluded|clutter_low,reviewed
day4/members/luca/11_0578.webp,day4/members/luca/11_0578.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
day4/members/werner/18_0672.webp,day4/members/werner/18_0672.webp,multi_face|medium|clutter_high,reviewed
day2/members/luca/11_0416.webp,day2/members/luca/11_0416.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/onanong/13_0378.webp,day4/members/onanong/13_0378.webp,multi_face|medium|clutter_medium,reviewed
day3/members/luca/11_0126.webp,day3/members/luca/11_0126.webp,multi_face|medium|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day4/members/cathal/13_0074.webp,day4/members/cathal/13_0074.webp,multi_face|medium|clutter_high,reviewed
day1/members/allie/09_0273.webp,day1/members/allie/09_0273.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/luca/13_0698.webp,day3/members/luca/13_0698.webp,single_face|medium|clutter_medium,reviewed
day1/members/luca/18_0040.webp,day1/members/luca/18_0040.webp,single_face|medium|clutter_high,reviewed
day2/members/luca/10_0654.webp,day2/members/luca/10_0654.webp,multi_face|medium|clutter_high,reviewed
day3/members/tien/20_0155.webp,day3/members/tien/20_0155.webp,multi_face|medium|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/onanong/08_0611.webp,day1/members/onanong/08_0611.webp,single_face|medium|clutter_medium,reviewed
day1/members/luca/15_0236.webp,day1/members/luca/15_0236.webp,multi_face|medium|clutter_low,reviewed
day1/members/werner/18_0484.webp,day1/members/werner/18_0484.webp,multi_face|medium|low_light|clutter_medium,reviewed
day2/members/werner/17_0115.webp,day2/members/werner/17_0115.webp,single_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/florian/10_0112.webp,day4/members/florian/10_0112.webp,multi_face|medium|clutter_high,reviewed
day1/members/florian/13_0133.webp,day1/members/florian/13_0133.webp,single_face|medium|clutter_high,reviewed
day2/members/tien/19_0311.webp,day2/members/tien/19_0311.webp,multi_face|medium|motion_blur_or_low_sharpness|clutter_low,reviewed
day3/members/onanong/11_0042.webp,day3/members/onanong/11_0042.webp,multi_face|medium|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day3/members/allie/17_0205.webp,day3/members/allie/17_0205.webp,single_face|medium|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
