relative_path,image_id,condition_label,review_status
day3/members/stevan/20_0682.webp,day3/members/stevan/20_0682.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
day3/members/tien/14_0649.webp,day3/members/tien/14_0649.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_low,reviewed
day3/members/luca/17_0412.webp,day3/members/luca/17_0412.webp,multi_face|mixed_scale|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day1/members/cathal/09_0001.webp,day1/members/cathal/09_0001.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/florian/08_0717.webp,day1/members/florian/08_0717.webp,multi_face|mixed_scale|profile_or_occluded|clutter_high,reviewed
day3/members/bjorn/18_0629.webp,day3/members/bjorn/18_0629.webp,multi_face|mixed_scale|profile_or_occluded|low_light|clutter_medium,reviewed
day1/members/klaus/09_0114.webp,day1/members/klaus/09_0114.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/cathal/12_0044.webp,day2/members/cathal/12_0044.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_low,reviewed
day2/members/florian/14_0324.webp,day2/members/florian/14_0324.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/tien/19_0512.webp,day2/members/tien/19_0512.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/stevan/11_0452.webp,day2/members/stevan/11_0452.webp,multi_face|mixed_scale|profile_or_occluded|clutter_high,reviewed
day1/members/tien/19_0392.webp,day1/members/tien/19_0392.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
day4/members/onanong/11_0656.webp,day4/members/onanong/11_0656.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|low_light|clutter_high,reviewed
day1/members/bjorn/10_0501.webp,day1/members/bjorn/10_0501.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
day4/members/stevan/10_0044.webp,day4/members/stevan/10_0044.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/allie/10_0243.webp,day2/members/allie/10_0243.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
