relative_path,image_id,condition_label,review_status
day1/members/luca/12_0078.webp,day1/members/luca/12_0078.webp,no_face|motion_blur_or_low_sharpness|clutter_low,reviewed
day3/members/tien/10_0512.webp,day3/members/tien/10_0512.webp,no_face|motion_blur_or_low_sharpness|clutter_low,reviewed
day1/members/werner/14_0048.webp,day1/members/werner/14_0048.webp,no_face|motion_blur_or_low_sharpness|clutter_low,reviewed
day1/members/allie/18_0412.webp,day1/members/allie/18_0412.webp,multi_face|medium|motion_blur_or_low_sharpness|clutter_low,reviewed
day4/members/allie/12_0604.webp,day4/members/allie/12_0604.webp,multi_face|small|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day4/members/allie/18_0334.webp,day4/members/allie/18_0334.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day3/members/bjorn/20_0140.webp,day3/members/bjorn/20_0140.webp,multi_face|small|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day3/members/luca/17_0412.webp,day3/members/luca/17_0412.webp,multi_face|mixed_scale|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day3/members/tien/20_0155.webp,day3/members/tien/20_0155.webp,multi_face|medium|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/bjorn/18_0340.webp,day1/members/bjorn/18_0340.webp,no_face|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day4/members/allie/08_0040.webp,day4/members/allie/08_0040.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day1/members/luca/08_0069.webp,day1/members/luca/08_0069.webp,no_face|motion_blur_or_low_sharpness|clutter_low,reviewed
day4/members/stevan/13_0149.webp,day4/members/stevan/13_0149.webp,multi_face|small|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day1/members/cathal/08_0346.webp,day1/members/cathal/08_0346.webp,no_face|motion_blur_or_low_sharpness|low_light|outdoor_or_vehicle|clutter_low,reviewed
day2/members/tien/19_0311.webp,day2/members/tien/19_0311.webp,multi_face|medium|motion_blur_or_low_sharpness|clutter_low,reviewed
day3/members/allie/17_0205.webp,day3/members/allie/17_0205.webp,single_face|medium|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day3/members/allie/12_0570.webp,day3/members/allie/12_0570.webp,no_face|motion_blur_or_low_sharpness|low_light|outdoor_or_vehicle|clutter_low,reviewed
day3/members/stevan/20_0090.webp,day3/members/stevan/20_0090.webp,no_face|motion_blur_or_low_sharpness|clutter_low,reviewed
day3/members/klaus/20_0128.webp,day3/members/klaus/20_0128.webp,multi_face|small|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
