relative_path,image_id,condition_label,review_status
day3/members/klaus/12_0484.webp,day3/members/klaus/12_0484.webp,no_face|downward_egocentric|outdoor_or_vehicle|clutter_high,reviewed
day1/members/cathal/08_0346.webp,day1/members/cathal/08_0346.webp,no_face|motion_blur_or_low_sharpness|low_light|outdoor_or_vehicle|clutter_low,reviewed
day3/members/allie/12_0570.webp,day3/members/allie/12_0570.webp,no_face|motion_blur_or_low_sharpness|low_light|outdoor_or_vehicle|clutter_low,reviewed
day3/members/cathal/12_0524.webp,day3/members/cathal/12_0524.webp,no_face|motion_blur_or_low_sharpness|outdoor_or_vehicle|clutter_low,reviewed
day3/members/klaus/12_0480.webp,day3/members/klaus/12_0480.webp,no_face|downward_egocentric|outdoor_or_vehicle|clutter_high,reviewed
day3/members/onanong/12_0488.webp,day3/members/onanong/12_0488.webp,single_face|very_small_or_distant|profile_or_occluded|outdoor_or_vehicle|clutter_medium,reviewed
day3/members/werner/12_0583.webp,day3/members/werner/12_0583.webp,no_face|downward_egocentric|outdoor_or_vehicle|clutter_medium,reviewed
day1/members/werner/11_0515.webp,day1/members/werner/11_0515.webp,single_face|very_small_or_distant|profile_or_occluded|motion_blur_or_low_sharpness|outdoor_or_vehicle|clutter_low,reviewed
day3/members/bjorn/12_0362.webp,day3/members/bjorn/12_0362.webp,no_face|motion_blur_or_low_sharpness|low_light|outdoor_or_vehicle|clutter_low,reviewed
day1/members/klaus/11_0523.webp,day1/members/klaus/11_0523.webp,multi_face|small|outdoor_or_vehicle|clutter_high,reviewed
day1/members/tien/09_0404.webp,day1/members/tien/09_0404.webp,no_face|motion_blur_or_low_sharpness|low_light|outdoor_or_vehicle|clutter_low,reviewed
day3/members/luca/12_0481.webp,day3/members/luca/12_0481.webp,no_face|low_light|outdoor_or_vehicle|clutter_low,reviewed
day4/members/bao/08_0595.webp,day4/members/bao/08_0595.webp,no_face|motion_blur_or_low_sharpness|outdoor_or_vehicle|clutter_low,reviewed
day1/members/stevan/11_0456.webp,day1/members/stevan/11_0456.webp,no_face|motion_blur_or_low_sharpness|outdoor_or_vehicle|clutter_low,reviewed
day3/members/klaus/13_0098.webp,day3/members/klaus/13_0098.webp,no_face|downward_egocentric|low_light|outdoor_or_vehicle|clutter_medium,reviewed
day1/members/bjorn/12_0196.webp,day1/members/bjorn/12_0196.webp,no_face|motion_blur_or_low_sharpness|outdoor_or_vehicle|clutter_low,reviewed
day3/members/allie/12_0712.webp,day3/members/allie/12_0712.webp,no_face|motion_blur_or_low_sharpness|low_light|outdoor_or_vehicle|clutter_low,reviewed
day3/members/onanong/12_0703.webp,day3/members/onanong/12_0703.webp,no_face|motion_blur_or_low_sharpness|outdoor_or_vehicle|clutter_low,reviewed
