relative_path,image_id,condition_label,review_status
day3/members/florian/19_0198.webp,day3/members/florian/19_0198.webp,single_face|small|clutter_high,reviewed
day4/members/allie/18_0334.webp,day4/members/allie/18_0334.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/luca/13_0044.webp,day1/members/luca/13_0044.webp,single_face|medium|edge_or_partial|profile_or_occluded|clutter_low,reviewed
day3/members/luca/13_0698.webp,day3/members/luca/13_0698.webp,single_face|medium|clutter_medium,reviewed
day4/members/allie/09_0480.webp,day4/members/allie/09_0480.webp,single_face|very_small_or_distant|profile_or_occluded|clutter_medium,reviewed
day1/members/luca/18_0040.webp,day1/members/luca/18_0040.webp,single_face|medium|clutter_high,reviewed
day1/members/klaus/10_0063.webp,day1/members/klaus/10_0063.webp,single_face|large|low_light|clutter_medium,reviewed
day1/members/onanong/08_0611.webp,day1/members/onanong/08_0611.webp,single_face|medium|clutter_medium,reviewed
day4/members/allie/08_0040.webp,day4/members/allie/08_0040.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day2/members/allie/13_0355.webp,day2/members/allie/13_0355.webp,no_face|downward_egocentric|low_light|clutter_high,reviewed
day2/members/werner/17_0115.webp,day2/members/werner/17_0115.webp,single_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/florian/13_0133.webp,day1/members/florian/13_0133.webp,single_face|medium|clutter_high,reviewed
day3/members/allie/17_0205.webp,day3/members/allie/17_0205.webp,single_face|medium|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day4/members/luca/14_0559.webp,day4/members/luca/14_0559.webp,single_face|small|clutter_medium,reviewed
day3/members/florian/12_0302.webp,day3/members/florian/12_0302.webp,single_face|small|clutter_high,reviewed
day4/members/luca/10_0077.webp,day4/members/luca/10_0077.webp,single_face|medium|clutter_medium,reviewed
day4/members/bjorn/08_0670.webp,day4/members/bjorn/08_0670.webp,single_face|small|clutter_medium,reviewed
day1/members/onanong/14_0049.webp,day1/members/onanong/14_0049.webp,single_face|medium|clutter_medium,reviewed
day3/members/klaus/09_0194.webp,day3/members/klaus/09_0194.webp,single_face|small|clutter_high,reviewed
day2/members/onanong/17_0009.webp,day2/members/onanong/17_0009.webp,single_face|small|edge_or_partial|profile_or_occluded|clutter_low,reviewed
day1/members/werner/19_0255.webp,day1/members/werner/19_0255.webp,single_face|medium|clutter_low,reviewed
day4/members/luca/10_0115.webp,day4/members/luca/10_0115.webp,single_face|large|clutter_medium,reviewed
day1/members/onanong/17_0468.webp,day1/members/onanong/17_0468.webp,single_face|small|clutter_medium,reviewed
day2/members/werner/14_0229.webp,day2/members/werner/14_0229.webp,single_face|very_small_or_distant|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/onanong/12_0488.webp,day3/members/onanong/12_0488.webp,single_face|very_small_or_distant|profile_or_occluded|outdoor_or_vehicle|clutter_medium,reviewed
day4/members/bjorn/12_0570.webp,day4/members/bjorn/12_0570.webp,single_face|large|clutter_medium,reviewed
day1/members/allie/15_0458.webp,day1/members/allie/15_0458.webp,single_face|medium|clutter_medium,reviewed
day1/members/cathal/13_0040.webp,day1/members/cathal/13_0040.webp,single_face|large|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day1/members/klaus/16_0531.webp,day1/members/klaus/16_0531.webp,single_face|large|clutter_low,reviewed
day2/members/allie/17_0331.webp,day2/members/allie/17_0331.webp,single_face|large|edge_or_partial|profile_or_occluded|low_light|clutter_medium,reviewed
day1/members/onanong/16_0577.webp,day1/members/onanong/16_0577.webp,single_face|small|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
day1/members/onanong/18_0512.webp,day1/members/onanong/18_0512.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day3/members/onanong/16_0319.webp,day3/members/onanong/16_0319.webp,single_face|very_small_or_distant|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/tien/11_0628.webp,day3/members/tien/11_0628.webp,single_face|medium|clutter_medium,reviewed
day1/members/werner/11_0515.webp,day1/members/werner/11_0515.webp,single_face|very_small_or_distant|profile_or_occluded|motion_blur_or_low_sharpness|outdoor_or_vehicle|clutter_low,reviewed
day3/members/tien/11_0505.webp,day3/members/tien/11_0505.webp,single_face|medium|clutter_medium,reviewed
day1/members/stevan/17_0340.webp,day1/members/stevan/17_0340.webp,single_face|small|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day1/members/luca/11_0691.webp,day1/members/luca/11_0691.webp,single_face|very_small_or_distant|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day4/members/luca/18_0257.webp,day4/members/luca/18_0257.webp,single_face|very_small_or_distant|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day3/members/cathal/11_0064.webp,day3/members/cathal/11_0064.webp,single_face|small|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
day2/members/allie/17_0093.webp,day2/members/allie/17_0093.webp,single_face|large|low_light|clutter_medium,reviewed
day3/members/werner/08_0498.webp,day3/members/werner/08_0498.webp,single_face|small|clutter_medium,reviewed
day2/members/allie/16_0153.webp,day2/members/allie/16_0153.webp,single_face|medium|low_light|clutter_high,reviewed
day2/members/allie/17_0175.webp,day2/members/allie/17_0175.webp,single_face|large|edge_or_partial|profile_or_occluded|low_light|clutter_low,reviewed
day4/members/cathal/18_0466.webp,day4/members/cathal/18_0466.webp,single_face|very_small_or_distant|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day3/members/florian/14_0452.webp,day3/members/florian/14_0452.webp,single_face|medium|clutter_high,reviewed
day2/members/onanong/11_0590.webp,day2/members/onanong/11_0590.webp,single_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day3/members/werner/17_0005.webp,day3/members/werner/17_0005.webp,single_face|medium|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/tien/15_0585.webp,day1/members/tien/15_0585.webp,single_face|very_small_or_distant|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day2/members/florian/14_0717.webp,day2/members/florian/14_0717.webp,single_face|medium|clutter_medium,reviewed
day4/members/bjorn/15_0170.webp,day4/members/bjorn/15_0170.webp,single_face|very_small_or_distant|profile_or_occluded|low_light|clutter_medium,reviewed
day2/members/stevan/10_0281.webp,day2/members/stevan/10_0281.webp,single_face|small|motion_blur_or_low_sharpness|clutter_low,reviewed
day2/members/bjorn/12_0518.webp,day2/members/bjorn/12_0518.webp,single_face|medium|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
day1/members/werner/08_0280.webp,day1/members/werner/08_0280.webp,single_face|medium|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day1/members/cathal/14_0484.webp,day1/members/cathal/14_0484.webp,single_face|small|clutter_medium,reviewed
day1/members/cathal/18_0317.webp,day1/members/cathal/18_0317.webp,single_face|medium|edge_or_partial|profile_or_occluded|low_light|clutter_high,reviewed
day2/members/cathal/10_0273.webp,day2/members/cathal/10_0273.webp,single_face|large|edge_or_partial|profile_or_occluded|motion_blur_or_low_sharpness|clutter_low,reviewed
day3/members/werner/16_0328.webp,day3/members/werner/16_0328.webp,single_face|small|clutter_medium,reviewed
day2/members/werner/19_0608.webp,day2/members/werner/19_0608.webp,single_face|small|clutter_low,reviewed
day2/members/luca/13_0250.webp,day2/members/luca/13_0250.webp,single_face|medium|clutter_high,reviewed
day1/members/klaus/17_0002.webp,day1/members/klaus/17_0002.webp,single_face|large|clutter_medium,reviewed
day3/members/cathal/19_0263.webp,day3/members/cathal/19_0263.webp,single_face|small|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
day1/members/cathal/11_0405.webp,day1/members/cathal/11_0405.webp,single_face|large|clutter_high,reviewed
day4/members/allie/09_0293.webp,day4/members/allie/09_0293.webp,single_face|large|clutter_high,reviewed
day3/members/werner/17_0301.webp,day3/members/werner/17_0301.webp,single_face|medium|clutter_high,reviewed
day1/members/florian/16_0525.webp,day1/members/florian/16_0525.webp,single_face|small|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day1/members/luca/12_0202.webp,day1/members/luca/12_0202.webp,single_face|small|clutter_high,reviewed
day4/members/bjorn/14_0715.webp,day4/members/bjorn/14_0715.webp,single_face|medium|clutter_high,reviewed
day4/members/onanong/15_0191.webp,day4/members/onanong/15_0191.webp,single_face|large|clutter_medium,reviewed
day4/members/werner/08_0208.webp,day4/members/werner/08_0208.webp,single_face|small|edge_or_partial|profile_or_occluded|clutter_medium,reviewed
day2/members/tien/12_0007.webp,day2/members/tien/12_0007.webp,single_face|medium|motion_blur_or_low_sharpness|clutter_low,reviewed
day3/members/stevan/11_0119.webp,day3/members/stevan/11_0119.webp,single_face|medium|edge_or_partial|profile_or_occluded|low_light|clutter_low,reviewed
day4/members/klaus/09_0320.webp,day4/members/klaus/09_0320.webp,single_face|small|clutter_medium,reviewed
day2/members/cathal/14_0185.webp,day2/members/cathal/14_0185.webp,single_face|medium|edge_or_partial|profile_or_occluded|clutter_high,reviewed
day2/members/stevan/11_0699.webp,day2/members/stevan/11_0699.webp,single_face|medium|motion_blur_or_low_sharpness|clutter_low,reviewed
day3/members/florian/10_0693.webp,day3/members/florian/10_0693.webp,single_face|medium|clutter_medium,reviewed
day3/members/cathal/11_0181.webp,day3/members/cathal/11_0181.webp,single_face|medium|clutter_high,reviewed
day3/members/klaus/19_0704.webp,day3/members/klaus/19_0704.webp,single_face|small|motion_blur_or_low_sharpness|low_light|clutter_low,reviewed
