protocol_id,image_id,reviewed,review_method,text_region_count,screen_region_count,text_legibility_subgroup,screen_subgroup,view_type,participant_id,day_id,event_key,selection_stratum,source_manifest,text_boxes_json,screen_boxes_json,text_review_status,screen_review_status,manual_text_present,manual_contains_legible_text,manual_screen_present,manual_screen_contains_sensitive_content,reviewer_id,manual_notes
MM2_0001,day1/members/onanong/10_0700.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,onanong,day1,day1/10/7,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0002,day1/members/tien/10_0239.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,tien,day1,day1/10/2,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1658,""y1"":1638,""x2"":2234,""y2"":2037,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.7274,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":2.6562}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0003,day1/members/onanong/10_0305.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,onanong,day1,day1/10/3,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1840,""y1"":1291,""x2"":2393,""y2"":1685,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8527,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":4.5234}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0004,day1/members/tien/10_0531.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,tien,day1,day1/10/5,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0005,day1/members/bjorn/11_0716.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,bjorn,day1,day1/11/7,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0006,day1/members/bjorn/11_0618.webp,yes,manual reviewer-app verification by the project reviewers,0,0,no_visible_text,no_visible_screen,egocentric,bjorn,day1,day1/11/6,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],[],reviewed,reviewed,no,no,no,no,,Reviewer-app verified.
MM2_0007,day1/members/florian/11_0315.webp,yes,manual reviewer-app verification by the project reviewers,1,0,legible_text,no_visible_screen,egocentric,florian,day1,day1/11/3,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":1671,""y1"":1350,""x2"":2493,""y2"":2133,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visually located text region; verify or refine in the reviewer.""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0008,day1/members/klaus/11_0127.webp,yes,manual reviewer-app verification by the project reviewers,1,0,legible_text,no_visible_screen,egocentric,klaus,day1,day1/11/1,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":760,""y1"":650,""x2"":1230,""y2"":980,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visually located text region; verify or refine in the reviewer.""}]",[],reviewed,reviewed,yes,yes,no,no,,Reviewer-app verified.
MM2_0009,day1/members/allie/12_0701.webp,yes,manual reviewer-app verification by the project reviewers,1,1,legible_text,potentially_sensitive_screen_content,egocentric,allie,day1,day1/12/7,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,"[{""x1"":2790,""y1"":1029,""x2"":3441,""y2"":1908,""score"":"""",""annotator_id"":""reviewed"",""annotation_round"":1,""condition_label"":""multimodal_text_screen_review"",""notes"":""""}]","[{""x1"":1700,""y1"":1177,""x2"":2393,""y2"":2096,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.9302,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":5.9531}]",reviewed,reviewed,yes,yes,yes,yes,,Reviewer-app verified.
MM2_0010,day1/members/onanong/12_0397.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,onanong,day1,day1/12/3,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":2248,""y1"":1250,""x2"":2850,""y2"":1633,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8364,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":3.6562}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
MM2_0011,day1/members/onanong/12_0645.webp,yes,manual reviewer-app verification by the project reviewers,0,1,no_visible_text,potentially_sensitive_screen_content,egocentric,onanong,day1,day1/12/6,privacy_risk_enriched,outputs/01_protocol/thesis_manifests/final_multimodal_250.csv,[],"[{""x1"":1619,""y1"":1248,""x2"":2165,""y2"":1586,""source"":""visual_initialisation"",""annotator_id"":""pending_reviewer_verification"",""annotation_round"":1,""notes"":""Initial visual proposal; verify or refine in the reviewer."",""confidence"":0.8617,""validation_source"":""siglip2_display_crop_gate"",""display_margin"":2.6328}]",reviewed,reviewed,no,no,yes,yes,,Reviewer-app verified.
