relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,view_type,participant_id,day_or_session_id,read_status,integrity_status,timestamp_id,camera_stream_id,day_id,blur_score,webp_blockiness_score,face_count,largest_face_size_px,min_face_size_px,occlusion_ratio_value,screen_score,text_score,small_face_flag,motion_blur_flag,extreme_pose_flag,downward_view_flag,visible_screen_flag,visible_text_flag,multiple_faces_flag,no_face_flag,blur_level,face_size,occlusion_ratio,webp_artefact_severity,condition_matches,face_priority_score,dominant_face_confidence,candidate_score,target_condition,label_source,label_confidence,reviewed_condition_label,official_use,challenge_condition,gold_overlap,gold_label_match,condition_label,selection_seed
day4/fixed/reading/10_0359.webp,10_0359.webp,webp,172706,dc741cf572dc466c068eb79ac46406b3cc06d3120e94c27c61d1c265fe3a5c92,3840,2160,exocentric,none,day4,ok,valid,10_0359,reading,day4,993.849778049622,115.10438563563562,1,16.94,16.94,0.0,0.14,5.0,True,True,False,True,True,False,False,False,low,small,low,high,"['small_face', 'motion_blur', 'downward_view', 'visible_screen']",21.94,0.789,1063.06,small_face,mtcnn_refined_proxy,0.299,,,False,False,False,small_face,42
day1/members/bjorn/11_0133.webp,11_0133.webp,webp,233652,b03a043f22545f2c217c2d5d0ea23524a6f645aff873a49b093a48531bff77e0,3840,2160,egocentric,bjorn,day1,ok,valid,11_0133,bjorn,day1,2450.4418341658893,119.76329454454454,1,17.07,17.07,0.0,0.0,4.0,True,False,True,False,False,False,False,False,high,small,low,high,"['small_face', 'extreme_pose']",22.07,0.816,1062.93,small_face,mtcnn_refined_proxy,0.322,,,False,False,False,small_face,42
day1/members/bjorn/11_0003.webp,11_0003.webp,webp,198220,018dafc77bf093852f00318e77487f1f00a34c9f0baf65540408d2232c3dea97,3840,2160,egocentric,bjorn,day1,ok,valid,11_0003,bjorn,day1,1341.0735638546807,103.09597097097098,3,34.45,8.07,0.25,0.0,1.0,False,False,True,True,False,False,True,False,low,medium,medium,low,"['extreme_pose', 'downward_view', 'multiple_faces']",49.45,0.903,71.93,small_face,mtcnn_refined_proxy,0.747,,,False,False,False,small_face,42
day4/members/cathal/09_0187.webp,09_0187.webp,webp,200584,4fc8762c249c6e69149ee3092fac3cec67965f22a233bbbb3f31bdce69f6176c,3840,2160,egocentric,cathal,day4,ok,valid,09_0187,cathal,day4,1876.1519542055112,123.98162224724724,3,48.58,14.23,0.0,0.0,7.0,False,False,False,True,False,False,True,False,medium,medium,low,high,"['downward_view', 'multiple_faces']",63.58,1.0,65.77,small_face,mtcnn_refined_proxy,0.931,,,False,False,False,small_face,42
day4/members/bao/09_0309.webp,09_0309.webp,webp,213324,b1e169223a57b5f93d2cd36956c5f92c4dc26e8caa1c06b33c3bfd31c2a34e70,3840,2160,egocentric,bao,day4,ok,valid,09_0309,bao,day4,1688.2968769256631,112.58155030030032,1,29.03,29.03,0.0,0.0,3.0,True,False,True,True,False,False,False,False,medium,small,low,medium,"['small_face', 'extreme_pose', 'downward_view']",34.03,0.999,1050.97,small_face,mtcnn_refined_proxy,0.644,,,False,False,False,small_face,42
day2/members/cathal/19_0601.webp,19_0601.webp,webp,284788,ed4f10be44b5af0321532a5cce67863cb7e3857505db856d70c545200bd8fdb0,3840,2160,egocentric,cathal,day2,ok,valid,19_0601,cathal,day2,2829.408277470025,103.58067442442444,5,37.37,13.24,0.0,0.35,3.0,False,False,True,False,True,False,True,False,high,medium,low,low,"['extreme_pose', 'visible_screen', 'multiple_faces']",62.37,1.0,66.76,small_face,mtcnn_refined_proxy,0.828,,,False,False,False,small_face,42
day1/fixed/living1/20_0550.webp,20_0550.webp,webp,278726,6ceee276dd8c303f9a4a22429f6115b8656327aeda2877486403016055c38170,3840,2160,exocentric,none,day1,ok,valid,20_0550,living1,day1,2839.509529966132,121.43923611111111,1,8.72,8.72,0.0,0.3033,5.0,True,False,False,False,True,False,False,False,high,small,low,high,"['small_face', 'visible_screen']",13.72,0.986,1071.28,small_face,mtcnn_refined_proxy,0.023,,,False,False,False,small_face,42
day1/members/klaus/13_0273.webp,13_0273.webp,webp,234226,5bfd0a6392f56d747003c2d210e5dbe6f6881eff554b6e000514b200ced15350,3840,2160,egocentric,klaus,day1,ok,valid,13_0273,klaus,day1,1472.142625596788,118.00696008508508,1,28.74,28.74,0.0,0.2567,10.0,True,False,False,False,True,False,False,False,low,small,low,high,"['small_face', 'visible_screen']",33.739999999999995,1.0,1051.26,small_face,mtcnn_refined_proxy,0.621,,,False,False,False,small_face,42
day4/members/onanong/13_0134.webp,13_0134.webp,webp,220676,c6b6e508b263e8e92898c8c785f71a10b242d906637b538eec18188f5abdef32,3840,2160,egocentric,onanong,day4,ok,valid,13_0134,onanong,day4,1792.887208349911,102.15446696696696,8,47.38,13.95,0.0,0.0,5.0,False,False,True,True,False,False,True,False,medium,medium,low,low,"['extreme_pose', 'downward_view', 'multiple_faces']",87.38,0.888,66.05,small_face,mtcnn_refined_proxy,0.885,,,False,False,False,small_face,42
day1/members/stevan/17_0417.webp,17_0417.webp,webp,208806,c081816ef03e5ae25e674ec345fb88726827c6fc76256f57c8698c3a286dc788,3840,2160,egocentric,stevan,day1,ok,valid,17_0417,stevan,day1,1610.320809004856,110.64322134634632,2,29.59,29.59,0.0,0.2683,1.0,True,False,False,True,True,False,True,False,medium,small,low,medium,"['small_face', 'downward_view', 'visible_screen', 'multiple_faces']",39.59,1.0,1050.41,small_face,mtcnn_refined_proxy,0.667,,,False,False,False,small_face,42
