relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,view_type,participant_id,day_or_session_id,read_status,integrity_status,timestamp_id,camera_stream_id,day_id,blur_score,webp_blockiness_score,screen_score,text_score,motion_blur_flag,visible_screen_flag,visible_text_flag,blur_level,face_size,occlusion_ratio,webp_artefact_severity,condition_matches,face_count,largest_face_size_px,min_face_size_px,occlusion_ratio_value,small_face_flag,extreme_pose_flag,downward_view_flag,multiple_faces_flag,no_face_flag,selection_seed
day4/fixed/living2/14_0141.webp,14_0141.webp,webp,312300,95b4f84eb06b7fea35a8eff2440dd6952112baccd33ee647d5eb8534af1439e9,3840,2160,exocentric,none,day4,ok,valid,14_0141,living2,day4,2273.68031118934,112.04815753253251,0.175,4.0,False,True,False,low,small,low,medium,"['small_face', 'extreme_pose', 'visible_screen']",1,23.01,23.01,0.0,True,True,False,False,False,42
day1/members/florian/09_0223.webp,09_0223.webp,webp,319530,5a18ec4d398ebce346c19f562bd7b0f84d95b9c5b510b9fc554594e69a1b7856,3840,2160,egocentric,florian,day1,ok,valid,09_0223,florian,day1,2569.707499602495,114.27114614614617,0.0,3.0,False,False,False,low,medium,low,medium,"['extreme_pose', 'downward_view', 'multiple_faces']",5,63.84,21.94,0.0,False,True,True,True,False,42
day3/members/onanong/11_0508.webp,11_0508.webp,webp,257762,a1a3c0a3e41819f1d11448b0ad67908e681ceece5a0f2ce584cee0bfa65155e8,3840,2160,egocentric,onanong,day3,ok,valid,11_0508,onanong,day3,1920.211648339561,115.46502752752754,0.0,3.0,False,False,False,medium,medium,low,high,['multiple_faces'],2,39.06,21.28,0.0,False,False,False,True,False,42
day2/fixed/reading/12_0297.webp,12_0297.webp,webp,177136,2ccfb7c99c4b3d8854723e9e9b12b8ac2adf450fc77d99cb49129581b241d10c,3840,2160,exocentric,none,day2,ok,valid,12_0297,reading,day2,1052.5999293886225,112.7528153153153,0.0,7.0,True,False,False,high,small,low,medium,"['small_face', 'motion_blur', 'extreme_pose', 'downward_view']",1,28.06,28.06,0.0,True,True,True,False,False,42
day1/members/allie/08_0415.webp,08_0415.webp,webp,237564,f84a7e0481506cf57bf70c2217a7652495f1006e4fd1b58bd973f1df84bb6341,3840,2160,egocentric,allie,day1,ok,valid,08_0415,allie,day1,2155.7881800973223,112.4988425925926,0.0,1.0,False,False,False,medium,medium,medium,medium,['multiple_faces'],3,53.41,21.84,0.25,False,False,False,True,False,42
day2/fixed/living1/09_0272.webp,09_0272.webp,webp,279644,8f5ec5785fc5aed13446fde5adcbe5ae9af8c55d9fa696b78c720b68521508e5,3840,2160,exocentric,none,day2,ok,valid,09_0272,living1,day2,2399.544789664721,111.33037725225226,0.2217,2.0,False,True,False,low,small,low,medium,"['small_face', 'downward_view', 'visible_screen', 'multiple_faces']",2,20.83,18.79,0.0,True,False,True,True,False,42
day3/members/tien/18_0101.webp,18_0101.webp,webp,223558,217cf5b8dc4ec9c20531eb5b094c1ca8e44bef062613ad56e602b12b66d119ba,3840,2160,egocentric,tien,day3,ok,valid,18_0101,tien,day3,2053.2388420901525,118.33004879879876,0.0,2.0,False,False,False,medium,medium,medium,high,['multiple_faces'],6,36.98,19.02,0.25,False,False,False,True,False,42
day3/members/bjorn/16_0144.webp,16_0144.webp,webp,232644,7c94a808d60bdc380d27111dfb58e923fff9ae6c69a77d6fb72e514095924555,3840,2160,egocentric,bjorn,day3,ok,valid,16_0144,bjorn,day3,1868.3665150155605,110.57648273273271,0.0,2.0,False,False,False,medium,large,low,low,['extreme_pose'],1,196.35,196.35,0.0,False,True,False,False,False,42
day3/members/onanong/13_0406.webp,13_0406.webp,webp,289200,4e7ac9c5a694d26419bea624763ee07f5f1af60614a32b658b33d1c9b510c01b,3840,2160,egocentric,onanong,day3,ok,valid,13_0406,onanong,day3,2247.460010046568,111.81295357857856,0.14,5.0,False,True,False,low,medium,low,medium,"['extreme_pose', 'visible_screen', 'multiple_faces']",3,56.24,32.04,0.0,False,True,False,True,False,42
day2/fixed/meeting/12_0693.webp,12_0693.webp,webp,259138,31289af796b66e178af0b833ad84dd9e1d7f83f904b22ecee2bd10b9052f50d2,3840,2160,exocentric,none,day2,ok,valid,12_0693,meeting,day2,1675.8697785684346,113.1747215965966,0.0933,6.0,False,False,False,medium,small,low,medium,"['small_face', 'extreme_pose']",1,12.06,12.06,0.0,True,True,False,False,False,42
day4/members/stevan/10_0426.webp,10_0426.webp,webp,225416,5394379615fe75c0f0f514629b96bcdd4bcf9321bb0d47a4e3bd8ab8a41ea6c8,3840,2160,egocentric,stevan,day4,ok,valid,10_0426,stevan,day4,1793.597594458998,113.90442004504504,0.0,7.0,False,False,False,medium,medium,low,medium,"['small_face', 'extreme_pose', 'downward_view', 'multiple_faces']",4,31.69,25.37,0.0,True,True,True,True,False,42
day2/members/onanong/10_0490.webp,10_0490.webp,webp,333886,0f8ca7ddc19fd498bb47035472cae796571c761b1cb8042309b53bbad51562b8,3840,2160,egocentric,onanong,day2,ok,valid,10_0490,onanong,day2,2984.009536554784,118.40847097097097,0.0,3.0,False,False,False,low,medium,medium,high,"['extreme_pose', 'multiple_faces']",6,45.77,16.56,0.25,False,True,False,True,False,42
day4/fixed/living1/11_0395.webp,11_0395.webp,webp,316360,7e1cf4593f1163a113b26e9e9d5f81df362371f2d70d17ab446129c338c70008,3840,2160,exocentric,none,day4,ok,valid,11_0395,living1,day4,2244.4273639685352,112.7563501001001,0.2217,4.0,False,True,False,low,small,low,medium,"['small_face', 'visible_screen', 'multiple_faces']",3,22.45,11.85,0.0,True,False,False,True,False,42
day3/members/werner/08_0220.webp,08_0220.webp,webp,282870,a55f8793573b6b60cda9ffb908df439feb49d42af02e915ab2af9c587791431d,3840,2160,egocentric,werner,day3,ok,valid,08_0220,werner,day3,2761.154272239068,116.38221033533532,0.1633,4.0,False,True,False,low,medium,medium,high,"['extreme_pose', 'visible_screen']",1,36.22,36.22,0.25,False,True,False,False,False,42
day2/members/klaus/18_0604.webp,18_0604.webp,webp,268538,3408bede31ec05b599499e0129d6989b9bb190a8373911fd08844c6a28ac788a,3840,2160,egocentric,klaus,day2,ok,valid,18_0604,klaus,day2,2778.6226600096948,110.65581206206208,0.2333,4.0,False,True,False,low,medium,low,low,"['extreme_pose', 'visible_screen', 'multiple_faces']",2,37.74,17.37,0.0,False,True,False,True,False,42
day1/members/tien/10_0174.webp,10_0174.webp,webp,151708,bf62ed94d9173aed10884722ca9b99e06c03c6736b7abc2c4aad5b45e534a617,3840,2160,egocentric,tien,day1,ok,valid,10_0174,tien,day1,1003.2220172623348,118.1507444944945,0.1283,4.0,True,True,False,high,small,low,high,"['small_face', 'motion_blur', 'extreme_pose', 'downward_view', 'visible_screen', 'multiple_faces']",4,24.99,16.55,0.0,True,True,True,True,False,42
day1/members/bjorn/15_0320.webp,15_0320.webp,webp,364540,f18d696b73b8a903e93041edcce064a790d591630659c7e9db180cf59763c1c0,3840,2160,egocentric,bjorn,day1,ok,valid,15_0320,bjorn,day1,4514.085249449781,111.47922922922923,0.0,4.0,False,False,False,low,medium,low,medium,"['extreme_pose', 'multiple_faces']",3,32.8,22.09,0.0,False,True,False,True,False,42
day1/fixed/meeting/19_0636.webp,19_0636.webp,webp,242900,7db3f4809f87598f9dc0f4ce2e6df88d961224d44e8ad6dc983d6e412e13c930,3840,2160,exocentric,none,day1,ok,valid,19_0636,meeting,day1,1784.3073916523183,111.11244056556556,0.0,7.0,False,False,False,medium,small,low,medium,"['small_face', 'extreme_pose']",1,9.11,9.11,0.0,True,True,False,False,False,42
day4/members/klaus/11_0193.webp,11_0193.webp,webp,284094,084f17e0a881b98c0ac092081266cf6938d89ac1865c7acf6efd757df1569973,3840,2160,egocentric,klaus,day4,ok,valid,11_0193,klaus,day4,2079.4181584115618,113.90667229729728,0.1633,2.0,False,True,False,medium,small,low,medium,"['small_face', 'extreme_pose', 'visible_screen', 'multiple_faces']",6,28.84,12.33,0.0,True,True,False,True,False,42
day1/members/werner/17_0696.webp,17_0696.webp,webp,245526,b04af42dbff1f1a38cf2e2287fec37eb7e8cde0b3214a526084ce6ad905ccfb3,3840,2160,egocentric,werner,day1,ok,valid,17_0696,werner,day1,2030.1228507713035,113.0606074824825,0.0,2.0,False,False,False,medium,medium,medium,medium,['multiple_faces'],6,41.93,24.19,0.25,False,False,False,True,False,42
day3/members/onanong/10_0302.webp,10_0302.webp,webp,215034,fe10a76afaddb9527b760abed1ef384d85a469168c9688a3228a8a70464fcf1c,3840,2160,egocentric,onanong,day3,ok,valid,10_0302,onanong,day3,2388.314099435526,110.59622122122124,0.105,5.0,False,True,False,low,small,medium,low,"['small_face', 'extreme_pose', 'visible_screen']",1,15.44,15.44,0.25,True,True,False,False,False,42
day2/members/florian/20_0207.webp,20_0207.webp,webp,238446,492aef1ac19dc4bde08b1827bc76ee8b56f0cbbacec0dfa3c0aad71952fc6da0,3840,2160,egocentric,florian,day2,ok,valid,20_0207,florian,day2,2325.7314225185064,109.95290603103102,0.1031,12.0,False,True,False,low,small,low,low,"['small_face', 'extreme_pose', 'visible_screen']",1,26.42,26.42,0.0,True,True,False,False,False,42
day4/fixed/living1/10_0292.webp,10_0292.webp,webp,304414,2869e58c66e906ab0bbb3a72e620412cfdd7f97d65e3193f64ef75e013dc0d42,3840,2160,exocentric,none,day4,ok,valid,10_0292,living1,day4,2444.6066880763224,115.43382444944945,0.21,4.0,False,True,False,low,small,low,high,"['small_face', 'extreme_pose', 'downward_view', 'visible_screen', 'multiple_faces']",3,22.45,11.47,0.0,True,True,True,True,False,42
day4/members/cathal/13_0661.webp,13_0661.webp,webp,262052,5c62701a63ec9c89239e7f83aa3748a818c56dcfd452592e7bac1c8fd645b902,3840,2160,egocentric,cathal,day4,ok,valid,13_0661,cathal,day4,2431.3135997956524,118.14240803303304,0.3033,7.0,False,True,False,low,medium,medium,high,"['extreme_pose', 'downward_view', 'visible_screen', 'multiple_faces']",8,46.75,17.45,0.25,False,True,True,True,False,42
day1/members/onanong/15_0129.webp,15_0129.webp,webp,257622,0b50fa90e9facb3cd29eb7251e1257056105053e4a49f13d41ebe664203daffc,3840,2160,egocentric,onanong,day1,ok,valid,15_0129,onanong,day1,1874.733233777002,95.4929304304304,0.2217,3.0,False,True,False,medium,medium,low,low,"['visible_screen', 'multiple_faces']",3,37.2,30.81,0.0,False,False,False,True,False,42
day4/fixed/kitchen/09_0556.webp,09_0556.webp,webp,242942,c18f6d40d60f05b3ed80cdb070fdf6a61dcdbeef27461c9aeb73d18b067d23bc,3840,2160,exocentric,none,day4,ok,valid,09_0556,kitchen,day4,2678.636041063013,117.18560748248248,0.105,5.0,False,True,False,low,small,low,high,"['small_face', 'extreme_pose', 'visible_screen', 'multiple_faces']",2,12.65,12.65,0.0,True,True,False,True,False,42
day1/members/werner/18_0361.webp,18_0361.webp,webp,201252,ba2efa65ab7fab26a557438f67430ab974ceb55376f520b03203a7776e5b70e0,3840,2160,egocentric,werner,day1,ok,valid,18_0361,werner,day1,1604.117111580489,112.8395583083083,0.0,8.0,False,False,False,high,medium,low,medium,"['extreme_pose', 'multiple_faces']",3,49.75,29.31,0.0,False,True,False,True,False,42
day3/members/onanong/19_0073.webp,19_0073.webp,webp,212368,f21f6219e79f53318e5db400132dacd00e222d2ad70c97fed6c56b57ae5f60cd,3840,2160,egocentric,onanong,day3,ok,valid,19_0073,onanong,day3,1982.422955566928,109.55837087087087,0.0,0.0,False,False,False,medium,medium,low,low,['extreme_pose'],1,45.36,45.36,0.0,False,True,False,False,False,42
day2/members/onanong/11_0131.webp,11_0131.webp,webp,151990,68c5b6a0242e255af272038163cb50de339ff1cad506037591fdc01bc6dbda3e,3840,2160,egocentric,onanong,day2,ok,valid,11_0131,onanong,day2,1080.0607986601367,113.24563626126128,0.0,2.0,True,False,False,high,medium,medium,medium,"['motion_blur', 'downward_view', 'multiple_faces']",4,61.34,17.73,0.25,False,False,True,True,False,42
day3/fixed/kitchen/19_0229.webp,19_0229.webp,webp,257710,e35b10939cd2dadfc81373f4a8c616d0e094ba6cefeda048773bafabec4017c3,3840,2160,exocentric,none,day3,ok,valid,19_0229,kitchen,day3,2718.4002624125656,115.3211961961962,0.1283,4.0,False,True,False,low,small,low,high,"['small_face', 'extreme_pose', 'visible_screen']",1,10.13,10.13,0.0,True,True,False,False,False,42
