egocentric_relative_path,file_name_ego,file_ext_ego,file_size_bytes_ego,checksum_sha256_ego,image_width_ego,image_height_ego,egocentric_stream_id,view_type_ego,egocentric_participant_id,day_or_session_id_ego,read_status_ego,integrity_status_ego,day_id,timestamp_id,exocentric_relative_path,file_name_exo,file_ext_exo,file_size_bytes_exo,checksum_sha256_exo,image_width_exo,image_height_exo,exocentric_stream_id,view_type_exo,participant_id,day_or_session_id_exo,read_status_exo,integrity_status_exo,pair_id
day1/members/tien/08_0198.webp,08_0198.webp,webp,98038,b40fddf9806df8a85a5573b8e740dddfff59e98843a8ceb71e9b741f7b9ba283,3840,2160,tien,egocentric,tien,day1,ok,valid,day1,08_0198,day1/fixed/kitchen/08_0198.webp,08_0198.webp,webp,259896,dc4f7a17d3af9979e81832de7b2b253402ada0d7ee17ffd329f9a1565dbcc718,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::08_0198::tien::kitchen
day1/members/cathal/09_0350.webp,09_0350.webp,webp,274668,b5dbd9376f5a20fbc35eed6d2f2a47abfd183db78b67ce2a3ac933d3b60d6f17,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,09_0350,day1/fixed/kitchen/09_0350.webp,09_0350.webp,webp,242946,fe53c05e2547cd06761bd3b09bb5265212a94012316156a63b8c87d8dc7feb61,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::09_0350::cathal::kitchen
day1/members/werner/09_0455.webp,09_0455.webp,webp,417672,de0cee2731457d0b99ceddc5f39fce550974a3660245ba4190ba586014e7bc21,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,09_0455,day1/fixed/kitchen/09_0455.webp,09_0455.webp,webp,237782,32bf32d19a77cbdfe6a76820364ae0380ba632a2e0608024dc3c3dc0b45f1c0e,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::09_0455::werner::kitchen
day1/members/stevan/10_0007.webp,10_0007.webp,webp,163134,725477e92e9fde4da2bebf9857525579528fa64623a2056f9cef2c3e1b4d8a5e,3840,2160,stevan,egocentric,stevan,day1,ok,valid,day1,10_0007,day1/fixed/kitchen/10_0007.webp,10_0007.webp,webp,230080,ca746afea07ea1202d94583415b841553f5078d7122718688fd28a824fd96f30,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::10_0007::stevan::kitchen
day1/members/luca/10_0176.webp,10_0176.webp,webp,218714,e28189af4c18bb3611c7027cbb88cf0ced3a050e06c18eaa7c1e00559801292a,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,10_0176,day1/fixed/kitchen/10_0176.webp,10_0176.webp,webp,226896,cdb888639fd860c0705d33c9d038a8d9f37332e6f471213973ea8743ce19a4e1,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::10_0176::luca::kitchen
day1/members/luca/10_0231.webp,10_0231.webp,webp,189832,62d1a607f844bcfd35293dd95c8401686df17fdaaae0b541e8e66248ecd6b5ab,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,10_0231,day1/fixed/kitchen/10_0231.webp,10_0231.webp,webp,227086,d822b2c970a98323edd8ea89cffd5177b40935ec156af45cb34c88dc4103fd7e,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::10_0231::luca::kitchen
day1/members/allie/10_0605.webp,10_0605.webp,webp,165570,992f506da3355bb0f17149ca54dd21b4bcf23c533aa7b3b8dc3067b3347eb108,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,10_0605,day1/fixed/kitchen/10_0605.webp,10_0605.webp,webp,228884,23e1d1d1efb2a94812cbc3c0dd916300491509c8e8b2244801aab3a02f3035d2,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::10_0605::allie::kitchen
day1/members/onanong/11_0696.webp,11_0696.webp,webp,134112,a3ecf52b141593afdc00b2948c1f2f4948e048fc13d9009d3f2b911cac1d18c1,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,11_0696,day1/fixed/kitchen/11_0696.webp,11_0696.webp,webp,233862,d8c12aa75d5b49b2f74d7a0f98b08a426db1574cd56c480da85163c9a32c8647,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::11_0696::onanong::kitchen
day1/members/allie/13_0312.webp,13_0312.webp,webp,259628,a0aa40a195c15fcad870cfcbb79430012b87be849be1c7a24cbb952759aadaaf,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,13_0312,day1/fixed/kitchen/13_0312.webp,13_0312.webp,webp,246884,b3e016111b07c64d0d37dae849909b05dfd6ff2f9a46cf4926bfb2189850c3fd,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::13_0312::allie::kitchen
day1/members/florian/16_0293.webp,16_0293.webp,webp,143706,2b3d12d9f6e9ab170fd74992f8eed65677f2f7a84fb4d54501987059f7c1c1c1,3840,2160,florian,egocentric,florian,day1,ok,valid,day1,16_0293,day1/fixed/kitchen/16_0293.webp,16_0293.webp,webp,237988,62cd0ac2761b8cc933d552c29ee41082f900fd581235abb76ef18f5fd0664e6f,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::16_0293::florian::kitchen
day1/members/klaus/17_0312.webp,17_0312.webp,webp,145270,1d44b7afd4d1852b8da6ebd8c15fe91c24289186fa18ff7a2a7d42abf1d9a48d,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,17_0312,day1/fixed/kitchen/17_0312.webp,17_0312.webp,webp,236698,1282d01ec48141478400f6f621d8553f991fd28e00bf5b6eafc193f59cf6b765,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::17_0312::klaus::kitchen
day1/members/florian/17_0645.webp,17_0645.webp,webp,195660,69c95e9a05885025a6ae6a5e05b9aa63138bb203fd7e6bc7da90b40eedcc15b3,3840,2160,florian,egocentric,florian,day1,ok,valid,day1,17_0645,day1/fixed/kitchen/17_0645.webp,17_0645.webp,webp,238616,a993b1d684748e69e41c92c4f815e949a7922f6521373dc36de6d2d9b60e72a7,3840,2160,kitchen,exocentric,,day1,ok,valid,day1::17_0645::florian::kitchen
day1/members/cathal/08_0713.webp,08_0713.webp,webp,228270,1996a711ac0f0db09412cba72cdd417b2785f066190810a843c83d84799f028e,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,08_0713,day1/fixed/living1/08_0713.webp,08_0713.webp,webp,268320,1783fe94ce818436ea1ac7c9e091dfcf4002da680dc135ebc46dfc195831ce15,3840,2160,living1,exocentric,,day1,ok,valid,day1::08_0713::cathal::living1
day1/members/luca/09_0080.webp,09_0080.webp,webp,247322,b4940e0d407e04c7498f789e95e159ca09ea594d0b0bec00c9c0e2e341d33508,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,09_0080,day1/fixed/living1/09_0080.webp,09_0080.webp,webp,270162,3a4c21cbbd4c0b930c503f38f6293f38815ec1477d6d1d27b7116aa04a908d90,3840,2160,living1,exocentric,,day1,ok,valid,day1::09_0080::luca::living1
day1/members/werner/10_0178.webp,10_0178.webp,webp,266790,20ddca5591a0a1aed7de8398424f8937daef654e21ced6e24d3f2e0e4be9540a,3840,2160,werner,egocentric,werner,day1,ok,valid,day1,10_0178,day1/fixed/living1/10_0178.webp,10_0178.webp,webp,338332,b48709b1f72939640df2b9911bcda1f1d4e1dc3c145627a4773efa6a466f6d30,3840,2160,living1,exocentric,,day1,ok,valid,day1::10_0178::werner::living1
day1/members/bjorn/11_0508.webp,11_0508.webp,webp,415524,37035b770fce5d5ed2bdff2799ca6b1ff10bf551cef562919de4ffa6a4e159d2,3840,2160,bjorn,egocentric,bjorn,day1,ok,valid,day1,11_0508,day1/fixed/living1/11_0508.webp,11_0508.webp,webp,378968,39dd241042484526e7f9cd0dd67fe6d704f5b0f594af0a53b0191fe23c7d3afd,3840,2160,living1,exocentric,,day1,ok,valid,day1::11_0508::bjorn::living1
day1/members/luca/14_0131.webp,14_0131.webp,webp,187636,c6dc7b9627f382d9f2bbca687a5e1f934527362803adc21043ca2930571ec7f1,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,14_0131,day1/fixed/living1/14_0131.webp,14_0131.webp,webp,350906,02b4d0d0e279934c2c42eb2e548fee1e63fde7efd51d29c97c6c399d99f8868d,3840,2160,living1,exocentric,,day1,ok,valid,day1::14_0131::luca::living1
day1/members/cathal/14_0591.webp,14_0591.webp,webp,121278,f82abfc9e299cf4d7fb7b92774c6368c4c06a82b3785906caf68c46957996b34,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,14_0591,day1/fixed/living1/14_0591.webp,14_0591.webp,webp,336980,6b3134d2d2c0ca760d56e19798c06d82451b3f56c5cacb0fe33f2cd104ceae6d,3840,2160,living1,exocentric,,day1,ok,valid,day1::14_0591::cathal::living1
day1/members/allie/15_0028.webp,15_0028.webp,webp,177318,7696c7cd8fbcfadfeaa5551e829453bb9adc5d45c9b24ed6d19b09b1a594790f,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,15_0028,day1/fixed/living1/15_0028.webp,15_0028.webp,webp,354650,58223f3882715ed6f109a7ee72b0bbfafd5a33e83808aa3f30c3d4ef8f6634f6,3840,2160,living1,exocentric,,day1,ok,valid,day1::15_0028::allie::living1
day1/members/onanong/18_0471.webp,18_0471.webp,webp,139210,39b50e7e141f9869d0c8a2d54710f2dedc1fe28d9b21e4741496d425fd3a332d,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,18_0471,day1/fixed/living1/18_0471.webp,18_0471.webp,webp,251636,555726c35e1d768d43ff93a5ed26f36f3cbf88e75b5e1818f5fb394665a0a44d,3840,2160,living1,exocentric,,day1,ok,valid,day1::18_0471::onanong::living1
day1/members/onanong/18_0713.webp,18_0713.webp,webp,88920,a3cc4aa0bb41eae3c1a2fb12089474e3d0b85f93f39b5380fd53cd92ff88962f,3840,2160,onanong,egocentric,onanong,day1,ok,valid,day1,18_0713,day1/fixed/living1/18_0713.webp,18_0713.webp,webp,246642,ae391297048408f8baf81aa71e09fd2848fbe79e0803a43ed681af2246bc28a4,3840,2160,living1,exocentric,,day1,ok,valid,day1::18_0713::onanong::living1
day1/members/allie/19_0432.webp,19_0432.webp,webp,293162,fbb00c663b85cc40b10ee5e99ab5581e1ffc5550c7dbcbde6347c18ce65828a8,3840,2160,allie,egocentric,allie,day1,ok,valid,day1,19_0432,day1/fixed/living1/19_0432.webp,19_0432.webp,webp,251924,22448d6e26e06dc00d2eea8d6e47cb632920ccd8a7e182576a1184e0718b62e7,3840,2160,living1,exocentric,,day1,ok,valid,day1::19_0432::allie::living1
day1/members/luca/19_0552.webp,19_0552.webp,webp,116092,e4a723761210e964737deddc1c2352cbd0e48de76bc8d4074cc640f3ce0f393f,3840,2160,luca,egocentric,luca,day1,ok,valid,day1,19_0552,day1/fixed/living1/19_0552.webp,19_0552.webp,webp,246830,b556f1f7a32552ddb9f76c0f96ff81f2e47fd5a2abbb8add36f3fee17fb727b9,3840,2160,living1,exocentric,,day1,ok,valid,day1::19_0552::luca::living1
day1/members/bjorn/19_0648.webp,19_0648.webp,webp,140550,57e12ba61cd79e9cd33b8809dea738121c919fb6685de3226a63a0baf1bd5f03,3840,2160,bjorn,egocentric,bjorn,day1,ok,valid,day1,19_0648,day1/fixed/living1/19_0648.webp,19_0648.webp,webp,249984,ae249fc320740ad0e406de4d453e5d9a94d167079b6a386afac486ca3117ee80,3840,2160,living1,exocentric,,day1,ok,valid,day1::19_0648::bjorn::living1
