relative_path,file_name,file_ext,file_size_bytes,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,read_status,integrity_status,day_id,timestamp_id,selection_seed,image_path,condition_label,source_protocol,box_count,annotation_status,review_method,face_count_category,face_scale_category,edge_partial_face,profile_occluded_face,downward_egocentric_view,blur_low_sharpness,low_light_dim,clutter_level,text_screen_risk,outdoor_vehicle_scene,category_review_status,category_notes,ground_truth_face_count,predicted_face_count,matched_face_count,missed_face_count
day3/members/stevan/18_0060.webp,18_0060.webp,webp,222304,49a8536be590ec71759b2f257b56177bc70702647829dab4d24f6bebc837dd01,3840,2160,stevan,egocentric,stevan,day3,ok,valid,day3,18_0060,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/stevan/18_0060.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,11,reviewed,manual_reviewer_app,multi_face,mixed_scale,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",11,19,2,9
day1/members/klaus/10_0589.webp,10_0589.webp,webp,244656,3e66a8ed501db8a161878537432e29d43d5cfc01e01150c7351f8a1fa3e3bb72,3840,2160,klaus,egocentric,klaus,day1,ok,valid,day1,10_0589,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/klaus/10_0589.webp,multi_face|small|clutter_medium,locked_500_anonymisation_oapr_manifest,9,reviewed,manual_reviewer_app,multi_face,small,no,no,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",9,10,0,9
day1/members/tien/19_0392.webp,19_0392.webp,webp,154144,26ff23b23dc07e405d8c445b61ff6ce56c91c980d0bfbffdf7dd3e3037eaed16,3840,2160,tien,egocentric,tien,day1,ok,valid,day1,19_0392,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/tien/19_0392.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,9,reviewed,manual_reviewer_app,multi_face,mixed_scale,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",9,9,0,9
day2/members/florian/14_0293.webp,14_0293.webp,webp,303454,18d8cf430c16c857e787b41abeacc26ca97db539c37d7190765ff50343070144,3840,2160,florian,egocentric,florian,day2,ok,valid,day2,14_0293,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/florian/14_0293.webp,multi_face|medium|clutter_high,locked_500_anonymisation_oapr_manifest,9,reviewed,manual_reviewer_app,multi_face,medium,no,no,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",9,35,0,9
day2/members/florian/14_0324.webp,14_0324.webp,webp,319698,767a2fc2cd07985c79f93dcd4f407c1a60e836b8807ad12a061f033adc2783bb,3840,2160,florian,egocentric,florian,day2,ok,valid,day2,14_0324,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/florian/14_0324.webp,multi_face|mixed_scale|edge_or_partial|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,9,reviewed,manual_reviewer_app,multi_face,mixed_scale,yes,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",9,30,0,9
day3/members/florian/18_0329.webp,18_0329.webp,webp,281622,e832c6a427357c36aef0518d168c7d1499b97f0d3f2ae66491f3b84e308f9a4f,3840,2160,florian,egocentric,florian,day3,ok,valid,day3,18_0329,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day3/members/florian/18_0329.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,9,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",9,18,0,9
day4/members/bao/11_0549.webp,11_0549.webp,webp,185360,1a17ea821c15af138901f3880d2073a93ed20524579b94fddced244d346dacc5,3840,2160,bao,egocentric,bao,day4,ok,valid,day4,11_0549,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/bao/11_0549.webp,multi_face|medium|edge_or_partial|profile_or_occluded|clutter_medium,locked_500_anonymisation_oapr_manifest,9,reviewed,manual_reviewer_app,multi_face,medium,yes,yes,no,no,no,medium,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",9,16,0,9
day4/members/klaus/14_0224.webp,14_0224.webp,webp,298504,484c2cfcf764ce6f5191f548df9e7221e9f7efe46e89b123b6615ce3f735b2fc,3840,2160,klaus,egocentric,klaus,day4,ok,valid,day4,14_0224,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day4/members/klaus/14_0224.webp,multi_face|large|edge_or_partial|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,9,reviewed,manual_reviewer_app,multi_face,large,yes,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",9,22,0,9
day1/members/cathal/14_0490.webp,14_0490.webp,webp,308744,5a6434b9e0159dd48786ddd582f498a8e39452d3205ef5e7b5cbc5f5f277b93f,3840,2160,cathal,egocentric,cathal,day1,ok,valid,day1,14_0490,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day1/members/cathal/14_0490.webp,multi_face|mixed_scale|profile_or_occluded|clutter_high,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,mixed_scale,no,yes,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,26,0,8
day2/members/florian/14_0303.webp,14_0303.webp,webp,289904,9976cee1e240e4255677f16300d162ba7df5efabd047be230f6f9fd20a7ae59b,3840,2160,florian,egocentric,florian,day2,ok,valid,day2,14_0303,global_500_from_anonymisation_oapr_protocol,data/castle2024/raw/day2/members/florian/14_0303.webp,multi_face|medium|clutter_high,locked_500_anonymisation_oapr_manifest,8,reviewed,manual_reviewer_app,multi_face,medium,no,no,no,no,no,high,not_assessed_in_face_review,no,reviewed,"Pre-filled candidate labels for manual correction in the reviewer app. Text/screen risk is handled by the separate multimodal protocol, not by this face-review pack.",8,16,0,8
