case_id,relative_path,raw_path,raw_exists,raw_sha256,image_width,image_height,participant_id,day_id,timestamp_id,box_source,box_count,boxes_json,rp_output_path,diffusion_output_path
locked500_0000,day3/members/stevan/20_0682.webp,data/castle2024/raw/day3/members/stevan/20_0682.webp,True,b483725d4dd4cb4a09c8010c919acacdab58b75eee400cbe7925129f48914999,3840,2160,stevan,day3,20_0682,outputs/02_face_detection/13_anonymisation_protocol_face_boxes.csv,5,"[[2365,1114,2783,1666],[109,1093,222,1243],[479,1065,596,1219],[1178,1153,1391,1393],[868,1131,986,1294]]",outputs/03_anonymisation/05_reverse_personalization/images/day3/members/stevan/20_0682.webp,outputs/03_anonymisation/04_diffusion/images/day3/members/stevan/20_0682.webp
locked500_0001,day1/members/luca/12_0078.webp,data/castle2024/raw/day1/members/luca/12_0078.webp,True,bcd9cd8c1c9818fc7e639ce6b68dd04ce73b9deed9ede7b4dc1306bae78693ac,3840,2160,luca,day1,12_0078,outputs/02_face_detection/13_anonymisation_protocol_face_boxes.csv,0,[],outputs/03_anonymisation/05_reverse_personalization/images/day1/members/luca/12_0078.webp,outputs/03_anonymisation/04_diffusion/images/day1/members/luca/12_0078.webp
locked500_0002,day3/members/tien/14_0649.webp,data/castle2024/raw/day3/members/tien/14_0649.webp,True,2999c958efaea1cdecc451bc7008d15cc285089ef1596c5bd644064edc9506f1,3840,2160,tien,day3,14_0649,outputs/02_face_detection/13_anonymisation_protocol_face_boxes.csv,7,"[[2792,1559,3247,2144],[1092,1827,1196,1942],[129,1765,237,1927],[1337,1787,1439,1907],[1521,2015,1725,2160],[1491,1795,1569,1919],[719,1813,820,1932]]",outputs/03_anonymisation/05_reverse_personalization/images/day3/members/tien/14_0649.webp,outputs/03_anonymisation/04_diffusion/images/day3/members/tien/14_0649.webp
locked500_0003,day2/members/bjorn/16_0250.webp,data/castle2024/raw/day2/members/bjorn/16_0250.webp,True,3b72ccc64a451bace6d83d9e519563b0f54023872e91dd4a26fde69dce23de11,3840,2160,bjorn,day2,16_0250,outputs/02_face_detection/13_anonymisation_protocol_face_boxes.csv,0,[],outputs/03_anonymisation/05_reverse_personalization/images/day2/members/bjorn/16_0250.webp,outputs/03_anonymisation/04_diffusion/images/day2/members/bjorn/16_0250.webp
locked500_0004,day1/members/stevan/10_0179.webp,data/castle2024/raw/day1/members/stevan/10_0179.webp,True,f0fa2cb74274ae58344894b82b8a96c9fe107d4563a8872ab4eac5128acf4c2a,3840,2160,stevan,day1,10_0179,outputs/02_face_detection/13_anonymisation_protocol_face_boxes.csv,4,"[[3076,1301,3150,1403],[2242,1132,2324,1217],[2770,1274,2851,1371],[381,1847,760,2160]]",outputs/03_anonymisation/05_reverse_personalization/images/day1/members/stevan/10_0179.webp,outputs/03_anonymisation/04_diffusion/images/day1/members/stevan/10_0179.webp
locked500_0005,day3/members/werner/08_0619.webp,data/castle2024/raw/day3/members/werner/08_0619.webp,True,561e4a0d4f59ce27f767755e21795ec61bafeef19e625bfff85f209fea4ab380,3840,2160,werner,day3,08_0619,outputs/02_face_detection/13_anonymisation_protocol_face_boxes.csv,2,"[[3292,437,3525,741],[727,637,844,771]]",outputs/03_anonymisation/05_reverse_personalization/images/day3/members/werner/08_0619.webp,outputs/03_anonymisation/04_diffusion/images/day3/members/werner/08_0619.webp
locked500_0006,day3/members/tien/10_0512.webp,data/castle2024/raw/day3/members/tien/10_0512.webp,True,b20cb01891dc582b88ecd43cdc2d4e1f4aaecd6c8c61a782a425ce872081f60b,3840,2160,tien,day3,10_0512,outputs/02_face_detection/13_anonymisation_protocol_face_boxes.csv,0,[],outputs/03_anonymisation/05_reverse_personalization/images/day3/members/tien/10_0512.webp,outputs/03_anonymisation/04_diffusion/images/day3/members/tien/10_0512.webp
locked500_0007,day1/members/werner/14_0048.webp,data/castle2024/raw/day1/members/werner/14_0048.webp,True,866f323e12e50e9581a0b4dd22f48542cc22c100d9d7d9f8fef253aeb25748b8,3840,2160,werner,day1,14_0048,outputs/02_face_detection/13_anonymisation_protocol_face_boxes.csv,0,[],outputs/03_anonymisation/05_reverse_personalization/images/day1/members/werner/14_0048.webp,outputs/03_anonymisation/04_diffusion/images/day1/members/werner/14_0048.webp
locked500_0008,day1/members/klaus/17_0206.webp,data/castle2024/raw/day1/members/klaus/17_0206.webp,True,1167e206d410fb45f18d29c7848cb542ebe41f318891288d7453f325a60c673a,3840,2160,klaus,day1,17_0206,outputs/02_face_detection/13_anonymisation_protocol_face_boxes.csv,2,"[[3286,412,3541,816],[198,821,518,1352]]",outputs/03_anonymisation/05_reverse_personalization/images/day1/members/klaus/17_0206.webp,outputs/03_anonymisation/04_diffusion/images/day1/members/klaus/17_0206.webp
locked500_0009,day4/members/florian/11_0412.webp,data/castle2024/raw/day4/members/florian/11_0412.webp,True,4f9a8b82a44664d46c062cd0a439063d68be78f1f250d0778f581edc55df07a5,3840,2160,florian,day4,11_0412,outputs/02_face_detection/13_anonymisation_protocol_face_boxes.csv,3,"[[123,778,279,1037],[852,326,1016,539],[2621,6,2824,252]]",outputs/03_anonymisation/05_reverse_personalization/images/day4/members/florian/11_0412.webp,outputs/03_anonymisation/04_diffusion/images/day4/members/florian/11_0412.webp
