protocol_id,relative_path,checksum_sha256,image_width,image_height,camera_stream_id,view_type,participant_id,day_or_session_id,event_key,selection_stratum,review_status
MM2_0001,day1/members/onanong/10_0700.webp,3f5717c5e7e8f8f64eab67f979b257663c71c18f43574f2fe8aa88ee51e4a03c,3840,2160,onanong,egocentric,onanong,day1,day1/10/7,privacy_risk_enriched,reviewed
MM2_0002,day1/members/tien/10_0239.webp,49d8b05a07082d25db3ed2f9fa75529dc8e15889ed70b5ceb00edddc51ae0f67,3840,2160,tien,egocentric,tien,day1,day1/10/2,privacy_risk_enriched,reviewed
MM2_0003,day1/members/onanong/10_0305.webp,f9b85429b7735cebba8ff76185a6fa6beb131ea5c0ea5979aab1d0da90e6cd2a,3840,2160,onanong,egocentric,onanong,day1,day1/10/3,privacy_risk_enriched,reviewed
MM2_0004,day1/members/tien/10_0531.webp,8ba7a117a30dcd6bb8a361e17c30df6da9d76f3d5427e9e5de25c80e35863202,3840,2160,tien,egocentric,tien,day1,day1/10/5,privacy_risk_enriched,reviewed
MM2_0005,day1/members/bjorn/11_0716.webp,916936e70febb0d3bf768815525daa43c45f2ec40530813126450c311dca5e3c,3840,2160,bjorn,egocentric,bjorn,day1,day1/11/7,privacy_risk_enriched,reviewed
MM2_0006,day1/members/bjorn/11_0618.webp,4f1d3b0480dd8e51efea4f86c91aac00b9ef4d659fda91b26b21ea1ad98b0d12,3840,2160,bjorn,egocentric,bjorn,day1,day1/11/6,privacy_risk_enriched,reviewed
MM2_0007,day1/members/florian/11_0315.webp,58669153b1176aa6304ae96cafef33a7cb5921a49b878442600241ffaca7d5aa,3840,2160,florian,egocentric,florian,day1,day1/11/3,privacy_risk_enriched,reviewed
MM2_0008,day1/members/klaus/11_0127.webp,9bebb6deaa53fc65928652718f7d2466e070922451a26918b170782999d5a006,3840,2160,klaus,egocentric,klaus,day1,day1/11/1,privacy_risk_enriched,reviewed
MM2_0009,day1/members/allie/12_0701.webp,df15f3fada8e83dbe5c68d5f6036c87b79147fb58119df30f07fcc54b69c9929,3840,2160,allie,egocentric,allie,day1,day1/12/7,privacy_risk_enriched,reviewed
MM2_0010,day1/members/onanong/12_0397.webp,e76507aa729a1cd87a4d12a7a1e1a6c35b2301a26b5a58e13fecd8680ee919f4,3840,2160,onanong,egocentric,onanong,day1,day1/12/3,privacy_risk_enriched,reviewed
MM2_0011,day1/members/onanong/12_0645.webp,5a05cbf6ecf6b08279004673668f09ffe3ae71b0f5b466caef7974d656255144,3840,2160,onanong,egocentric,onanong,day1,day1/12/6,privacy_risk_enriched,reviewed
MM2_0012,day1/members/onanong/12_0150.webp,5a3675ec378448a388b1ed17e1e475f2a5c1189144b19c697e81b2a24890cfaa,3840,2160,onanong,egocentric,onanong,day1,day1/12/1,privacy_risk_enriched,reviewed
MM2_0013,day1/members/onanong/13_0656.webp,169d22b0c97bc74d7df557e9373d5e5291af1fdce53fcc881139949a6732fe00,3840,2160,onanong,egocentric,onanong,day1,day1/13/6,privacy_risk_enriched,reviewed
MM2_0014,day1/members/allie/13_0023.webp,428dd72d22c0da9f691e74d6800c63d6b5ed9f2c722e2440dfdaab56ed18d8b8,3840,2160,allie,egocentric,allie,day1,day1/13/0,privacy_risk_enriched,reviewed
MM2_0015,day1/members/werner/13_0227.webp,0ec2fd4a0491afa91d51a73732791bf77d6a614d95439e60c7eb70c4309eef8c,3840,2160,werner,egocentric,werner,day1,day1/13/2,privacy_risk_enriched,reviewed
MM2_0016,day1/members/onanong/13_0418.webp,ceed069d2cbb65e1d74ec1a64b6538281d25acc673b3a22f196eb3f7d1f1c640,3840,2160,onanong,egocentric,onanong,day1,day1/13/4,privacy_risk_enriched,reviewed
MM2_0017,day1/members/allie/14_0032.webp,1837280b9e0f88e61a552ec6099ea35a2aef8b59be7f00d946bc7a4be4e22583,3840,2160,allie,egocentric,allie,day1,day1/14/0,privacy_risk_enriched,reviewed
MM2_0018,day1/members/cathal/14_0438.webp,00cf1a25196a057ac5e41b12187685127fb45bb6ead0acec9321b709464fdb48,3840,2160,cathal,egocentric,cathal,day1,day1/14/4,privacy_risk_enriched,reviewed
MM2_0019,day1/members/luca/14_0671.webp,107ce862add849fb07369c10bceb7f0f82d9ca1bbee511ff9b1c9571cda5a633,3840,2160,luca,egocentric,luca,day1,day1/14/6,privacy_risk_enriched,reviewed
MM2_0020,day1/members/tien/14_0109.webp,03ee63a31c1fc9a55391601eb5fdecfcc16859b5e4031f44bdeb9ae76a201fa0,3840,2160,tien,egocentric,tien,day1,day1/14/1,privacy_risk_enriched,reviewed
MM2_0021,day1/members/luca/15_0032.webp,8370c6bec92f453a08649312a73cdece6bc4fce538d061cabf042c8e8cba5872,3840,2160,luca,egocentric,luca,day1,day1/15/0,privacy_risk_enriched,reviewed
MM2_0022,day1/members/onanong/15_0174.webp,90023977baf681a975a7d16d57948c0d38c29da6e1ec765681e8cbf518b43a79,3840,2160,onanong,egocentric,onanong,day1,day1/15/1,privacy_risk_enriched,reviewed
MM2_0023,day1/members/onanong/15_0421.webp,e34e3f0926a4527d1107a9cb39b221240854e2dc41425b2cc0c08c8b27951c21,3840,2160,onanong,egocentric,onanong,day1,day1/15/4,privacy_risk_enriched,reviewed
MM2_0024,day1/members/florian/15_0596.webp,84a67fa31c4c402d675f5b231303707637b4d0bceb6c1a983c565b168945ef9b,3840,2160,florian,egocentric,florian,day1,day1/15/5,privacy_risk_enriched,reviewed
MM2_0025,day1/members/werner/16_0501.webp,9193442d7487e98df73d9dd5f21240f98c88ff2959882585c3cbcb461667426d,3840,2160,werner,egocentric,werner,day1,day1/16/5,privacy_risk_enriched,reviewed
MM2_0026,day1/members/werner/16_0278.webp,7f454dda6277fd3254bf26ad3fa55e25b797d526592f93223b1348739bd840f1,3840,2160,werner,egocentric,werner,day1,day1/16/2,privacy_risk_enriched,reviewed
MM2_0027,day1/members/florian/16_0046.webp,e3538bda144ecae4ed72df738ea3e501c221090681d3420fe15113edfd0e68b6,3840,2160,florian,egocentric,florian,day1,day1/16/0,privacy_risk_enriched,reviewed
MM2_0028,day1/members/cathal/16_0128.webp,d561354cd58e187eee07ee337d7703a15d5ee75637776fbc7dce516aa4abd5e3,3840,2160,cathal,egocentric,cathal,day1,day1/16/1,privacy_risk_enriched,reviewed
MM2_0029,day1/members/klaus/17_0225.webp,0e9b1bddbb30884d0f863e81675759d595bd092ae8c56ef23324da9499dc808a,3840,2160,klaus,egocentric,klaus,day1,day1/17/2,privacy_risk_enriched,reviewed
MM2_0030,day1/members/cathal/17_0482.webp,093ae5d1c1bfb7cd98eb460315dc5a977a9b6a18e93708c2dcd740b032434d32,3840,2160,cathal,egocentric,cathal,day1,day1/17/4,privacy_risk_enriched,reviewed
MM2_0031,day1/members/stevan/17_0713.webp,6f4528b02a80965152c28ca929d755f08ffa0af44754c5f766b1806e385c23b2,3840,2160,stevan,egocentric,stevan,day1,day1/17/7,privacy_risk_enriched,reviewed
MM2_0032,day1/members/tien/17_0143.webp,3991eaf4459625733407dae660e43c27b632ac41cfdce8a773977a2c681509b6,3840,2160,tien,egocentric,tien,day1,day1/17/1,privacy_risk_enriched,reviewed
MM2_0033,day1/members/werner/18_0025.webp,df93ced659f629b8f3d6b873df1d9bebf71caaf96255fc5d65c33b305200ab23,3840,2160,werner,egocentric,werner,day1,day1/18/0,privacy_risk_enriched,reviewed
MM2_0034,day1/members/cathal/18_0506.webp,e57e15c5f86ba44a7e30b748bd386391e204bfe36a950f09d30dafa22da70975,3840,2160,cathal,egocentric,cathal,day1,day1/18/5,privacy_risk_enriched,reviewed
MM2_0035,day1/members/luca/18_0100.webp,edcd7a0135a70200f5c290e6c99663be8843a43f1b088fca4b9da38b2120af78,3840,2160,luca,egocentric,luca,day1,day1/18/1,privacy_risk_enriched,reviewed
MM2_0036,day1/members/bjorn/18_0423.webp,aff71652181a83e83a0e0fb3dc79452291c55fd2c22959f49d071752872b767e,3840,2160,bjorn,egocentric,bjorn,day1,day1/18/4,privacy_risk_enriched,reviewed
MM2_0037,day1/members/werner/19_0440.webp,c0738f71c0b4948ab1bd0b9b358f06544de920263204f44aa3d3fb46fd56f358,3840,2160,werner,egocentric,werner,day1,day1/19/4,privacy_risk_enriched,reviewed
