protocol,relative_path,image_id,image_path,source_group,day_id,camera_stream_id,timestamp_id,manual_review_status,category_review_status,manual_face_count,face_count_category,face_scale_category,condition_label,label_no_face,label_single_face,label_multi_face,label_small_face,label_medium_face,label_large_face,label_mixed_scale_face,label_very_small_or_distant_face,label_edge_or_partial_face,label_profile_or_occluded_face,label_downward_egocentric_view,label_motion_blur_or_low_sharpness,label_low_light_or_dim,label_high_clutter,label_outdoor_or_vehicle_scene,label_text_or_screen_risk_in_face_protocol,geom_face_count,geom_max_area_ratio,geom_mean_area_ratio,geom_min_area_ratio,geom_face_coverage_ratio,geom_max_height_ratio,geom_mean_height_ratio,geom_edge_face_count,geom_lower_frame_face_count,geom_upper_frame_face_count,geom_center_face_count,image_read_status,img_brightness_mean,img_brightness_std,img_sharpness_laplacian_var,img_edge_density,img_saturation_mean
baseline_500,day3/members/stevan/11_0546.webp,day3/members/stevan/11_0546.webp,data/castle2024/raw/day3/members/stevan/11_0546.webp,day3/stevan/11,day3,stevan,11_0546,yes,reviewed,4,multi_face,mixed_scale,multi_face|mixed_scale|downward_egocentric|low_light_or_dim|clutter_medium,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4.0,0.009609375,0.004689067322530864,0.0014583333333333334,0.018756269290123456,0.15185185185185185,0.09722222222222222,0.0,1.0,2.0,1.0,ok,81.02147759331598,66.00630877005466,628.630353582816,0.09888373480902778,91.43478054470486
baseline_500,day1/members/luca/11_0360.webp,day1/members/luca/11_0360.webp,data/castle2024/raw/day1/members/luca/11_0360.webp,day1/luca/11,day1,luca,11_0360,yes,reviewed,4,multi_face,mixed_scale,multi_face|mixed_scale|edge_or_partial|clutter_high,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,4.0,0.01554711612654321,0.0059683641975308635,0.00041039737654320987,0.023873456790123454,0.19768518518518519,0.11261574074074074,2.0,0.0,2.0,0.0,ok,94.89503987630208,62.180854468744194,1180.0990733632611,0.14082166883680555,77.67141384548611
baseline_500,day3/members/tien/15_0003.webp,day3/members/tien/15_0003.webp,data/castle2024/raw/day3/members/tien/15_0003.webp,day3/tien/15,day3,tien,15_0003,yes,reviewed,0,no_face,none,no_face|outdoor_or_vehicle|clutter_low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,109.62098524305556,55.5879593447727,692.1827525268367,0.076171875,55.277804904513886
baseline_500,day2/members/bjorn/17_0341.webp,day2/members/bjorn/17_0341.webp,data/castle2024/raw/day2/members/bjorn/17_0341.webp,day2/bjorn/17,day2,bjorn,17_0341,yes,reviewed,0,no_face,none,no_face|clutter_high,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,99.17636447482639,57.71958570688506,1634.1560545716393,0.1614651150173611,90.50763617621527
baseline_500,day1/members/stevan/14_0277.webp,day1/members/stevan/14_0277.webp,data/castle2024/raw/day1/members/stevan/14_0277.webp,day1/stevan/14,day1,stevan,14_0277,yes,reviewed,4,multi_face,medium,multi_face|medium|downward_egocentric|clutter_high,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,4.0,0.025671537422839508,0.01097900390625,0.004845920138888889,0.043916015625,0.24768518518518517,0.14756944444444442,0.0,1.0,0.0,2.0,ok,92.19373236762152,65.25759279144636,1043.240579892778,0.1251491970486111,109.69738091362848
baseline_500,day3/members/werner/16_0642.webp,day3/members/werner/16_0642.webp,data/castle2024/raw/day3/members/werner/16_0642.webp,day3/werner/16,day3,werner,16_0642,yes,reviewed,1,single_face,very_small_or_distant,single_face|very_small_or_distant|clutter_medium,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0014019097222222221,0.0014019097222222221,0.0014019097222222221,0.0014019097222222221,0.04722222222222222,0.04722222222222222,0.0,0.0,1.0,0.0,ok,129.9248521592882,53.80316219163112,968.2033138523499,0.10718451605902778,34.45024956597222
baseline_500,day3/members/tien/20_0668.webp,day3/members/tien/20_0668.webp,data/castle2024/raw/day3/members/tien/20_0668.webp,day3/tien/20,day3,tien,20_0668,yes,reviewed,5,multi_face,small,multi_face|small|edge_or_partial|downward_egocentric|clutter_medium,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,5.0,0.00796875,0.004640769675925927,0.0032412229938271605,0.023203848379629632,0.1259259259259259,0.09962962962962962,1.0,3.0,0.0,1.0,ok,97.37200927734375,56.834750096839755,894.7568124657796,0.11197916666666667,84.41623942057292
baseline_500,day1/members/werner/18_0414.webp,day1/members/werner/18_0414.webp,data/castle2024/raw/day1/members/werner/18_0414.webp,day1/werner/18,day1,werner,18_0414,yes,reviewed,4,multi_face,medium,multi_face|medium|edge_or_partial|low_light_or_dim|clutter_medium,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,4.0,0.01386815200617284,0.009755015432098765,0.006929374035493827,0.03902006172839506,0.1787037037037037,0.15520833333333334,2.0,0.0,4.0,0.0,ok,83.43840196397569,59.786421723502855,816.066498633842,0.1150783962673611,96.81191677517361
baseline_500,day1/members/klaus/08_0415.webp,day1/members/klaus/08_0415.webp,data/castle2024/raw/day1/members/klaus/08_0415.webp,day1/klaus/08,day1,klaus,08_0415,yes,reviewed,0,no_face,none,no_face|motion_blur_or_low_sharpness|clutter_low,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ok,101.09141710069444,53.092373157230895,413.9197632405493,0.0909695095486111,46.391147189670136
baseline_500,day4/members/florian/14_0019.webp,day4/members/florian/14_0019.webp,data/castle2024/raw/day4/members/florian/14_0019.webp,day4/florian/14,day4,florian,14_0019,yes,reviewed,6,multi_face,medium,multi_face|medium|edge_or_partial|downward_egocentric|motion_blur_or_low_sharpness|clutter_low,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,6.0,0.010234375,0.005885939107510289,0.0038888888888888888,0.03531563464506173,0.18194444444444444,0.11180555555555556,1.0,1.0,5.0,0.0,ok,107.97074381510417,57.81518620523768,166.22638538571786,0.07550048828125,92.63949924045139
