label,support,precision,recall,f1,f2,route_eligible,included_in_primary_score,method_id,feature_set,estimator
downward_egocentric_view,242,0.35989717223650386,0.5785123966942148,0.4437400950871632,0.5158437730287398,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
edge_or_partial_face,376,0.8011204481792717,0.7606382978723404,0.7803547066848567,0.7684040838259001,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
high_clutter,360,0.8625954198473282,0.9416666666666667,0.900398406374502,0.9247135842880524,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
large_face,42,0.13245033112582782,0.47619047619047616,0.20725388601036268,0.31347962382445144,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
low_light_or_dim,199,0.8495575221238938,0.964824120603015,0.9035294117647059,0.9393346379647749,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
medium_face,223,0.4241645244215938,0.7399103139013453,0.5392156862745098,0.6440281030444965,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
mixed_scale_face,171,0.4463087248322148,0.7777777777777778,0.5671641791044776,0.6771894093686355,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
motion_blur_or_low_sharpness,194,0.6784313725490196,0.8917525773195877,0.7706013363028953,0.8389912706110573,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
multi_face,556,0.9527272727272728,0.9424460431654677,0.9475587703435805,0.9444844989185291,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
no_face,283,0.8422712933753943,0.9434628975265018,0.89,0.9213250517598344,True,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
outdoor_or_vehicle_scene,23,0.41025641025641024,0.6956521739130435,0.5161290322580645,0.6106870229007634,False,False,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
profile_or_occluded_face,206,0.3560606060606061,0.6844660194174758,0.4684385382059801,0.5778688524590164,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
single_face,161,0.47126436781609193,0.7639751552795031,0.5829383886255924,0.6795580110497238,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
small_face,229,0.5052910052910053,0.834061135371179,0.6293245469522241,0.7380216383307573,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
text_or_screen_risk_in_face_protocol,0,0.0,0.0,0.0,0.0,False,False,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
very_small_or_distant_face,52,0.2275449101796407,0.7307692307692307,0.3470319634703196,0.5066666666666667,False,True,current_best_handcrafted_yolo640__logistic_regression,current_best_handcrafted_yolo640,logistic_regression
downward_egocentric_view,242,0.3041825095057034,0.6611570247933884,0.4166666666666667,0.535475234270415,False,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
edge_or_partial_face,376,0.8314285714285714,0.773936170212766,0.8016528925619835,0.7847896440129449,True,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
high_clutter,360,0.45368171021377673,0.5305555555555556,0.48911651728553135,0.5131649650725416,False,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
large_face,42,0.09124087591240876,0.5952380952380952,0.15822784810126583,0.2828054298642534,False,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
low_light_or_dim,199,0.2109704641350211,0.5025125628140703,0.2971768202080238,0.3937007874015748,False,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
medium_face,223,0.33447098976109213,0.8789237668161435,0.484548825710754,0.6630581867388363,False,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
mixed_scale_face,171,0.3643410852713178,0.8245614035087719,0.5053763440860215,0.6582633053221288,False,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
motion_blur_or_low_sharpness,194,0.26204238921001927,0.7010309278350515,0.3814866760168303,0.525096525096525,False,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
multi_face,556,0.9684601113172542,0.9388489208633094,0.9534246575342465,0.9446254071661238,True,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
no_face,283,0.8414634146341463,0.9752650176678446,0.9034369885433715,0.9452054794520548,True,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
outdoor_or_vehicle_scene,23,0.05214723926380368,0.7391304347826086,0.09742120343839542,0.20334928229665072,False,False,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
profile_or_occluded_face,206,0.37410071942446044,0.7572815533980582,0.5008025682182986,0.628525382755842,False,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
single_face,161,0.5502008032128514,0.8509316770186336,0.6682926829268293,0.7670772676371781,False,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
small_face,229,0.3327526132404181,0.834061135371179,0.47571606475716066,0.6409395973154363,False,True,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
text_or_screen_risk_in_face_protocol,0,0.0,0.0,0.0,0.0,False,False,detector_disagreement_only__logistic_regression,detector_disagreement_only,logistic_regression
