protocol,routing_mode,image_rows,routed_rows,abstained_rows,mean_oapr_detector_score,mean_precision,mean_recall,mean_f1,best_fixed_routing_mode,best_fixed_oapr_detector_score,delta_vs_best_fixed_score,delta_vs_best_fixed_recall
01_baseline_500,predicted_selective_router,500,387,113,0.8857044389046355,0.9651097027356611,0.8635876827991664,,fixed_yolo_face_scrfd_fallback,0.8735747757599664,0.012129663144669012,0.01615565862998214
01_baseline_500,oracle_selective_router,500,376,124,0.8852629017736328,0.9642760154918364,0.8632533406474483,,fixed_yolo_face_scrfd_fallback,0.8735747757599664,0.011688126013666311,0.015821316478264014
01_baseline_500,fixed_yolo_face_scrfd_fallback,500,500,0,0.8735747757599664,0.9680759275237274,0.8474320241691843,0.9037454691904954,fixed_yolo_face_scrfd_fallback,0.8735747757599664,0.0,0.0
01_baseline_500,fixed_yolo_face_s,500,500,0,0.8638487669414312,0.9761061946902656,0.8330815709969788,0.8989405052974735,fixed_yolo_face_scrfd_fallback,0.8735747757599664,-0.009726008818535248,-0.014350453172205513
01_baseline_500,fixed_scrfd,500,500,0,0.8622424859064703,0.9625435540069688,0.8345921450151057,0.8940129449838188,fixed_yolo_face_scrfd_fallback,0.8735747757599664,-0.011332289853496103,-0.012839879154078582
02_egocentric_stress_500,predicted_selective_router,500,354,146,0.933439164963203,0.9606095758206196,0.9256588001375394,,fixed_scrfd,0.926162715335658,0.007276449627545034,0.007434501072118849
02_egocentric_stress_500,oracle_selective_router,500,343,157,0.9331304490664671,0.9604970960471567,0.9252945709345046,,fixed_scrfd,0.926162715335658,0.006967733730809167,0.007070271869084044
02_egocentric_stress_500,fixed_scrfd,500,500,0,0.926162715335658,0.9538834951456312,0.9182242990654206,0.9357142857142857,fixed_scrfd,0.926162715335658,0.0,0.0
02_egocentric_stress_500,fixed_yolo_face_scrfd_fallback,500,500,0,0.9207854941075944,0.937799043062201,0.9158878504672896,0.926713947990544,fixed_scrfd,0.926162715335658,-0.005377221228063611,-0.00233644859813098
02_egocentric_stress_500,fixed_yolo_face_s,500,500,0,0.8991897978805838,0.9390444810543658,0.8878504672897196,0.912730184147318,fixed_scrfd,0.926162715335658,-0.02697291745507413,-0.030373831775700966
