protocol,model,subgroup,image_count,ground_truth_boxes,prediction_boxes,ap,precision,recall,f1,true_positives,false_positives,false_negatives,zero_face_false_positive_images,zero_face_specificity,oapr_detector_score
01_baseline_500,dsfd,all_images,500,1324,1203,0.8491793296948198,0.9393183707398172,0.8534743202416919,0.8943411159477641,1130,73,194,0,,0.8722754242180224
01_baseline_500,dsfd,multi_face,280,1241,1141,0.8670917597732383,0.9474145486415425,0.871071716357776,0.9076406381192276,1081,60,160,0,,0.8878482300265156
01_baseline_500,dsfd,single_face,83,83,59,0.5800283791854852,0.8305084745762712,0.5903614457831325,0.6901408450704225,49,10,34,0,,0.6393209984842689
01_baseline_500,dsfd,no_face,137,0,3,0.0,0.0,0.0,0.0,0,3,0,3,0.9781021897810219,0.9781021897810219
01_baseline_500,dsfd,very_small_or_distant_face,40,81,76,0.7880874978450155,0.8552631578947368,0.8024691358024691,0.8280254777070064,65,11,16,0,,0.8141376234878301
01_baseline_500,dsfd,small_face,110,386,359,0.8741506759695372,0.947075208913649,0.8808290155440415,0.912751677852349,340,19,46,0,,0.8954343004580791
01_baseline_500,dsfd,medium_face,73,169,147,0.8258686441445009,0.9523809523809523,0.8284023668639053,0.8860759493670886,140,7,29,0,,0.8552186210414058
01_baseline_500,dsfd,large_face,14,14,11,0.6357142857142858,0.8181818181818182,0.6428571428571429,0.7200000000000001,9,2,5,0,,0.6796753246753248
01_baseline_500,dsfd,mixed_scale_face,126,674,607,0.8520291165613528,0.9489291598023064,0.8545994065281899,0.8992974238875878,576,31,98,0,,0.8752068861954511
01_baseline_500,dsfd,edge_or_partial_face,183,768,669,0.8228952849682244,0.9476831091180867,0.8255208333333334,0.8823938761308282,634,35,134,0,,0.8519553216111825
01_baseline_500,dsfd,downward_egocentric_view,153,697,632,0.8436234498688434,0.9367088607594937,0.8493543758967002,0.890895410082769,592,40,105,0,,0.8684750829294967
01_baseline_500,dsfd,motion_blur_or_low_sharpness,100,208,164,0.7037749310389996,0.9085365853658537,0.7163461538461539,0.8010752688172043,149,15,59,0,,0.7567474757408864
01_baseline_500,dsfd,low_light_or_dim,100,265,242,0.8497780683592729,0.9338842975206612,0.8528301886792453,0.8915187376725838,226,16,39,0,,0.8706077368117215
01_baseline_500,dsfd,high_clutter,170,555,508,0.8670283915172332,0.9488188976377953,0.8684684684684685,0.9068673565380996,482,26,73,0,,0.8861032334028089
01_baseline_500,dsfd,outdoor_or_vehicle_scene,5,9,9,1.0,1.0,1.0,1.0,9,0,0,0,,1.0
01_baseline_500,mtcnn,all_images,500,1324,1069,0.6677776341423091,0.8372310570626754,0.6759818731117825,0.7480150438779775,895,174,429,0,,0.7101150841984205
01_baseline_500,mtcnn,multi_face,280,1241,970,0.6887529086157809,0.8886597938144329,0.6946011281224819,0.7797376752600632,862,108,379,0,,0.7352911314760724
01_baseline_500,mtcnn,single_face,83,83,64,0.37880757582660146,0.515625,0.39759036144578314,0.44897959183673464,33,31,50,0,,0.4222411328989428
01_baseline_500,mtcnn,no_face,137,0,35,0.0,0.0,0.0,0.0,0,35,0,29,0.7883211678832117,0.7883211678832117
01_baseline_500,mtcnn,very_small_or_distant_face,40,81,61,0.5280817050450745,0.7213114754098361,0.5432098765432098,0.6197183098591549,44,17,37,0,,0.5801471447588588
01_baseline_500,mtcnn,small_face,110,386,313,0.7095164421953576,0.8817891373801917,0.7150259067357513,0.7896995708154506,276,37,110,0,,0.7503706458201203
01_baseline_500,mtcnn,medium_face,73,169,136,0.639248364158895,0.8014705882352942,0.6449704142011834,0.7147540983606558,109,27,60,0,,0.6780663526444627
01_baseline_500,mtcnn,large_face,14,14,10,0.5714285714285714,0.8,0.5714285714285714,0.6666666666666666,8,2,6,0,,0.618095238095238
01_baseline_500,mtcnn,mixed_scale_face,126,674,514,0.6724386457224287,0.8910505836575876,0.6795252225519288,0.7710437710437711,458,56,216,0,,0.7235573957854553
01_baseline_500,mtcnn,edge_or_partial_face,183,768,588,0.654394810890646,0.8622448979591837,0.66015625,0.7477876106194691,507,81,261,0,,0.7022729549507857
01_baseline_500,mtcnn,downward_egocentric_view,153,697,523,0.6636701646073814,0.892925430210325,0.6700143472022956,0.7655737704918033,467,56,230,0,,0.7161953113254755
01_baseline_500,mtcnn,motion_blur_or_low_sharpness,100,208,115,0.4519509592482711,0.8434782608695652,0.46634615384615385,0.6006191950464397,97,18,111,0,,0.5376276248485665
01_baseline_500,mtcnn,low_light_or_dim,100,265,211,0.6859170116293828,0.8672985781990521,0.690566037735849,0.7689075630252099,183,28,82,0,,0.7278246731045095
01_baseline_500,mtcnn,high_clutter,170,555,501,0.7277734478535007,0.8143712574850299,0.7351351351351352,0.7727272727272727,408,93,147,0,,0.7524567817681591
01_baseline_500,mtcnn,outdoor_or_vehicle_scene,5,9,7,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.75,6,1,3,0,,0.7065476190476191
01_baseline_500,retinaface_mobilenet,all_images,500,1324,1107,0.7520742933067052,0.907859078590786,0.7590634441087614,0.8268202385849445,1005,102,319,0,,0.7908822061760096
01_baseline_500,retinaface_mobilenet,multi_face,280,1241,1022,0.76883023980612,0.9393346379647749,0.7735697018533441,0.8484312859036677,960,62,281,0,,0.808861591477068
01_baseline_500,retinaface_mobilenet,single_face,83,83,58,0.5199034752712064,0.7758620689655172,0.5421686746987951,0.6382978723404256,45,13,38,0,,0.589570313535875
01_baseline_500,retinaface_mobilenet,no_face,137,0,27,0.0,0.0,0.0,0.0,0,27,0,20,0.8540145985401459,0.8540145985401459
01_baseline_500,retinaface_mobilenet,very_small_or_distant_face,40,81,67,0.713222520530108,0.8805970149253731,0.7283950617283951,0.7972972972972973,59,8,22,0,,0.7608408159403184
01_baseline_500,retinaface_mobilenet,small_face,110,386,330,0.8079361279285093,0.9484848484848485,0.810880829015544,0.8743016759776536,313,17,73,0,,0.8404964427030018
01_baseline_500,retinaface_mobilenet,medium_face,73,169,142,0.7506874812827606,0.9014084507042254,0.757396449704142,0.8231511254019293,128,14,41,0,,0.7882363187285971
01_baseline_500,retinaface_mobilenet,large_face,14,14,11,0.5545634920634921,0.7272727272727273,0.5714285714285714,0.64,8,3,6,0,,0.6041558441558442
01_baseline_500,retinaface_mobilenet,mixed_scale_face,126,674,530,0.7320834095916147,0.9377358490566038,0.7373887240356083,0.8255813953488371,497,33,177,0,,0.779471604366015
01_baseline_500,retinaface_mobilenet,edge_or_partial_face,183,768,595,0.7241325735358862,0.9411764705882353,0.7291666666666666,0.8217168011738811,560,35,208,0,,0.7735051806856271
01_baseline_500,retinaface_mobilenet,downward_egocentric_view,153,697,556,0.7423083078515905,0.9388489208633094,0.7489239598278336,0.8332003192338387,522,34,175,0,,0.7889855457828825
01_baseline_500,retinaface_mobilenet,motion_blur_or_low_sharpness,100,208,161,0.5132998470478719,0.7142857142857143,0.5528846153846154,0.6233062330623306,115,46,93,0,,0.5866301296941541
01_baseline_500,retinaface_mobilenet,low_light_or_dim,100,265,216,0.7434313721990158,0.9166666666666666,0.7471698113207547,0.8232848232848233,198,18,67,0,,0.783148249846363
01_baseline_500,retinaface_mobilenet,high_clutter,170,555,463,0.7913383799941713,0.9503239740820735,0.7927927927927928,0.8644400785854617,440,23,115,0,,0.8264577323698882
01_baseline_500,retinaface_mobilenet,outdoor_or_vehicle_scene,5,9,8,0.8888888888888888,1.0,0.8888888888888888,0.9411764705882353,8,0,1,0,,0.9130718954248366
01_baseline_500,scrfd,all_images,500,1324,1148,0.8321922888085572,0.9625435540069687,0.8345921450151057,0.8940129449838188,1105,43,219,0,,0.8622424859064703
01_baseline_500,scrfd,multi_face,280,1241,1088,0.8480125341234229,0.9696691176470589,0.8501208702659145,0.9059682267067412,1055,33,186,0,,0.8760375341142357
01_baseline_500,scrfd,single_face,83,83,58,0.5916428270343306,0.8620689655172413,0.6024096385542169,0.7092198581560283,50,8,33,0,,0.6550781261509722
01_baseline_500,scrfd,no_face,137,0,2,0.0,0.0,0.0,0.0,0,2,0,2,0.9854014598540146,0.9854014598540146
01_baseline_500,scrfd,very_small_or_distant_face,40,81,68,0.770461503324403,0.9264705882352942,0.7777777777777778,0.8456375838926173,63,5,18,0,,0.8096120103522393
01_baseline_500,scrfd,small_face,110,386,356,0.8882641687428634,0.9662921348314607,0.8911917098445595,0.9272237196765498,344,12,42,0,,0.9077097548012474
01_baseline_500,scrfd,medium_face,73,169,150,0.8315633761284653,0.94,0.834319526627219,0.8840125391849529,141,9,28,0,,0.8573108271039306
01_baseline_500,scrfd,large_face,14,14,9,0.6428571428571429,1.0,0.6428571428571429,0.782608695652174,9,0,5,0,,0.7135093167701864
01_baseline_500,scrfd,mixed_scale_face,126,674,563,0.8116814740468756,0.9733570159857904,0.8130563798219584,0.8860145513338723,548,15,126,0,,0.8473259863163202
01_baseline_500,scrfd,edge_or_partial_face,183,768,642,0.8077768550188661,0.9688473520249221,0.8098958333333334,0.8822695035460993,622,20,146,0,,0.8438844027556838
01_baseline_500,scrfd,downward_egocentric_view,153,697,602,0.8335756774443029,0.96843853820598,0.836441893830703,0.8976135488837567,583,19,114,0,,0.8649344720314942
01_baseline_500,scrfd,motion_blur_or_low_sharpness,100,208,155,0.6799781459050598,0.9225806451612903,0.6875,0.7878787878787878,143,12,65,0,,0.736102761485826
01_baseline_500,scrfd,low_light_or_dim,100,265,224,0.8214691333868788,0.9732142857142857,0.8226415094339623,0.8916155419222904,218,6,47,0,,0.8549422951840767
01_baseline_500,scrfd,high_clutter,170,555,490,0.854790609538927,0.9693877551020408,0.8558558558558559,0.9090909090909091,475,15,80,0,,0.8805178090892378
01_baseline_500,scrfd,outdoor_or_vehicle_scene,5,9,10,0.8765432098765431,0.8,0.8888888888888888,0.8421052631578948,8,2,1,0,,0.8683040935672515
01_baseline_500,yolo_face_s,all_images,500,1324,1130,0.8317479401644245,0.9761061946902655,0.8330815709969789,0.8989405052974735,1103,27,221,0,,0.8638487669414312
01_baseline_500,yolo_face_s,multi_face,280,1241,1066,0.8438715850522877,0.9831144465290806,0.8444802578565673,0.9085392284351973,1048,18,193,0,,0.8743584193684761
01_baseline_500,yolo_face_s,single_face,83,83,61,0.6516743148501333,0.9016393442622951,0.6626506024096386,0.7638888888888888,55,6,28,0,,0.7118590482147168
01_baseline_500,yolo_face_s,no_face,137,0,3,0.0,0.0,0.0,0.0,0,3,0,3,0.9781021897810219,0.9781021897810219
01_baseline_500,yolo_face_s,very_small_or_distant_face,40,81,68,0.8015218101539964,0.9558823529411765,0.8024691358024691,0.87248322147651,65,3,16,0,,0.83531397893485
01_baseline_500,yolo_face_s,small_face,110,386,354,0.897330649332511,0.980225988700565,0.8989637305699482,0.9378378378378378,347,7,39,0,,0.9168084831999823
01_baseline_500,yolo_face_s,medium_face,73,169,141,0.8160101948172175,0.9787234042553191,0.8165680473372781,0.8903225806451612,138,3,31,0,,0.851222216356053
01_baseline_500,yolo_face_s,large_face,14,14,10,0.6428571428571429,0.9,0.6428571428571429,0.75,9,1,5,0,,0.6953571428571429
01_baseline_500,yolo_face_s,mixed_scale_face,126,674,554,0.8064170908241751,0.9819494584837545,0.8071216617210683,0.8859934853420195,544,10,130,0,,0.8443223973025746
01_baseline_500,yolo_face_s,edge_or_partial_face,183,768,644,0.8202455115950071,0.9798136645962733,0.8216145833333334,0.8937677053824362,631,13,137,0,,0.855472771971903
01_baseline_500,yolo_face_s,downward_egocentric_view,153,697,586,0.8273581511516781,0.984641638225256,0.8278335724533716,0.8994544037412316,577,9,120,0,,0.861419586852525
01_baseline_500,yolo_face_s,motion_blur_or_low_sharpness,100,208,146,0.6719132714886898,0.958904109589041,0.6730769230769231,0.7909604519774011,140,6,68,0,,0.7311305239532544
01_baseline_500,yolo_face_s,low_light_or_dim,100,265,234,0.8469783924027561,0.9615384615384616,0.8490566037735849,0.9018036072144288,225,9,40,0,,0.8734915404102835
01_baseline_500,yolo_face_s,high_clutter,170,555,484,0.8584628363526299,0.9855371900826446,0.8594594594594595,0.9181905678537055,477,7,78,0,,0.8867500096203396
01_baseline_500,yolo_face_s,outdoor_or_vehicle_scene,5,9,9,1.0,1.0,1.0,1.0,9,0,0,0,,1.0
01_baseline_500,yolo_face_scrfd_fallback,all_images,500,1324,1159,0.8457010163012343,0.9680759275237274,0.8474320241691843,0.9037454691904954,1122,37,202,0,,0.8735747757599664
01_baseline_500,yolo_face_scrfd_fallback,multi_face,280,1241,1095,0.858851834411435,0.9744292237442922,0.8597904915390814,0.913527397260274,1067,28,174,0,,0.8846885911899006
01_baseline_500,yolo_face_scrfd_fallback,single_face,83,83,61,0.6516743148501333,0.9016393442622951,0.6626506024096386,0.7638888888888888,55,6,28,0,,0.7118590482147168
01_baseline_500,yolo_face_scrfd_fallback,no_face,137,0,3,0.0,0.0,0.0,0.0,0,3,0,3,0.9781021897810219,0.9781021897810219
01_baseline_500,yolo_face_scrfd_fallback,very_small_or_distant_face,40,81,72,0.8366406762701181,0.9444444444444444,0.8395061728395061,0.888888888888889,68,4,13,0,,0.8623456790123456
01_baseline_500,yolo_face_scrfd_fallback,small_face,110,386,360,0.9023459820308682,0.9694444444444444,0.9041450777202072,0.935656836461126,349,11,37,0,,0.9185529540778608
01_baseline_500,yolo_face_scrfd_fallback,medium_face,73,169,141,0.8160101948172175,0.9787234042553191,0.8165680473372781,0.8903225806451612,138,3,31,0,,0.851222216356053
01_baseline_500,yolo_face_scrfd_fallback,large_face,14,14,10,0.6428571428571429,0.9,0.6428571428571429,0.75,9,1,5,0,,0.6953571428571429
01_baseline_500,yolo_face_scrfd_fallback,mixed_scale_face,126,674,573,0.8267692689908557,0.9738219895287958,0.827893175074184,0.8949478748997595,558,15,116,0,,0.8592497314760391
01_baseline_500,yolo_face_scrfd_fallback,edge_or_partial_face,183,768,663,0.8380638902722222,0.9728506787330317,0.83984375,0.90146750524109,645,18,123,0,,0.8685503816835757
01_baseline_500,yolo_face_scrfd_fallback,downward_egocentric_view,153,697,609,0.8498358878740067,0.9737274220032841,0.8507890961262554,0.9081163859111793,593,16,104,0,,0.8774147511601893
01_baseline_500,yolo_face_scrfd_fallback,motion_blur_or_low_sharpness,100,208,152,0.69486323743784,0.9539473684210527,0.6971153846153846,0.8055555555555555,145,7,63,0,,0.7499086257309941
01_baseline_500,yolo_face_scrfd_fallback,low_light_or_dim,100,265,237,0.8542064415567827,0.9578059071729957,0.8566037735849057,0.9043824701195219,227,10,38,0,,0.8786686610773689
01_baseline_500,yolo_face_scrfd_fallback,high_clutter,170,555,492,0.8673354182556487,0.9796747967479674,0.8684684684684685,0.9207258834765999,482,10,73,0,,0.8926534550484513
01_baseline_500,yolo_face_scrfd_fallback,outdoor_or_vehicle_scene,5,9,10,1.0,0.9,1.0,0.9473684210526316,9,1,0,0,,0.9768421052631578
01_baseline_500,yunet_2026,all_images,500,1324,1034,0.7577512408913146,0.971953578336557,0.7590634441087614,0.8524173027989822,1005,29,319,0,,0.8036909222040962
01_baseline_500,yunet_2026,multi_face,280,1241,985,0.775762943542508,0.9786802030456853,0.7767929089443997,0.8661275831087151,964,21,277,0,,0.8193153068956072
01_baseline_500,yunet_2026,single_face,83,83,43,0.4918076941249219,0.9534883720930233,0.4939759036144578,0.6507936507936507,41,2,42,0,,0.5791315872571126
01_baseline_500,yunet_2026,no_face,137,0,6,0.0,0.0,0.0,0.0,0,6,0,6,0.9562043795620438,0.9562043795620438
01_baseline_500,yunet_2026,very_small_or_distant_face,40,81,56,0.6768703023079946,0.9821428571428571,0.6790123456790124,0.8029197080291971,55,1,26,0,,0.740302237412943
01_baseline_500,yunet_2026,small_face,110,386,322,0.8177004859874004,0.9813664596273292,0.8186528497409327,0.8926553672316384,316,6,70,0,,0.8534248401022488
01_baseline_500,yunet_2026,medium_face,73,169,126,0.7211237269382779,0.9682539682539683,0.7218934911242604,0.8271186440677967,122,4,47,0,,0.7728358270731153
01_baseline_500,yunet_2026,large_face,14,14,8,0.5714285714285714,1.0,0.5714285714285714,0.7272727272727273,8,0,6,0,,0.6532467532467533
01_baseline_500,yunet_2026,mixed_scale_face,126,674,516,0.746841552798465,0.9767441860465116,0.7477744807121661,0.8470588235294116,504,12,170,0,,0.7954925369499122
01_baseline_500,yunet_2026,edge_or_partial_face,183,768,585,0.7409474433306078,0.9743589743589743,0.7421875,0.8425720620842572,570,15,198,0,,0.7905007879569618
01_baseline_500,yunet_2026,downward_egocentric_view,153,697,534,0.7539333813099364,0.9850187265917603,0.7546628407460545,0.8545897644191714,526,8,171,0,,0.8026801602489044
01_baseline_500,yunet_2026,motion_blur_or_low_sharpness,100,208,123,0.5806474635414015,0.983739837398374,0.5817307692307693,0.7311178247734139,121,2,87,0,,0.6592784399331909
01_baseline_500,yunet_2026,low_light_or_dim,100,265,210,0.7685800960140409,0.9714285714285714,0.769811320754717,0.8589473684210527,204,6,61,0,,0.8122570577386865
01_baseline_500,yunet_2026,high_clutter,170,555,455,0.7936846765078586,0.9692307692307692,0.7945945945945946,0.8732673267326733,441,14,114,0,,0.8317263950927317
01_baseline_500,yunet_2026,outdoor_or_vehicle_scene,5,9,8,0.8888888888888888,1.0,0.8888888888888888,0.9411764705882353,8,0,1,0,,0.9130718954248366
