protocol,subgroup,image_count,ground_truth_boxes,best_by_f1,best_f1,best_by_oapr_detector_score,best_oapr_detector_score,best_oapr_precision,best_oapr_recall,best_oapr_false_positives,best_oapr_false_negatives,selection_note
01_baseline_500,all_images,500,1324,yolo_face_scrfd_fallback,0.9037454691904954,yolo_face_scrfd_fallback,0.8735747757599664,0.9680759275237274,0.8474320241691843,37,202,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,downward_egocentric_view,153,697,yolo_face_scrfd_fallback,0.9081163859111793,yolo_face_scrfd_fallback,0.8774147511601893,0.9737274220032841,0.8507890961262554,16,104,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,edge_or_partial_face,183,768,yolo_face_scrfd_fallback,0.90146750524109,yolo_face_scrfd_fallback,0.8685503816835757,0.9728506787330317,0.83984375,18,123,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,high_clutter,170,555,yolo_face_scrfd_fallback,0.9207258834765999,yolo_face_scrfd_fallback,0.8926534550484513,0.9796747967479674,0.8684684684684685,10,73,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,large_face,14,14,scrfd,0.782608695652174,scrfd,0.7135093167701864,1.0,0.6428571428571429,0,5,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,low_light_or_dim,100,265,yolo_face_scrfd_fallback,0.9043824701195219,yolo_face_scrfd_fallback,0.8786686610773689,0.9578059071729957,0.8566037735849057,10,38,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,medium_face,73,169,yolo_face_s,0.8903225806451612,scrfd,0.8573108271039306,0.94,0.834319526627219,9,28,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,mixed_scale_face,126,674,dsfd,0.8992974238875878,dsfd,0.8752068861954511,0.9489291598023064,0.8545994065281899,31,98,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,motion_blur_or_low_sharpness,100,208,yolo_face_scrfd_fallback,0.8055555555555555,dsfd,0.7567474757408864,0.9085365853658537,0.7163461538461539,15,59,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,multi_face,280,1241,yolo_face_scrfd_fallback,0.913527397260274,dsfd,0.8878482300265156,0.9474145486415425,0.871071716357776,60,160,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,no_face,137,0,dsfd,0.0,scrfd,0.9854014598540146,0.0,0.0,2,0,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,outdoor_or_vehicle_scene,5,9,dsfd,1.0,dsfd,1.0,1.0,1.0,0,0,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,single_face,83,83,yolo_face_s,0.7638888888888888,yolo_face_s,0.7118590482147168,0.9016393442622951,0.6626506024096386,6,28,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,small_face,110,386,yolo_face_s,0.9378378378378378,yolo_face_scrfd_fallback,0.9185529540778608,0.9694444444444444,0.9041450777202072,11,37,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,very_small_or_distant_face,40,81,yolo_face_scrfd_fallback,0.888888888888889,yolo_face_scrfd_fallback,0.8623456790123456,0.9444444444444444,0.8395061728395061,4,13,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
