protocol,model,subgroup,image_count,ground_truth_boxes,prediction_boxes,ap,precision,recall,f1,true_positives,false_positives,false_negatives,zero_face_false_positive_images,zero_face_specificity,oapr_detector_score
02_egocentric_stress_500,dsfd,all_images,500,1284,1293,0.8767567174783315,0.8832173240525909,0.8894080996884736,0.886301901435778,1142,151,142,0,,0.8880124725617115
02_egocentric_stress_500,dsfd,multi_face,276,1206,1195,0.8850673336470626,0.9037656903765691,0.8955223880597015,0.899625156184923,1080,115,126,0,,0.8973724103226937
02_egocentric_stress_500,dsfd,single_face,78,78,75,0.7741881501988662,0.8266666666666667,0.7948717948717948,0.8104575163398693,62,13,16,0,,0.8019477124183005
02_egocentric_stress_500,dsfd,no_face,146,0,23,0.0,0.0,0.0,0.0,0,23,0,18,0.8767123287671232,0.8767123287671232
02_egocentric_stress_500,dsfd,very_small_or_distant_face,12,16,16,0.7121753246753247,0.75,0.75,0.75,12,4,4,0,,0.75
02_egocentric_stress_500,dsfd,small_face,119,407,419,0.8811258314152692,0.8663484486873508,0.8918918918918919,0.8789346246973365,363,56,44,0,,0.8860982307727989
02_egocentric_stress_500,dsfd,medium_face,150,550,544,0.8921519862504453,0.9117647058823529,0.9018181818181819,0.9067641681901281,496,48,54,0,,0.9040493308175855
02_egocentric_stress_500,dsfd,large_face,28,61,51,0.8005690660982044,0.9607843137254902,0.8032786885245902,0.8750000000000001,49,2,12,0,,0.8369595789135327
02_egocentric_stress_500,dsfd,mixed_scale_face,45,250,240,0.874209232836262,0.925,0.888,0.9061224489795918,222,18,28,0,,0.896230612244898
02_egocentric_stress_500,dsfd,edge_or_partial_face,193,818,797,0.8729111539098338,0.9058971141781681,0.882640586797066,0.8941176470588236,722,75,96,0,,0.8878355046006156
02_egocentric_stress_500,dsfd,profile_or_occluded_face,206,862,846,0.8759542356583991,0.9042553191489362,0.8874709976798144,0.895784543325527,765,81,97,0,,0.8912278162381548
02_egocentric_stress_500,dsfd,downward_egocentric_view,89,1,11,0.0,0.0,0.0,0.0,0,11,1,0,,0.0
02_egocentric_stress_500,dsfd,motion_blur_or_low_sharpness,94,127,128,0.7606385137263594,0.796875,0.8031496062992126,0.8,102,26,25,0,,0.8017347440944883
02_egocentric_stress_500,dsfd,low_light_or_dim,99,204,206,0.7995859368943079,0.8203883495145631,0.8284313725490197,0.8243902439024391,169,37,35,0,,0.8266167880839288
02_egocentric_stress_500,dsfd,high_clutter,190,577,593,0.9071494062095193,0.8903878583473862,0.9150779896013865,0.9025641025641026,528,65,49,0,,0.9094805047166654
02_egocentric_stress_500,dsfd,outdoor_or_vehicle_scene,18,4,8,0.6791666666666667,0.5,1.0,0.6666666666666666,4,4,0,0,,0.8666666666666667
02_egocentric_stress_500,mtcnn,all_images,500,1284,1128,0.7263562182290245,0.8377659574468085,0.735981308411215,0.7835820895522387,945,183,339,0,,0.7580599686000303
02_egocentric_stress_500,mtcnn,multi_face,276,1206,1011,0.7348179861598726,0.8852621167161226,0.74212271973466,0.8073973838520524,895,116,311,0,,0.7727553254621544
02_egocentric_stress_500,mtcnn,single_face,78,78,71,0.6250158229153391,0.704225352112676,0.6410256410256411,0.6711409395973156,50,21,28,0,,0.6548744367772633
02_egocentric_stress_500,mtcnn,no_face,146,0,46,0.0,0.0,0.0,0.0,0,46,0,30,0.7945205479452055,0.7945205479452055
02_egocentric_stress_500,mtcnn,very_small_or_distant_face,12,16,13,0.6105769230769231,0.7692307692307693,0.625,0.6896551724137931,10,3,6,0,,0.6555868700265253
