protocol,subgroup,image_count,ground_truth_boxes,best_by_f1,best_f1,best_by_oapr_detector_score,best_oapr_detector_score,best_oapr_precision,best_oapr_recall,best_oapr_false_positives,best_oapr_false_negatives,selection_note
02_egocentric_stress_500,all_images,500,1284,scrfd,0.9357142857142856,scrfd,0.9261627153356579,0.9538834951456311,0.9182242990654206,57,105,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,downward_egocentric_view,89,1,dsfd,0.0,dsfd,0.0,0.0,0.0,11,1,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,edge_or_partial_face,193,818,scrfd,0.9368686868686869,scrfd,0.9206928144042326,0.9686684073107049,0.9070904645476773,24,76,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,high_clutter,190,577,scrfd,0.9463500439753739,scrfd,0.9387247974508873,0.9607142857142857,0.9324090121317158,22,39,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,large_face,28,61,yolo_face_scrfd_fallback,0.8947368421052632,yolo_face_scrfd_fallback,0.8633532485714751,0.9622641509433962,0.8360655737704918,2,10,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,low_light_or_dim,99,204,scrfd,0.8838383838383839,scrfd,0.8697034685086157,0.9114583333333334,0.8578431372549019,17,29,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,medium_face,150,550,scrfd,0.9505135387488328,scrfd,0.9368705762768086,0.9769673704414588,0.9254545454545454,12,41,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,mixed_scale_face,45,250,scrfd,0.9382716049382717,scrfd,0.9239780707260934,0.9661016949152542,0.912,8,22,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,motion_blur_or_low_sharpness,94,127,scrfd,0.8809523809523809,scrfd,0.8771483314585676,0.888,0.8740157480314961,14,16,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,multi_face,276,1206,scrfd,0.9448685326547922,scrfd,0.9333331157507628,0.9670138888888888,0.9237147595356551,38,92,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,no_face,146,0,dsfd,0.0,scrfd,0.952054794520548,0.0,0.0,10,0,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,outdoor_or_vehicle_scene,18,4,scrfd,0.888888888888889,scrfd,0.9522222222222223,0.8,1.0,1,0,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,profile_or_occluded_face,206,862,scrfd,0.9403341288782815,scrfd,0.9260889649883441,0.9680589680589681,0.91415313225058,26,74,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,single_face,78,78,scrfd,0.855263157894737,scrfd,0.8433202939781889,0.8783783783783784,0.8333333333333334,9,13,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,small_face,119,407,scrfd,0.9358024691358025,scrfd,0.9332778375789128,0.9404466501240695,0.9312039312039312,24,28,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
02_egocentric_stress_500,very_small_or_distant_face,12,16,scrfd,0.9333333333333333,yolo_face_scrfd_fallback,0.9248830213903744,0.8823529411764706,0.9375,2,1,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
