protocol,subgroup,image_count,ground_truth_boxes,best_by_f1,best_f1,best_by_oapr_detector_score,best_oapr_detector_score,best_oapr_precision,best_oapr_recall,best_oapr_false_positives,best_oapr_false_negatives,selection_note
01_baseline_500,all_images,500,1324,yolo_face_scrfd_fallback,0.9037454691904954,yolo_face_scrfd_fallback,0.8735747757599664,0.9680759275237274,0.8474320241691843,37,202,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,downward_egocentric_view,153,697,yolo_face_scrfd_fallback,0.9081163859111792,yolo_face_scrfd_fallback,0.8774147511601893,0.973727422003284,0.8507890961262554,16,104,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,edge_or_partial_face,183,768,yolo_face_scrfd_fallback,0.90146750524109,yolo_face_scrfd_fallback,0.8685503816835757,0.9728506787330315,0.83984375,18,123,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,high_clutter,170,555,yolo_face_scrfd_fallback,0.9207258834766,yolo_face_scrfd_fallback,0.8926534550484513,0.9796747967479674,0.8684684684684685,10,73,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,large_face,14,14,scrfd,0.782608695652174,scrfd,0.7135093167701864,1.0,0.6428571428571429,0,5,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,low_light_or_dim,100,265,yolo_face_scrfd_fallback,0.904382470119522,yolo_face_scrfd_fallback,0.8786686610773689,0.9578059071729956,0.8566037735849057,10,38,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,medium_face,73,169,yolo_face_s,0.8903225806451612,scrfd,0.8573108271039306,0.94,0.834319526627219,9,28,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,mixed_scale_face,126,674,dsfd,0.8992974238875878,dsfd,0.8752068861954511,0.9489291598023064,0.8545994065281899,31,98,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,motion_blur_or_low_sharpness,100,208,yolo_face_scrfd_fallback,0.8055555555555555,dsfd,0.7567474757408864,0.9085365853658536,0.7163461538461539,15,59,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
01_baseline_500,multi_face,280,1241,yolo_face_scrfd_fallback,0.913527397260274,dsfd,0.8878482300265156,0.9474145486415424,0.871071716357776,60,160,"F1 is reported, but OAPR detector choice should be recall-weighted for face-positive privacy-risk subgroups and specificity-weighted for no-face subgroups."
