protocol,subgroup,image_count,ground_truth_boxes,best_model,best_oapr_detector_score,second_model,second_oapr_detector_score,margin_vs_second,best_f1,best_precision,best_recall,best_true_positives,best_false_positives,best_false_negatives
01_baseline_500,all_images,500,1323,fusion_yolo11s1280_scrfd10g_agreement,0.8926055239492197,yolo11s_widerface_640,0.8892721980036103,0.003333325945609311,0.8989280245022971,0.9107835531419706,0.8873771730914588,1174,115,149
01_baseline_500,downward_egocentric_view,153,697,fusion_yolo11s1280_scrfd10g_agreement,0.8972752612003105,fusion_yolo11s_scrfd10g_agreement,0.8950755850454963,0.0021996761548142008,0.9082905355832722,0.9294294294294294,0.8880918220946915,619,47,78
01_baseline_500,edge_or_partial_face,183,767,yolo11s_widerface_640,0.8855649717514125,fusion_yolo11s1280_scrfd10g_agreement,0.8849526694265626,0.0006123023248498782,0.9044067796610169,0.942090395480226,0.8696219035202086,667,41,100
01_baseline_500,high_clutter,170,554,fusion_yolo11s1280_scrfd10g_agreement,0.91997826481581,yolo11s_widerface_640,0.914612177879754,0.005366086936056003,0.9236363636363637,0.9304029304029304,0.9169675090252708,508,38,46
01_baseline_500,large_face,14,14,scrfd_10g_current_640,0.7135093167701864,yolo8s_lindevs_640,0.6953571428571429,0.018152173913043468,0.782608695652174,1.0,0.6428571428571429,9,0,5
01_baseline_500,low_light_or_dim,100,265,yolo11n_pose_widerface_640,0.8883693075944047,yolo8s_widerface_repo_640,0.881620346831681,0.006748960762723688,0.8948374760994262,0.9069767441860465,0.8830188679245283,234,24,31
01_baseline_500,medium_face,73,169,yolo11s_widerface_640,0.9140238076793968,fusion_yolo11s_scrfd10g_agreement,0.9077568763571757,0.006266931322221114,0.9244712990936556,0.9444444444444444,0.9053254437869822,153,9,16
01_baseline_500,mixed_scale_face,126,673,dsfd_1920,0.8929045297246236,yolo8s_lindevs_1280,0.8795675642208445,0.013336965503779163,0.9086722947045279,0.9396825396825397,0.8796433878157504,592,38,81
01_baseline_500,motion_blur_or_low_sharpness,100,208,fusion_yolo8s_yolo11s_scrfd10g_agreement,0.8012422755670243,yolo8s_widerface_repo_640,0.8009080587874668,0.0003342167795574724,0.8108108108108109,0.8291457286432161,0.7932692307692307,165,34,43
01_baseline_500,multi_face,280,1240,fusion_yolo11s1280_scrfd10g_agreement,0.9054058824610478,yolo11s_widerface_640,0.8998382165059097,0.005567665955138135,0.9138638228055784,0.9298831385642737,0.8983870967741936,1114,84,126
01_baseline_500,no_face,137,0,scrfd_10g_current_640,0.9854014598540146,yolo11n_pose_widerface_640,0.9562043795620438,0.029197080291970767,0.0,0.0,0.0,0,2,0
01_baseline_500,outdoor_or_vehicle_scene,5,9,yolo8s_lindevs_640,1.0,yolo8s_lindevs_1280,1.0,0.0,1.0,1.0,1.0,9,0,0
01_baseline_500,profile_or_occluded_face,0,0,yolo8s_lindevs_640,1.0,yolo8s_lindevs_1280,1.0,0.0,0.0,0.0,0.0,0,0,0
01_baseline_500,single_face,83,83,fusion_yolo11s_scrfd10g_agreement,0.7491917551310051,yolo11s_widerface_640,0.7467745609302883,0.0024171942007168434,0.7792207792207793,0.8450704225352113,0.7228915662650602,60,11,23
01_baseline_500,small_face,110,386,fusion_yolo11s1280_scrfd10g_agreement,0.938238105706056,yolo8s_widerface_repo_640,0.9299494594937395,0.008288646212316508,0.9355670103092784,0.9307692307692308,0.9404145077720207,363,27,23
01_baseline_500,very_small_or_distant_face,40,81,yolo11s_widerface_1280,0.8815015041412722,fusion_yolo11s1280_scrfd10g_agreement,0.8741298633163563,0.007371640824915815,0.8875,0.8987341772151899,0.8765432098765432,71,8,10
