protocol,model,subgroup,image_count,ground_truth_boxes,prediction_boxes,ap,precision,recall,f1,true_positives,false_positives,false_negatives,zero_face_false_positive_images,zero_face_specificity,oapr_detector_score
01_baseline_500,fusion_yolo11s1280_scrfd10g_agreement,all_images,500,1323,1289,0.8843856465325195,0.9107835531419706,0.8873771730914588,0.8989280245022971,1174,115,149,0,,0.8926055239492197
01_baseline_500,yolo11s_widerface_640,all_images,500,1323,1243,0.8739272712052913,0.9332260659694288,0.8767951625094482,0.9041309431021044,1160,83,163,0,,0.8892721980036103
01_baseline_500,fusion_yolo11s_scrfd10g_agreement,all_images,500,1323,1275,0.8782690351674352,0.9145098039215687,0.8813303099017384,0.8976135488837568,1166,109,157,0,,0.8887190690492262
01_baseline_500,yolo11s_widerface_1280,all_images,500,1323,1245,0.87006930592556,0.927710843373494,0.873015873015873,0.8995327102803738,1155,90,168,0,,0.8851145793677603
01_baseline_500,fusion_yolo8s_yolo11s_scrfd10g_agreement,all_images,500,1323,1344,0.8834122774614169,0.8735119047619048,0.8873771730914588,0.880389951256093,1174,170,149,0,,0.884243840799662
01_baseline_500,fusion_yolo8s_scrfd10g_agreement,all_images,500,1323,1305,0.8767464004678396,0.89272030651341,0.8805744520030234,0.8866057838660578,1165,140,158,0,,0.8832968704198207
01_baseline_500,dsfd_1920,all_images,500,1323,1251,0.8645257281902582,0.920863309352518,0.8707482993197279,0.8951048951048951,1152,99,171,0,,0.8818489492692987
01_baseline_500,yolo8s_widerface_repo_640,all_images,500,1323,1304,0.8736077800003686,0.8911042944785276,0.8783068783068783,0.8846593071945184,1162,142,161,0,,0.8811747271459532
01_baseline_500,yolo8s_lindevs_640,all_images,500,1323,1274,0.8688690204293676,0.9065934065934066,0.873015873015873,0.8894878706199462,1155,119,168,0,,0.8804916257746447
01_baseline_500,yolo8s_lindevs_1280,all_images,500,1323,1299,0.8727797214172127,0.8922247882986913,0.8760393046107332,0.8840579710144929,1159,140,164,0,,0.8796625195804689
01_baseline_500,yolo11n_pose_widerface_640,all_images,500,1323,1242,0.8600845840561178,0.9194847020933977,0.8631897203325775,0.890448343079922,1142,100,181,0,,0.8756338741954957
01_baseline_500,scrfd_10g_current_640,all_images,500,1323,1148,0.8328213079233032,0.9625435540069687,0.8352229780801209,0.8943747470659652,1105,43,218,0,,0.8627429779192668
