candidate,family,model_path,image_size,confidence,runtime_seconds,images,detections,failures,failure_examples
yolo8s_lindevs_640,yolo,data/models/yolov8s-face-lindevs.pt,640,0.25,99.903,1000,2630,0,[]
yolo8s_lindevs_1280,yolo,data/models/yolov8s-face-lindevs.pt,1280,0.25,103.918,1000,2706,0,[]
yolo8s_widerface_repo_640,yolo,data/models/face_detection_candidates/yolov8s_widerface.pt,640,0.25,94.486,1000,2680,0,[]
yolo11s_widerface_640,yolo,data/models/face_detection_candidates/yolo11s_widerface.pt,640,0.25,98.392,1000,2576,0,[]
yolo11s_widerface_1280,yolo,data/models/face_detection_candidates/yolo11s_widerface.pt,1280,0.25,111.889,1000,2589,0,[]
yolo11n_pose_widerface_640,yolo,data/models/face_detection_candidates/yolo11n-pose_widerface.pt,640,0.25,95.76,1000,2564,0,[]
scrfd_500m_640,scrfd,data/models/face_detection_candidates/scrfd_500m.onnx,640,0.25,75.346,1000,0,1000,"[{""image_id"": ""01_baseline_500::day3/members/stevan/11_0546.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day1/members/luca/11_0360.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day3/members/tien/15_0003.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day2/members/bjorn/17_0341.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day1/members/stevan/14_0277.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}]"
scrfd_1g_640,scrfd,data/models/face_detection_candidates/scrfd_1g.onnx,640,0.25,78.113,1000,0,1000,"[{""image_id"": ""01_baseline_500::day3/members/stevan/11_0546.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day1/members/luca/11_0360.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day3/members/tien/15_0003.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day2/members/bjorn/17_0341.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day1/members/stevan/14_0277.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}]"
scrfd_2_5g_640,scrfd,data/models/face_detection_candidates/scrfd_2.5g_bnkps.onnx,640,0.25,75.974,1000,0,1000,"[{""image_id"": ""01_baseline_500::day3/members/stevan/11_0546.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day1/members/luca/11_0360.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day3/members/tien/15_0003.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day2/members/bjorn/17_0341.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day1/members/stevan/14_0277.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}]"
scrfd_10g_current_640,scrfd,/home/arun-gmr/.insightface/models/buffalo_l/det_10g.onnx,640,0.25,84.781,1000,2384,0,[]
scrfd_34g_640,scrfd,data/models/face_detection_candidates/scrfd_34g.onnx,640,0.25,95.986,1000,0,1000,"[{""image_id"": ""01_baseline_500::day3/members/stevan/11_0546.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day1/members/luca/11_0360.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day3/members/tien/15_0003.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day2/members/bjorn/17_0341.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}, {""image_id"": ""01_baseline_500::day1/members/stevan/14_0277.webp"", ""error"": ""ValueError: operands could not be broadcast together with shapes (12800,) (1,4) ""}]"
fusion_yolo8s_scrfd10g_agreement,fusion,yolo8s_lindevs_640+scrfd_10g_current_640,,0.22,,1000,2694,0,
fusion_yolo11s_scrfd10g_agreement,fusion,yolo11s_widerface_640+scrfd_10g_current_640,,0.22,,1000,2643,0,
fusion_yolo8s_yolo11s_scrfd10g_agreement,fusion,yolo8s_lindevs_640+yolo11s_widerface_640+scrfd_10g_current_640,,0.22,,1000,2787,0,
fusion_yolo11s1280_scrfd10g_agreement,fusion,yolo11s_widerface_1280+scrfd_10g_current_640,,0.22,,1000,2681,0,
fusion_yolo11s_scrfd34g_agreement,fusion,yolo11s_widerface_640+scrfd_34g_640,,0.22,,1000,0,1000,Skipped/excluded because scrfd_34g_640 failed through InsightFace wrapper.
dsfd_1920,face_detection_package,DSFDDetector,1920,0.5,324.557,1000,2580,0,[]
retinaface_mobilenet_1920,face_detection_package,RetinaNetMobileNetV1,1920,0.5,124.446,1000,2991,0,[]
yunet_2026_1280,yunet,data/models/face_detection_yunet_2026may.onnx,1280,0.25,124.325,1000,5420,0,[]
retinaface_resnet50_1920,face_detection_package,RetinaNetResNet50,1920,0.5,,1000,0,1000,External checkpoint fetch returned HTTP 502 during smoke test; excluded from ranking.
