protocol,model,subgroup,image_count,ground_truth_boxes,prediction_boxes,ap,precision,recall,f1,true_positives,false_positives,false_negatives,zero_face_false_positive_images,zero_face_specificity,oapr_detector_score
01_baseline_500,yolo8s_lindevs_640,all_images,500,1323,1274,0.8688690204293676,0.9065934065934066,0.873015873015873,0.8894878706199462,1155,119,168,0,,0.8804916257746447
01_baseline_500,yolo8s_lindevs_640,multi_face,280,1240,1186,0.8810722233018321,0.9249578414839797,0.8846774193548387,0.9043693322341302,1097,89,143,0,,0.8936284397875758
01_baseline_500,yolo8s_lindevs_640,single_face,83,83,72,0.6973836323994114,0.8055555555555556,0.6987951807228916,0.7483870967741936,58,14,25,0,,0.7218691972189836
01_baseline_500,yolo8s_lindevs_640,no_face,137,0,16,0.0,0.0,0.0,0.0,0,16,0,13,0.9051094890510949,0.9051094890510949
01_baseline_500,yolo8s_lindevs_640,very_small_or_distant_face,40,81,82,0.8537122204117378,0.8536585365853658,0.8641975308641975,0.8588957055214724,70,12,11,0,,0.861818175100633
01_baseline_500,yolo8s_lindevs_640,small_face,110,386,386,0.9221618181778795,0.9248704663212435,0.9248704663212435,0.9248704663212436,357,29,29,0,,0.9248704663212436
01_baseline_500,yolo8s_lindevs_640,medium_face,73,169,161,0.8678906342629673,0.9130434782608695,0.8698224852071006,0.890909090909091,147,14,22,0,,0.8794162359379751
01_baseline_500,yolo8s_lindevs_640,large_face,14,14,10,0.6428571428571429,0.9,0.6428571428571429,0.75,9,1,5,0,,0.6953571428571429
01_baseline_500,yolo8s_lindevs_640,mixed_scale_face,126,673,619,0.8458897192069443,0.9240710823909531,0.849925705794948,0.8854489164086687,572,47,101,0,,0.8662210461079787
01_baseline_500,yolo8s_lindevs_640,edge_or_partial_face,183,767,721,0.8554318664685671,0.9140083217753121,0.8591916558018253,0.8857526881720431,659,62,108,0,,0.8713135804917285
01_baseline_500,yolo8s_lindevs_640,profile_or_occluded_face,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0
01_baseline_500,yolo8s_lindevs_640,downward_egocentric_view,153,697,652,0.8691570246939473,0.9325153374233128,0.8723098995695839,0.9014084507042253,608,44,89,0,,0.8856050811386172
01_baseline_500,yolo8s_lindevs_640,motion_blur_or_low_sharpness,100,208,186,0.742241183529578,0.8494623655913979,0.7596153846153846,0.8020304568527918,158,28,50,0,,0.7792038507723378
01_baseline_500,yolo8s_lindevs_640,low_light_or_dim,100,265,269,0.8704590702916726,0.862453531598513,0.8754716981132076,0.8689138576779026,232,37,33,0,,0.8725304213529118
01_baseline_500,yolo8s_lindevs_640,high_clutter,170,554,533,0.894879596131181,0.9324577861163227,0.8971119133574007,0.9144434222631095,497,36,57,0,,0.9049793778597202
01_baseline_500,yolo8s_lindevs_640,outdoor_or_vehicle_scene,5,9,9,1.0,1.0,1.0,1.0,9,0,0,0,,1.0
01_baseline_500,yolo8s_lindevs_1280,all_images,500,1323,1299,0.8727797214172127,0.8922247882986913,0.8760393046107332,0.8840579710144929,1159,140,164,0,,0.8796625195804689
01_baseline_500,yolo8s_lindevs_1280,multi_face,280,1240,1185,0.8863619313531167,0.929957805907173,0.8887096774193548,0.9088659793814433,1102,83,138,0,,0.8978735657586587
01_baseline_500,yolo8s_lindevs_1280,single_face,83,83,87,0.6694045648888587,0.6551724137931034,0.6867469879518072,0.6705882352941177,57,30,26,0,,0.6795498423715145
01_baseline_500,yolo8s_lindevs_1280,no_face,137,0,27,0.0,0.0,0.0,0.0,0,27,0,24,0.8248175182481752,0.8248175182481752
01_baseline_500,yolo8s_lindevs_1280,very_small_or_distant_face,40,81,86,0.8435122173251764,0.8023255813953488,0.8518518518518519,0.8263473053892216,69,17,12,0,,0.840523088190544
01_baseline_500,yolo8s_lindevs_1280,small_face,110,386,381,0.9182398905543045,0.931758530183727,0.9196891191709845,0.9256844850065189,355,26,31,0,,0.9223949017311424
01_baseline_500,yolo8s_lindevs_1280,medium_face,73,169,160,0.8372617258037178,0.8875,0.8402366863905325,0.8632218844984803,142,18,27,0,,0.8507093172784662
01_baseline_500,yolo8s_lindevs_1280,large_face,14,14,11,0.6428571428571429,0.8181818181818182,0.6428571428571429,0.7200000000000001,9,2,5,0,,0.6796753246753248
01_baseline_500,yolo8s_lindevs_1280,mixed_scale_face,126,673,634,0.8646525644771312,0.9211356466876972,0.8677563150074294,0.8936495791889825,584,50,89,0,,0.8795675642208445
01_baseline_500,yolo8s_lindevs_1280,edge_or_partial_face,183,767,728,0.8664930641238383,0.9162087912087912,0.8696219035202086,0.8923076923076922,667,61,100,0,,0.8799520394859378
01_baseline_500,yolo8s_lindevs_1280,profile_or_occluded_face,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0
