protocol,model,subgroup,image_count,ground_truth_boxes,prediction_boxes,ap,precision,recall,f1,true_positives,false_positives,false_negatives,zero_face_false_positive_images,zero_face_specificity,oapr_detector_score
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,all_images,500,1323,1289,0.8843856465325195,0.9107835531419706,0.8873771730914588,0.8989280245022971,1174,115,149,0,,0.8926055239492197
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,multi_face,280,1240,1198,0.8959949782445695,0.9298831385642737,0.8983870967741936,0.9138638228055784,1114,84,126,0,,0.9054058824610478
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,single_face,83,83,79,0.7072342937237827,0.759493670886076,0.7228915662650602,0.7407407407407407,60,19,23,0,,0.7310140703460819
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,no_face,137,0,12,0.0,0.0,0.0,0.0,0,12,0,11,0.9197080291970803,0.9197080291970803
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,very_small_or_distant_face,40,81,82,0.86748826852417,0.8658536585365854,0.8765432098765432,0.8711656441717791,71,11,10,0,,0.8741298633163563
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,small_face,110,386,390,0.9371942328043321,0.9307692307692308,0.9404145077720207,0.9355670103092784,363,27,23,0,,0.938238105706056
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,medium_face,73,169,167,0.8793024038126112,0.8922155688622755,0.8816568047337278,0.8869047619047618,149,18,20,0,,0.8840246704393411
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,large_face,14,14,10,0.6428571428571429,0.9,0.6428571428571429,0.75,9,1,5,0,,0.6953571428571429
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,mixed_scale_face,126,673,628,0.8625563637143582,0.9267515923566879,0.8647845468053492,0.894696387394312,582,46,91,0,,0.8784592115077238
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,edge_or_partial_face,183,767,729,0.8719276865103286,0.9204389574759945,0.8748370273794003,0.8970588235294117,671,58,96,0,,0.8849526694265626
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,profile_or_occluded_face,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,downward_egocentric_view,153,697,666,0.8853438824746264,0.9294294294294294,0.8880918220946915,0.9082905355832722,619,47,78,0,,0.8972752612003105
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,motion_blur_or_low_sharpness,100,208,188,0.7633840462748833,0.8563829787234043,0.7740384615384616,0.8131313131313131,161,27,47,0,,0.7920461261551688
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,low_light_or_dim,100,265,262,0.8762200086455196,0.8893129770992366,0.879245283018868,0.8842504743833018,233,29,32,0,,0.8815033502680133
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,high_clutter,170,554,546,0.9152285231657398,0.9304029304029304,0.9169675090252708,0.9236363636363637,508,38,46,0,,0.91997826481581
01_baseline_500,fixed_fusion_yolo11s1280_scrfd10g,outdoor_or_vehicle_scene,5,9,11,1.0,0.8181818181818182,1.0,0.9,9,2,0,0,,0.9568181818181818
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,all_images,500,1284,1392,0.9319099762144428,0.8663793103448276,0.9392523364485982,0.9013452914798206,1206,186,78,0,,0.9224882725960267
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,multi_face,276,1206,1267,0.9394542619361361,0.8997632202052092,0.945273631840796,0.9219571370804691,1140,127,66,0,,0.9348934669871556
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,single_face,78,78,94,0.8340834266821627,0.7021276595744681,0.8461538461538461,0.7674418604651163,66,28,12,0,,0.812073231073726
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,no_face,146,0,31,0.0,0.0,0.0,0.0,0,31,0,22,0.8493150684931507,0.8493150684931507
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,very_small_or_distant_face,12,16,22,0.9099988553113554,0.6818181818181818,0.9375,0.7894736842105263,15,7,1,0,,0.8749252392344498
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,small_face,119,407,457,0.9421924503049982,0.8468271334792122,0.9508599508599509,0.8958333333333334,387,70,20,0,,0.9267000147402227
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,medium_face,150,550,569,0.9420517617205895,0.9156414762741653,0.9472727272727273,0.9311885612153709,521,48,29,0,,0.940088560658532
02_egocentric_stress_500,fixed_fusion_yolo11s1280_scrfd10g,large_face,28,61,55,0.8316476804463091,0.9272727272727272,0.8360655737704918,0.8793103448275862,51,4,10,0,,0.855997481884989
