manual_category,support_images,ground_truth_boxes,best_detector_by_f1,best_f1,best_detector_by_recall,best_recall,best_detector_by_oapr_score,best_oapr_detector_score,second_best_detector_by_oapr_score,second_best_oapr_detector_score,best_oapr_margin_over_second,best_oapr_precision,best_oapr_recall,best_oapr_f1,best_oapr_tp,best_oapr_fp,best_oapr_fn,scr_predictability_status,scr_support,scr_precision,scr_recall,scr_f1,scr_f2,scr_predicted_category_or_fallback,runtime_action,final_detector_policy_decision,margin_vs_default_policy,decision_reason,default_policy_oapr_score_for_category,default_policy_recall_for_category,score_source,scr_source
all_images,1000,2607,scrfd_10g_current_640,0.915247,fusion_rfdetr_sliced_yolo11s_scrfd10g,0.934791,cv_box_reranker_with_rfdetr_predicted_conditions,0.912891,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,0.912838,5.3e-05,0.907499,0.914461,0.910967,2384,243,223,not_applicable_global,,,,,,fallback_uncertain_or_unsupported,global_default,cv_box_reranker_with_rfdetr_predicted_conditions,,Use the privacy-weighted RF-DETR-aware box reranker as the single default detector policy.,0.912891,0.914461,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,
downward_egocentric_view,242,698,cv_box_reranker_with_sliced_yolo_predicted_conditions,0.906021,fusion_rfdetr_sliced_yolo11s_scrfd10g,0.916905,fusion_rfdetr_yolo11s_scrfd10g,0.894121,cv_box_reranker_with_sliced_yolo_predicted_conditions,0.893997,0.000124,0.846462,0.908309,0.876296,634,115,64,fallback_required,242,0.363171,0.586777,0.448657,0.522443,fallback_uncertain_or_unsupported,fallback_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,,"SCR does not reliably predict this manual category, so runtime routing must use the fallback detector policy.",0.889279,0.881089,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
edge_or_partial_face,376,1585,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,0.916297,fusion_rfdetr_sliced_yolo11s_scrfd10g,0.933123,fusion_rfdetr_scrfd10g,0.914495,fusion_rfdetr_yolo11s_scrfd10g,0.914232,0.000262,0.898274,0.919243,0.908637,1457,165,128,route_eligible,376,0.813187,0.787234,0.8,0.792291,edge_or_partial_face,fallback_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,0.002786,"The category is predictable, but the category winner does not beat the default reranker by a meaningful margin.",0.911708,0.91041,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
high_clutter,360,1131,cv_box_reranker_with_sliced_yolo_predicted_conditions,0.934455,fusion_rfdetr_yolo11s_scrfd10g,0.952255,cv_box_reranker_with_rfdetr_predicted_conditions,0.936518,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,0.9364,0.000118,0.92201,0.94076,0.931291,1064,90,67,route_eligible,360,0.852417,0.930556,0.889774,0.913803,high_clutter,route_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,0.0,The global privacy-weighted reranker is also the category OAPR winner.,0.936518,0.94076,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
large_face,42,75,yolo11n_pose_widerface_640,0.877698,fusion_rfdetr_scrfd10g,0.866667,fusion_rfdetr_scrfd10g,0.869292,fusion_rfdetr_yolo11s_scrfd10g,0.861565,0.007727,0.878378,0.866667,0.872483,65,9,10,fallback_required,42,0.166667,0.52381,0.252874,0.366667,fallback_uncertain_or_unsupported,fallback_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,,"SCR does not reliably predict this manual category, so runtime routing must use the fallback detector policy.",0.848181,0.826667,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
low_light_or_dim,199,469,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,0.892741,fusion_rfdetr_sliced_yolo11s_scrfd10g,0.908316,cv_box_reranker_with_rfdetr_predicted_conditions,0.8883,fusion_rfdetr_scrfd10g,0.888087,0.000213,0.900217,0.884861,0.892473,415,46,54,route_eligible,199,0.857143,0.964824,0.907801,0.941176,low_light_or_dim,route_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,0.0,The global privacy-weighted reranker is also the category OAPR winner.,0.8883,0.884861,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
medium_face,223,719,scrfd_10g_current_640,0.935252,fusion_rfdetr_yolo11s_scrfd10g,0.94854,cv_box_reranker_with_rfdetr_predicted_conditions,0.933299,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,0.930818,0.002481,0.909825,0.940195,0.924761,676,67,43,fallback_required,223,0.446866,0.735426,0.555932,0.651311,fallback_uncertain_or_unsupported,fallback_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,,"SCR does not reliably predict this manual category, so runtime routing must use the fallback detector policy.",0.933299,0.940195,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
mixed_scale_face,171,923,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,0.907067,fusion_rfdetr_sliced_yolo11s_scrfd10g,0.919827,fusion_rfdetr_yolo11s_scrfd10g,0.902482,fusion_rfdetr_scrfd10g,0.897427,0.005055,0.883966,0.907909,0.895778,838,110,85,fallback_required,171,0.472028,0.789474,0.59081,0.695876,fallback_uncertain_or_unsupported,fallback_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,,"SCR does not reliably predict this manual category, so runtime routing must use the fallback detector policy.",0.892399,0.881907,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
motion_blur_or_low_sharpness,194,335,cv_box_reranker_with_rfdetr_predicted_conditions,0.847095,fusion_rfdetr_sliced_yolo11s_scrfd10g,0.877612,fusion_rfdetr_scrfd10g,0.850231,fusion_rfdetr_yolo11s_scrfd10g,0.847605,0.002626,0.818182,0.859701,0.838428,288,64,47,route_eligible,194,0.689243,0.891753,0.777528,0.842259,motion_blur_or_low_sharpness,route_to_category_winner,fusion_rfdetr_scrfd10g,0.014161,SCR can predict this category and the category OAPR winner has a meaningful margin over the default reranker.,0.83607,0.826866,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
multi_face,556,2446,scrfd_10g_current_640,0.925736,fusion_rfdetr_sliced_yolo11s_scrfd10g,0.941128,fusion_rfdetr_scrfd10g,0.922848,cv_box_reranker_with_rfdetr_predicted_conditions,0.922747,0.000101,0.905104,0.928046,0.916431,2270,238,176,route_eligible,556,0.947842,0.947842,0.947842,0.947842,multi_face,fallback_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,0.000101,"The category is predictable, but the category winner does not beat the default reranker by a meaningful margin.",0.922747,0.922322,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
no_face,283,0,not_applicable_no_face,,not_applicable_no_face,,scrfd_10g_current_640,0.968198,cv_box_reranker_with_sliced_yolo_predicted_conditions,0.961131,0.007067,0.0,0.0,0.0,0,12,0,route_eligible,283,0.857605,0.936396,0.89527,0.9195,no_face,route_to_category_winner,scrfd_10g_current_640,0.031802,SCR can predict this category and the category OAPR winner has a meaningful margin over the default reranker.,0.936396,0.0,outputs/02_face_detection/06_detector_hardening_experiment/detector_hardening_subgroup_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
outdoor_or_vehicle_scene,23,13,yolo8s_lindevs_640,0.962963,yolo8s_lindevs_640,1.0,yolo8s_lindevs_640,0.983598,yolo8s_lindevs_1280,0.983598,0.0,0.928571,1.0,0.962963,13,1,0,fallback_required,23,0.410256,0.695652,0.516129,0.610687,fallback_uncertain_or_unsupported,fallback_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,,"SCR does not reliably predict this manual category, so runtime routing must use the fallback detector policy.",0.955388,1.0,outputs/02_face_detection/06_detector_hardening_experiment/detector_hardening_subgroup_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
profile_or_occluded_face,206,862,scrfd_10g_current_640,0.940334,fusion_rfdetr_yolo11s_scrfd10g,0.955916,cv_box_reranker_with_rfdetr_predicted_conditions,0.93755,fusion_rfdetr_scrfd10g,0.936847,0.000703,0.910615,0.945476,0.927718,815,80,47,fallback_required,206,0.354592,0.674757,0.464883,0.571546,fallback_uncertain_or_unsupported,fallback_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,,"SCR does not reliably predict this manual category, so runtime routing must use the fallback detector policy.",0.93755,0.945476,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
single_face,161,161,cv_box_reranker_with_sliced_yolo_predicted_conditions,0.792332,fusion_rfdetr_yolo11s_scrfd10g,0.857143,fusion_rfdetr_yolo11s_scrfd10g,0.81131,fusion_rfdetr_scrfd10g,0.801993,0.009317,0.666667,0.857143,0.75,138,69,23,fallback_required,161,0.495935,0.757764,0.599509,0.685393,fallback_uncertain_or_unsupported,fallback_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,,"SCR does not reliably predict this manual category, so runtime routing must use the fallback detector policy.",0.791742,0.795031,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
small_face,229,793,scrfd_10g_current_640,0.931701,fusion_rfdetr_yolo11s_scrfd10g,0.953342,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,0.936263,cv_box_reranker_with_rfdetr_predicted_conditions,0.934694,0.001569,0.920988,0.940731,0.930755,746,64,47,fallback_required,229,0.510753,0.829694,0.63228,0.737578,fallback_uncertain_or_unsupported,fallback_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,,"SCR does not reliably predict this manual category, so runtime routing must use the fallback detector policy.",0.934694,0.941992,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
very_small_or_distant_face,52,97,cv_box_reranker_with_rfdetr_predicted_conditions,0.871795,fusion_rfdetr_yolo11s_scrfd10g,0.917526,fusion_rfdetr_yolo11s_scrfd10g,0.885362,cv_box_reranker_with_rfdetr_predicted_conditions,0.874271,0.011091,0.780702,0.917526,0.843602,89,25,8,fallback_required,52,0.286765,0.75,0.414894,0.56686,fallback_uncertain_or_unsupported,fallback_to_privacy_weighted_reranker,cv_box_reranker_with_rfdetr_predicted_conditions,,"SCR does not reliably predict this manual category, so runtime routing must use the fallback detector policy.",0.874271,0.876289,outputs/02_face_detection/08_sliced_rfdetr_detector_experiment/sliced_detector_policy_scores.csv,outputs/02_face_detection/04_scene_condition_router/07_final_per_label_metrics.csv
