method_id,protocol,label,support,precision,recall,f1,f2,route_eligible,label_family
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,no_face,146,0.953947,0.993151,0.973154,0.985054,True,box_geometry
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,single_face,78,0.865169,0.987179,0.922156,0.9601,True,box_geometry
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,multi_face,276,0.989209,0.996377,0.99278,0.994935,True,box_geometry
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,small_face,119,0.811475,0.831933,0.821577,0.827759,True,box_geometry
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,medium_face,150,0.717647,0.813333,0.7625,0.792208,True,box_geometry
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,large_face,28,0.7,0.75,0.724138,0.739437,False,box_geometry
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,mixed_scale_face,45,0.672727,0.822222,0.74,0.787234,True,box_geometry
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,very_small_or_distant_face,12,0.538462,0.583333,0.56,0.57377,False,box_geometry
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,edge_or_partial_face,193,0.799043,0.865285,0.830846,0.851172,True,box_geometry
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,profile_or_occluded_face,206,0.80531,0.883495,0.842593,0.866667,True,not_safely_inferable_from_boxes
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,downward_egocentric_view,89,0.821782,0.932584,0.873684,0.908096,True,other
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,motion_blur_or_low_sharpness,94,0.688679,0.776596,0.73,0.757261,True,image_quality
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,low_light_or_dim,99,0.938144,0.919192,0.928571,0.922921,True,image_quality
cv_crop_conflict_available_handoff_boxes,egocentric_stress_500,high_clutter,190,0.802885,0.878947,0.839196,0.862603,True,image_quality
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,no_face,137,0.985612,1.0,0.992754,0.997089,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,single_face,83,0.976471,1.0,0.988095,0.995204,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,multi_face,280,1.0,1.0,1.0,1.0,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,small_face,110,0.819549,0.990909,0.897119,0.951134,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,medium_face,73,0.48,0.986301,0.64574,0.81448,False,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,large_face,14,0.608696,1.0,0.756757,0.886076,False,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,mixed_scale_face,126,0.990476,0.825397,0.900433,0.853859,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,very_small_or_distant_face,40,1.0,0.8,0.888889,0.833333,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,edge_or_partial_face,183,0.847222,1.0,0.917293,0.96519,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,profile_or_occluded_face,0,0.0,0.0,0.0,0.0,False,not_safely_inferable_from_boxes
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,downward_egocentric_view,153,0.579399,0.882353,0.699482,0.798817,False,other
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,motion_blur_or_low_sharpness,100,0.805085,0.95,0.87156,0.916988,True,image_quality
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,low_light_or_dim,100,0.989899,0.98,0.984925,0.981964,True,image_quality
cv_crop_conflict_reviewed_boxes_upper_bound,baseline_500,high_clutter,170,0.888298,0.982353,0.932961,0.961982,True,image_quality
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,no_face,146,0.979866,1.0,0.989831,0.995907,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,single_face,78,0.915663,0.974359,0.944099,0.962025,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,multi_face,276,0.996377,0.996377,0.996377,0.996377,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,small_face,119,0.76259,0.890756,0.821705,0.861789,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,medium_face,150,0.797101,0.733333,0.763889,0.745257,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,large_face,28,0.72,0.642857,0.679245,0.656934,False,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,mixed_scale_face,45,0.5,0.933333,0.651163,0.795455,False,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,very_small_or_distant_face,12,0.44,0.916667,0.594595,0.753425,False,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,edge_or_partial_face,193,0.867021,0.84456,0.855643,0.848958,True,box_geometry
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,profile_or_occluded_face,206,0.781991,0.800971,0.791367,0.797101,True,not_safely_inferable_from_boxes
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,downward_egocentric_view,89,0.354545,0.876404,0.504854,0.677083,False,other
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,motion_blur_or_low_sharpness,94,0.610169,0.765957,0.679245,0.728745,False,image_quality
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,low_light_or_dim,99,0.940594,0.959596,0.95,0.955734,True,image_quality
cv_crop_conflict_reviewed_boxes_upper_bound,egocentric_stress_500,high_clutter,190,0.859375,0.868421,0.863874,0.866597,True,image_quality
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,no_face,146,0.966443,0.986301,0.976271,0.982265,True,box_geometry
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,single_face,78,0.916667,0.987179,0.950617,0.972222,True,box_geometry
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,multi_face,276,0.989209,0.996377,0.99278,0.994935,True,box_geometry
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,small_face,119,0.790698,0.857143,0.822581,0.842975,True,box_geometry
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,medium_face,150,0.754717,0.8,0.776699,0.790514,True,box_geometry
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,large_face,28,0.5,0.785714,0.611111,0.705128,False,box_geometry
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,mixed_scale_face,45,0.692308,0.8,0.742268,0.775862,True,box_geometry
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,very_small_or_distant_face,12,0.357143,0.416667,0.384615,0.403226,False,box_geometry
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,edge_or_partial_face,193,0.798995,0.823834,0.811224,0.818744,True,box_geometry
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,profile_or_occluded_face,206,0.800905,0.859223,0.82904,0.84689,True,not_safely_inferable_from_boxes
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,downward_egocentric_view,89,0.798077,0.932584,0.860104,0.902174,True,other
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,motion_blur_or_low_sharpness,94,0.666667,0.744681,0.703518,0.727651,True,image_quality
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,low_light_or_dim,99,0.9375,0.909091,0.923077,0.914634,True,image_quality
cv_detector_disagreement_available_handoff_boxes,egocentric_stress_500,high_clutter,190,0.818182,0.852632,0.835052,0.845511,True,image_quality
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,no_face,137,1.0,1.0,1.0,1.0,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,single_face,83,0.976471,1.0,0.988095,0.995204,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,multi_face,280,1.0,1.0,1.0,1.0,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,small_face,110,0.905983,0.963636,0.933921,0.951526,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,medium_face,73,0.473333,0.972603,0.636771,0.803167,False,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,large_face,14,0.538462,1.0,0.7,0.853659,False,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,mixed_scale_face,126,0.971963,0.825397,0.892704,0.851064,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,very_small_or_distant_face,40,1.0,0.85,0.918919,0.876289,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,edge_or_partial_face,183,0.851163,1.0,0.919598,0.966209,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,profile_or_occluded_face,0,0.0,0.0,0.0,0.0,False,not_safely_inferable_from_boxes
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,downward_egocentric_view,153,0.591133,0.784314,0.674157,0.736196,False,other
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,motion_blur_or_low_sharpness,100,0.827273,0.91,0.866667,0.892157,True,image_quality
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,low_light_or_dim,100,0.979798,0.97,0.974874,0.971944,True,image_quality
cv_detector_disagreement_reviewed_boxes_upper_bound,baseline_500,high_clutter,170,0.891304,0.964706,0.926554,0.949074,True,image_quality
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,no_face,146,0.993151,0.993151,0.993151,0.993151,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,single_face,78,0.915663,0.974359,0.944099,0.962025,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,multi_face,276,0.985663,0.996377,0.990991,0.994215,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,small_face,119,0.766917,0.857143,0.809524,0.837438,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,medium_face,150,0.770833,0.74,0.755102,0.745968,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,large_face,28,0.75,0.642857,0.692308,0.661765,False,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,mixed_scale_face,45,0.493827,0.888889,0.634921,0.766284,False,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,very_small_or_distant_face,12,0.458333,0.916667,0.611111,0.763889,False,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,edge_or_partial_face,193,0.870968,0.839378,0.854881,0.845511,True,box_geometry
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,profile_or_occluded_face,206,0.772021,0.723301,0.746867,0.732547,True,not_safely_inferable_from_boxes
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,downward_egocentric_view,89,0.320388,0.741573,0.447458,0.587189,False,other
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,motion_blur_or_low_sharpness,94,0.632075,0.712766,0.67,0.695021,False,image_quality
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,low_light_or_dim,99,0.931373,0.959596,0.945274,0.953815,True,image_quality
cv_detector_disagreement_reviewed_boxes_upper_bound,egocentric_stress_500,high_clutter,190,0.84375,0.852632,0.848168,0.85084,True,image_quality
final_hybrid_condition_profile_available_handoff_boxes,egocentric_stress_500,no_face,146,0.993151,0.993151,0.993151,0.993151,True,box_geometry
final_hybrid_condition_profile_available_handoff_boxes,egocentric_stress_500,single_face,78,0.974684,0.987179,0.980892,0.984655,True,box_geometry
final_hybrid_condition_profile_available_handoff_boxes,egocentric_stress_500,multi_face,276,1.0,0.996377,0.998185,0.997099,True,box_geometry
