method,protocol,image_id,relative_path,x1,y1,x2,y2,score,source_detector,face_count_category,face_scale_category,edge_partial_face,blur_low_sharpness,clutter_level
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/werner/16_0642.webp,day3/members/werner/16_0642.webp,915,761,981,850,0.65007,error_hardened_all_raw_rf_iou0_45,single_face,very_small_or_distant,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/onanong/14_0475.webp,day1/members/onanong/14_0475.webp,1333,940,1446,1070,0.656123,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/florian/20_0331.webp,day3/members/florian/20_0331.webp,1019,1096,1225,1325,0.802232,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/allie/08_0286.webp,day4/members/allie/08_0286.webp,3304,1276,3640,1540,0.374363,error_hardened_all_raw_rf_iou0_45,single_face,small,no,yes,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/werner/08_0207.webp,day4/members/werner/08_0207.webp,942,372,1167,748,0.380674,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/allie/10_0464.webp,day1/members/allie/10_0464.webp,6,1065,89,1168,0.810901,error_hardened_all_raw_rf_iou0_45,multi_face,small,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/allie/15_0146.webp,day4/members/allie/15_0146.webp,1620,930,2072,1496,0.498972,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/florian/08_0373.webp,day1/members/florian/08_0373.webp,1796,772,1875,884,0.416603,error_hardened_all_raw_rf_iou0_45,multi_face,very_small_or_distant,no,no,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/tien/14_0528.webp,day3/members/tien/14_0528.webp,1834,1851,1915,1963,0.573133,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/luca/10_0442.webp,day4/members/luca/10_0442.webp,3083,1717,3554,2095,0.476468,error_hardened_all_raw_rf_iou0_45,single_face,large,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/stevan/08_0715.webp,day3/members/stevan/08_0715.webp,152,1252,258,1374,0.413248,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,no,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day4/members/bjorn/11_0562.webp,day4/members/bjorn/11_0562.webp,1368,1380,1531,1733,0.946295,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/klaus/11_0612.webp,day3/members/klaus/11_0612.webp,2725,389,2793,481,0.690655,error_hardened_all_raw_rf_iou0_45,single_face,medium,no,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/werner/18_0572.webp,day1/members/werner/18_0572.webp,3296,672,3540,971,0.79817,error_hardened_all_raw_rf_iou0_45,multi_face,small,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/luca/08_0403.webp,day3/members/luca/08_0403.webp,969,637,1138,975,0.930943,error_hardened_all_raw_rf_iou0_45,single_face,medium,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day3/members/luca/08_0403.webp,day3/members/luca/08_0403.webp,1561,934,1827,1234,0.418393,error_hardened_all_raw_rf_iou0_45,single_face,medium,no,no,medium
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/bjorn/14_0337.webp,day1/members/bjorn/14_0337.webp,377,1506,562,1931,0.530928,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/bjorn/09_0277.webp,day1/members/bjorn/09_0277.webp,3664,507,3748,604,0.449753,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,no,high
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/bjorn/17_0553.webp,day1/members/bjorn/17_0553.webp,343,1162,595,1399,0.681601,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,no,yes,low
error_hardened_all_raw_rf_iou0_45,01_baseline_500,01_baseline_500::day1/members/bjorn/10_0697.webp,day1/members/bjorn/10_0697.webp,3038,667,3104,749,0.843195,error_hardened_all_raw_rf_iou0_45,multi_face,mixed_scale,yes,yes,low
