method,protocol,image_id,relative_path,gt_index,x1,y1,x2,y2,best_candidate_iou,best_candidate_source,best_candidate_score,recoverable_at_iou_0_5,recoverable_at_iou_0_4,recoverable_at_iou_0_3,face_count_category,face_scale_category,edge_partial_face,blur_low_sharpness,clutter_level
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/luca/11_0360.webp,day1/members/luca/11_0360.webp,3,0,1220,66,1449,0.0,,0.0,0,0,0,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/werner/16_0642.webp,day3/members/werner/16_0642.webp,0,897,768,1011,870,0.508571,sliced_yolo11s_widerface_1280,0.66888,1,1,1,single_face,very_small_or_distant,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/allie/11_0226.webp,day4/members/allie/11_0226.webp,4,2754,978,3012,1176,0.157533,sliced_yolo11s_widerface_1280,0.707526,0,0,0,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/allie/11_0226.webp,day4/members/allie/11_0226.webp,5,3453,753,3768,1077,0.50196,yolo8s_widerface_repo_640,0.715148,1,1,1,multi_face,mixed_scale,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/onanong/14_0475.webp,day1/members/onanong/14_0475.webp,7,1299,921,1482,1086,0.519291,yolo11s_widerface_640,0.406085,1,1,1,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/luca/14_0397.webp,day1/members/luca/14_0397.webp,6,3714,117,3769,177,0.0,,0.0,0,0,0,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/onanong/10_0022.webp,day4/members/onanong/10_0022.webp,3,1392,0,1479,78,0.437666,sliced_yolo11s_widerface_1280,0.671986,0,1,1,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/luca/14_0319.webp,day1/members/luca/14_0319.webp,6,3631,408,3680,467,0.793843,yolo11s_widerface_1280,0.278355,1,1,1,multi_face,mixed_scale,no,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/cathal/09_0230.webp,day1/members/cathal/09_0230.webp,5,1523,437,1548,469,0.822928,sliced_yolo11s_widerface_1280,0.330838,1,1,1,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/florian/08_0373.webp,day1/members/florian/08_0373.webp,1,1801,763,1851,855,0.786744,yolo8s_widerface_repo_640,0.416962,1,1,1,multi_face,very_small_or_distant,no,no,low
