method,protocol,image_id,relative_path,x1,y1,x2,y2,score,source_detector,face_count_category,face_scale_category,edge_partial_face,blur_low_sharpness,clutter_level
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/werner/16_0642.webp,day3/members/werner/16_0642.webp,915,763,978,849,0.692017,cv_box_reranker_with_rfdetr_predicted_conditions,single_face,very_small_or_distant,no,no,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/florian/14_0019.webp,day4/members/florian/14_0019.webp,2184,408,2306,533,0.714899,cv_box_reranker_with_rfdetr_predicted_conditions,multi_face,medium,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/onanong/14_0475.webp,day1/members/onanong/14_0475.webp,1334,940,1447,1067,0.957667,cv_box_reranker_with_rfdetr_predicted_conditions,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/florian/20_0331.webp,day3/members/florian/20_0331.webp,1018,1097,1226,1326,0.740935,cv_box_reranker_with_rfdetr_predicted_conditions,multi_face,small,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/allie/08_0286.webp,day4/members/allie/08_0286.webp,3304,1276,3640,1540,0.518931,cv_box_reranker_with_rfdetr_predicted_conditions,single_face,small,no,yes,medium
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day3/members/onanong/10_0300.webp,day3/members/onanong/10_0300.webp,1934,1027,2027,1137,0.501345,cv_box_reranker_with_rfdetr_predicted_conditions,multi_face,very_small_or_distant,no,no,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day4/members/onanong/10_0022.webp,day4/members/onanong/10_0022.webp,1415,3,1461,60,0.533635,cv_box_reranker_with_rfdetr_predicted_conditions,multi_face,mixed_scale,yes,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/allie/10_0243.webp,day1/members/allie/10_0243.webp,2373,1016,2453,1177,0.530146,cv_box_reranker_with_rfdetr_predicted_conditions,multi_face,very_small_or_distant,no,no,high
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/luca/08_0407.webp,day1/members/luca/08_0407.webp,1171,1713,1523,2160,0.547351,cv_box_reranker_with_rfdetr_predicted_conditions,single_face,medium,yes,yes,low
cv_box_reranker_with_rfdetr_predicted_conditions,01_baseline_500,01_baseline_500::day1/members/allie/10_0464.webp,day1/members/allie/10_0464.webp,6,1067,88,1167,0.955636,cv_box_reranker_with_rfdetr_predicted_conditions,multi_face,small,no,no,medium
