method,fold,threshold,train_clusters,test_clusters,positive_train_rate,positive_test_rate,train_oapr_detector_score,variant_set,classifier,cluster_iou
error_hardened_rfdetr_clean_logreg_iou0_45,1,0.38,2501,626,0.778489,0.785942,0.922649,rfdetr_clean,logreg,0.45
error_hardened_rfdetr_clean_logreg_iou0_45,2,0.32,2501,626,0.780888,0.776358,0.924419,rfdetr_clean,logreg,0.45
error_hardened_rfdetr_clean_logreg_iou0_45,3,0.3,2502,625,0.77458,0.8016,0.921609,rfdetr_clean,logreg,0.45
error_hardened_rfdetr_clean_logreg_iou0_45,4,0.43,2502,625,0.782574,0.7696,0.933577,rfdetr_clean,logreg,0.45
error_hardened_rfdetr_clean_logreg_iou0_45,5,0.35,2502,625,0.783373,0.7664,0.925072,rfdetr_clean,logreg,0.45
error_hardened_rfdetr_clean_rf_iou0_45,1,0.41,2501,626,0.778489,0.785942,0.939084,rfdetr_clean,rf,0.45
error_hardened_rfdetr_clean_rf_iou0_45,2,0.4,2501,626,0.780888,0.776358,0.941258,rfdetr_clean,rf,0.45
error_hardened_rfdetr_clean_rf_iou0_45,3,0.42,2502,625,0.77458,0.8016,0.938768,rfdetr_clean,rf,0.45
error_hardened_rfdetr_clean_rf_iou0_45,4,0.4,2502,625,0.782574,0.7696,0.949014,rfdetr_clean,rf,0.45
error_hardened_rfdetr_clean_rf_iou0_45,5,0.41,2502,625,0.783373,0.7664,0.940743,rfdetr_clean,rf,0.45
error_hardened_rfdetr_clean_extra_iou0_45,1,0.59,2501,626,0.778489,0.785942,0.945876,rfdetr_clean,extra,0.45
error_hardened_rfdetr_clean_extra_iou0_45,2,0.6,2501,626,0.780888,0.776358,0.946871,rfdetr_clean,extra,0.45
error_hardened_rfdetr_clean_extra_iou0_45,3,0.6,2502,625,0.77458,0.8016,0.94583,rfdetr_clean,extra,0.45
error_hardened_rfdetr_clean_extra_iou0_45,4,0.57,2502,625,0.782574,0.7696,0.954652,rfdetr_clean,extra,0.45
error_hardened_rfdetr_clean_extra_iou0_45,5,0.55,2502,625,0.783373,0.7664,0.946459,rfdetr_clean,extra,0.45
error_hardened_rfdetr_clean_histgb_iou0_45,1,0.34,2501,626,0.778489,0.785942,0.949286,rfdetr_clean,histgb,0.45
error_hardened_rfdetr_clean_histgb_iou0_45,2,0.29,2501,626,0.780888,0.776358,0.950707,rfdetr_clean,histgb,0.45
error_hardened_rfdetr_clean_histgb_iou0_45,3,0.36,2502,625,0.77458,0.8016,0.949145,rfdetr_clean,histgb,0.45
