image_id,x1,y1,x2,y2,score,detector_name
day3/members/stevan/20_0682.webp,2365,1114,2783,1666,0.9715060591697693,yolo_scrfd_fallback
day3/members/stevan/20_0682.webp,109,1093,222,1243,0.90108323097229,yolo_scrfd_fallback
day3/members/stevan/20_0682.webp,479,1065,596,1219,0.883418083190918,yolo_scrfd_fallback
day3/members/stevan/20_0682.webp,1178,1153,1391,1393,0.7965840697288513,yolo_scrfd_fallback
day3/members/stevan/20_0682.webp,868,1131,986,1294,0.7060473561286926,yolo_scrfd_fallback
day3/members/tien/14_0649.webp,2792,1559,3247,2144,0.8663120865821838,yolo_scrfd_fallback
day3/members/tien/14_0649.webp,1092,1827,1196,1942,0.846010148525238,yolo_scrfd_fallback
day3/members/tien/14_0649.webp,129,1765,237,1927,0.8452127575874329,yolo_scrfd_fallback
day3/members/tien/14_0649.webp,1337,1787,1439,1907,0.7065626978874207,yolo_scrfd_fallback
day3/members/tien/14_0649.webp,1521,2015,1725,2160,0.6442519545555114,yolo_scrfd_fallback
day3/members/tien/14_0649.webp,1491,1795,1569,1919,0.5093643367290497,yolo_scrfd_fallback
day3/members/tien/14_0649.webp,719,1813,820,1932,0.4913128703832626,yolo_scrfd_fallback
day1/members/stevan/10_0179.webp,3076,1301,3150,1403,0.8040429949760437,yolo_scrfd_fallback
day1/members/stevan/10_0179.webp,2242,1132,2324,1217,0.7666709423065186,yolo_scrfd_fallback
day1/members/stevan/10_0179.webp,2770,1274,2851,1371,0.7659634947776794,yolo_scrfd_fallback
day1/members/stevan/10_0179.webp,381,1847,760,2160,0.3468378484249115,yolo_scrfd_fallback
day3/members/werner/08_0619.webp,3292,437,3525,741,0.8894452452659607,yolo_scrfd_fallback
day3/members/werner/08_0619.webp,727,637,844,771,0.40134140849113464,yolo_scrfd_fallback
day1/members/klaus/17_0206.webp,3286,412,3541,816,0.840822160243988,yolo_scrfd_fallback
day1/members/klaus/17_0206.webp,198,821,518,1352,0.31996896862983704,yolo_scrfd_fallback
day4/members/florian/11_0412.webp,123,778,279,1037,0.9047954082489014,yolo_scrfd_fallback
day4/members/florian/11_0412.webp,852,326,1016,539,0.8904517292976379,yolo_scrfd_fallback
day4/members/florian/11_0412.webp,2621,6,2824,252,0.8903518915176392,yolo_scrfd_fallback
day1/members/allie/18_0412.webp,3299,1432,3624,1849,0.9341597557067871,yolo_scrfd_fallback
day1/members/allie/18_0412.webp,2260,1445,2558,1795,0.9196116924285889,yolo_scrfd_fallback
day1/members/allie/18_0412.webp,1224,1241,1430,1506,0.574034172296524,yolo_scrfd_fallback
day2/members/klaus/18_0601.webp,2370,879,2507,1056,0.6846843957901001,yolo_scrfd_fallback
day2/members/klaus/18_0601.webp,2673,1067,2832,1243,0.4926641285419464,yolo_scrfd_fallback
day4/members/allie/12_0604.webp,3584,749,3798,1009,0.9745570421218872,yolo_scrfd_fallback
day4/members/allie/12_0604.webp,2531,1005,2690,1207,0.9143782258033752,yolo_scrfd_fallback
day4/members/allie/12_0604.webp,2396,1203,2498,1340,0.354278028011322,yolo_scrfd_fallback
day1/members/onanong/08_0572.webp,2007,1342,2275,1659,0.9124392867088318,yolo_scrfd_fallback
day1/members/onanong/08_0572.webp,3566,1044,3655,1159,0.8680925369262695,yolo_scrfd_fallback
day3/members/stevan/09_0286.webp,2217,1145,2391,1343,0.8664882779121399,yolo_scrfd_fallback
day3/members/stevan/09_0286.webp,1369,1024,1599,1198,0.32567155361175537,yolo_scrfd_fallback
day3/members/tien/20_0434.webp,3543,794,3752,1057,0.9622568488121033,yolo_scrfd_fallback
day3/members/tien/20_0434.webp,1786,1696,1931,1869,0.8366440534591675,yolo_scrfd_fallback
day3/members/tien/20_0434.webp,1230,1919,1361,2080,0.7648338079452515,yolo_scrfd_fallback
day1/members/cathal/12_0342.webp,1591,510,1747,707,0.9836546778678894,yolo_scrfd_fallback
day1/members/cathal/12_0342.webp,35,525,254,794,0.9823784232139587,yolo_scrfd_fallback
day1/members/cathal/12_0342.webp,2626,1071,2953,1409,0.6367519497871399,yolo_scrfd_fallback
day1/members/cathal/12_0342.webp,912,1211,1088,1478,0.5602409243583679,yolo_scrfd_fallback
day3/members/florian/19_0198.webp,3247,253,3412,485,0.2603565752506256,yolo_scrfd_fallback
day4/members/allie/18_0334.webp,729,0,1230,573,0.6250366568565369,yolo_scrfd_fallback
day4/members/werner/12_0528.webp,1702,842,1851,1017,0.956394374370575,yolo_scrfd_fallback
day4/members/werner/12_0528.webp,3427,1143,3587,1335,0.9078531861305237,yolo_scrfd_fallback
day4/members/werner/12_0528.webp,441,1454,513,1529,0.5716001987457275,yolo_scrfd_fallback
day3/members/bjorn/20_0140.webp,977,771,1129,963,0.9155619144439697,yolo_scrfd_fallback
day3/members/bjorn/20_0140.webp,2711,672,2897,875,0.803203284740448,yolo_scrfd_fallback
day3/members/bjorn/20_0140.webp,125,1240,264,1415,0.6788317561149597,yolo_scrfd_fallback
day3/members/bjorn/20_0140.webp,2428,416,2511,531,0.3579709529876709,yolo_scrfd_fallback
day3/members/bjorn/20_0140.webp,2053,305,2195,472,0.3339194655418396,yolo_scrfd_fallback
day3/members/onanong/15_0413.webp,3477,141,3737,458,0.9457364678382874,yolo_scrfd_fallback
day3/members/onanong/15_0413.webp,1105,780,1470,1170,0.9320182800292969,yolo_scrfd_fallback
day1/members/luca/13_0044.webp,3531,1343,3822,1726,0.9223771691322327,yolo_scrfd_fallback
day4/members/luca/11_0578.webp,1635,1224,1802,1434,0.9550310373306274,yolo_scrfd_fallback
