protocol,model,subgroup,precision,recall,f1,f2,specificity,exploratory_oapr_detector_score,oapr_deployment_detector_score,recall_floor,passes_recall_floor,image_count,tp,fp,fn,source_table,adopted_primary,eligible_for_promotion
combined_1000,fusion_rfdetr_yolo11s_scrfd10g,all_images,0.8313376667807048,0.9321058688147296,0.8788426763110306,0.9100441914463335,,0.9087132504854024,0.9165136292692281,0.85,True,1000,2430,493,177,08_sliced_rfdetr_detector_experiment,False,True
combined_1000,error_hardened_rfdetr_clean_logreg_iou0_45,all_images,0.9081245254365984,0.91752972765631,0.9128029002098836,0.9156331342826519,,0.9154075005727322,0.9161150590909244,0.85,True,1000,2392,242,215,12_detector_error_hardening,False,True
combined_1000,error_hardened_all_raw_rf_iou0_45,all_images,0.9318715740015662,0.9129267357115458,0.9223018794807208,0.9166538283777539,,0.9171650054828416,0.9157529927070998,0.85,True,1000,2380,174,227,12_detector_error_hardening,True,True
combined_1000,error_hardened_all_raw_logreg_iou0_45,all_images,0.918013856812933,0.9148446490218642,0.9164265129682998,0.9154767388300321,,0.91555703578758,0.9153195922530131,0.85,True,1000,2385,213,222,12_detector_error_hardening,False,True
combined_1000,error_hardened_raw_plus_fusions_logreg_iou0_45,all_images,0.90733004177744,0.9163789796701188,0.9118320610687024,0.9145547814103054,,0.914337356230497,0.9150180363158976,0.85,True,1000,2389,244,218,12_detector_error_hardening,False,True
combined_1000,error_hardened_all_raw_logreg_iou0_5,all_images,0.9026047565118912,0.9171461449942464,0.9098173515981736,0.9142005047029136,,0.9138598077969926,0.9149555960731777,0.85,True,1000,2391,258,216,12_detector_error_hardening,False,True
combined_1000,error_hardened_raw_plus_fusions_logreg_iou0_5,all_images,0.9110347460862924,0.915228231683928,0.9131266743207042,0.9143864489921054,,0.9142834937833584,0.9145984374512088,0.85,True,1000,2386,233,221,12_detector_error_hardening,False,True
combined_1000,fusion_rfdetr_scrfd10g,all_images,0.8741360494725354,0.9217491369390104,0.8973114264376401,0.9118160431054109,,0.9108784005670204,0.9145045547339631,0.85,True,1000,2403,346,204,08_sliced_rfdetr_detector_experiment,False,True
combined_1000,error_hardened_raw_plus_fusions_rf_iou0_5,all_images,0.9335430593786866,0.9106252397391638,0.9219417475728156,0.9151183409143475,,0.915746148661529,0.914040296996912,0.85,True,1000,2374,169,233,12_detector_error_hardening,False,True
combined_1000,cv_box_reranker_with_rfdetr_predicted_conditions,all_images,0.9074990483441188,0.9144610663598004,0.9109667558272831,0.913060130218307,,0.912891286925103,0.913414630522859,0.85,True,1000,2384,243,223,08_sliced_rfdetr_detector_experiment,False,True
combined_1000,error_hardened_rfdetr_clean_rf_iou0_5,all_images,0.9255650818394388,0.9110088224012276,0.9182292673497005,0.9138833307680468,,0.9142695595821668,0.9131830754367536,0.85,True,1000,2375,191,232,12_detector_error_hardening,False,True
combined_1000,error_hardened_all_raw_rf_iou0_5,all_images,0.929858934169279,0.9102416570771,0.9199457259158752,0.9140986132511556,,0.9146294019960116,0.9131676238298319,0.85,True,1000,2373,179,234,12_detector_error_hardening,False,True
combined_1000,cv_box_reranker_with_rfdetr_sliced_predicted_conditions,all_images,0.9112131649445082,0.9133103183736097,0.9122605363984676,0.9128901157886665,,0.912838157536914,0.9129955523844637,0.85,True,1000,2381,232,226,08_sliced_rfdetr_detector_experiment,False,True
combined_1000,error_hardened_raw_plus_fusions_rf_iou0_45,all_images,0.933806146572104,0.9090909090909092,0.9212827988338192,0.9139287366959741,,0.914610405274756,0.9127718897402949,0.85,True,1000,2370,168,237,12_detector_error_hardening,False,True
combined_1000,error_hardened_rfdetr_clean_logreg_iou0_6,all_images,0.8829826504245109,0.91752972765631,0.8999247554552294,0.9104057242901729,,0.90967377688286,0.9122940190915958,0.85,True,1000,2392,317,215,12_detector_error_hardening,False,True
combined_1000,error_hardened_rfdetr_clean_rf_iou0_45,all_images,0.9359430604982206,0.907940161104718,0.9217289719626168,0.91340588099097,,0.9141876537585432,0.9121068810156313,0.85,True,1000,2367,162,240,12_detector_error_hardening,False,True
combined_1000,error_hardened_rfdetr_clean_logreg_iou0_5,all_images,0.9086740542606038,0.9121595703874184,0.9104134762633996,0.91146032962821,,0.9113744952437324,0.9116362085849349,0.85,True,1000,2378,239,229,12_detector_error_hardening,False,True
combined_1000,fixed_fusion_yolo11s1280_scrfd10g,all_images,0.8877284595300261,0.9129267357115458,0.9001512859304084,0.9077732855290257,,0.9072130456481096,0.9091185455477637,0.85,True,1000,2380,301,227,08_sliced_rfdetr_detector_experiment,False,True
combined_1000,cv_box_reranker_with_sliced_yolo_predicted_conditions,all_images,0.9159891598915988,0.9075565784426544,0.9117533718689788,0.9092306509876258,,0.90944903494413,0.9088183547237918,0.85,True,1000,2366,217,241,08_sliced_rfdetr_detector_experiment,False,True
combined_1000,error_hardened_rfdetr_clean_histgb_iou0_45,all_images,0.9460981496379728,0.9021864211737628,0.9236206558020812,0.910639615920706,,0.9119361526772636,0.9086908927069197,0.85,True,1000,2352,134,255,12_detector_error_hardening,False,True
combined_1000,error_hardened_rfdetr_clean_rf_iou0_6,all_images,0.9058913542463656,0.9083237437667816,0.9071059184064356,0.9078362214384297,,0.9077760484746537,0.907958624232652,0.85,True,1000,2368,246,239,12_detector_error_hardening,False,True
combined_1000,error_hardened_all_raw_histgb_iou0_5,all_images,0.9400479616306956,0.9021864211737628,0.920728126834997,0.9095127610208816,,0.9106080016347649,0.9078041601812359,0.85,True,1000,2352,150,255,12_detector_error_hardening,False,True
