relative_path,method,output_path,boxes_processed,runtime_seconds,status
day1/members/allie/08_0276.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/08_0276.webp,3,0.467445,ok
day1/members/allie/09_0160.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/09_0160.webp,4,0.466248,ok
day1/members/allie/09_0273.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/09_0273.webp,6,0.494807,ok
day1/members/allie/09_0647.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/09_0647.webp,3,0.502447,ok
day1/members/allie/09_0673.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/09_0673.webp,2,0.514055,ok
day1/members/allie/10_0099.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/10_0099.webp,4,0.518539,ok
day1/members/allie/10_0296.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/10_0296.webp,4,0.511183,ok
day1/members/allie/10_0339.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/10_0339.webp,5,0.483673,ok
day1/members/allie/10_0546.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/10_0546.webp,7,0.499450,ok
day1/members/allie/12_0272.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/12_0272.webp,3,0.492539,ok
day1/members/allie/14_0135.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/14_0135.webp,5,0.475813,ok
day1/members/allie/15_0458.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/15_0458.webp,1,0.476358,ok
day1/members/allie/18_0412.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/allie/18_0412.webp,3,0.445315,ok
day1/members/bjorn/09_0300.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/09_0300.webp,6,0.527863,ok
day1/members/bjorn/09_0318.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/09_0318.webp,0,0.493514,ok
day1/members/bjorn/10_0088.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/10_0088.webp,4,0.539335,ok
day1/members/bjorn/10_0130.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/10_0130.webp,5,0.473702,ok
day1/members/bjorn/10_0501.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/10_0501.webp,7,0.498982,ok
day1/members/bjorn/11_0116.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/11_0116.webp,4,0.447959,ok
day1/members/bjorn/12_0196.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/12_0196.webp,0,0.480898,ok
day1/members/bjorn/14_0017.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/14_0017.webp,0,0.517462,ok
day1/members/bjorn/15_0004.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/15_0004.webp,4,0.484267,ok
day1/members/bjorn/15_0586.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/15_0586.webp,0,0.502794,ok
day1/members/bjorn/18_0134.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/18_0134.webp,2,0.459309,ok
day1/members/bjorn/18_0340.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/18_0340.webp,0,0.449239,ok
day1/members/bjorn/18_0660.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/18_0660.webp,0,0.437277,ok
day1/members/bjorn/19_0016.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/bjorn/19_0016.webp,0,0.440843,ok
day1/members/cathal/08_0346.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/08_0346.webp,0,0.478202,ok
day1/members/cathal/09_0001.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/09_0001.webp,5,0.527118,ok
day1/members/cathal/10_0676.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/10_0676.webp,5,0.480157,ok
day1/members/cathal/10_0708.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/10_0708.webp,5,0.479635,ok
day1/members/cathal/11_0405.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/11_0405.webp,1,0.513820,ok
day1/members/cathal/11_0477.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/11_0477.webp,0,0.540580,ok
day1/members/cathal/12_0342.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/12_0342.webp,4,0.519758,ok
day1/members/cathal/13_0040.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/13_0040.webp,1,0.512980,ok
day1/members/cathal/14_0484.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/14_0484.webp,1,0.494729,ok
day1/members/cathal/14_0490.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/14_0490.webp,8,0.545326,ok
day1/members/cathal/14_0708.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/14_0708.webp,6,0.482481,ok
day1/members/cathal/15_0162.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/15_0162.webp,4,0.472334,ok
day1/members/cathal/15_0298.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/15_0298.webp,4,0.510683,ok
day1/members/cathal/18_0317.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/cathal/18_0317.webp,1,0.536507,ok
day1/members/florian/08_0341.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/08_0341.webp,0,0.465542,ok
day1/members/florian/08_0717.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/08_0717.webp,5,0.522795,ok
day1/members/florian/09_0596.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/09_0596.webp,0,0.451467,ok
day1/members/florian/10_0419.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/10_0419.webp,7,0.486231,ok
day1/members/florian/11_0210.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/11_0210.webp,2,0.514809,ok
day1/members/florian/11_0219.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/11_0219.webp,3,0.491608,ok
day1/members/florian/13_0133.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/13_0133.webp,1,0.524330,ok
day1/members/florian/15_0199.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/15_0199.webp,4,0.556492,ok
day1/members/florian/15_0647.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/15_0647.webp,0,0.497303,ok
day1/members/florian/16_0525.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/16_0525.webp,1,0.528836,ok
day1/members/florian/17_0649.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/17_0649.webp,6,0.505437,ok
day1/members/florian/18_0042.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/18_0042.webp,5,0.488747,ok
day1/members/florian/18_0275.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/18_0275.webp,3,0.475865,ok
day1/members/florian/18_0328.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/18_0328.webp,0,0.459701,ok
day1/members/florian/18_0375.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/18_0375.webp,0,0.495581,ok
day1/members/florian/19_0244.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/19_0244.webp,0,0.490764,ok
day1/members/florian/20_0151.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/florian/20_0151.webp,0,0.453958,ok
day1/members/klaus/09_0114.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/klaus/09_0114.webp,5,0.557173,ok
day1/members/klaus/09_0268.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/klaus/09_0268.webp,7,0.542102,ok
day1/members/klaus/10_0063.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/klaus/10_0063.webp,1,0.477743,ok
day1/members/klaus/10_0589.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/klaus/10_0589.webp,9,0.521355,ok
day1/members/klaus/11_0523.webp,blur,outputs/03_anonymisation/02_deterministic_baselines/blur_images/day1/members/klaus/11_0523.webp,2,0.650648,ok
