relative_path,method,output_path,boxes_processed,tiling_required
day3/members/stevan/20_0682.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/stevan/20_0682.webp,5,False
day1/members/luca/12_0078.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/luca/12_0078.webp,0,False
day3/members/tien/14_0649.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/tien/14_0649.webp,7,False
day2/members/bjorn/16_0250.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/bjorn/16_0250.webp,0,False
day1/members/stevan/10_0179.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/stevan/10_0179.webp,4,False
day3/members/werner/08_0619.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/werner/08_0619.webp,2,False
day3/members/tien/10_0512.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/tien/10_0512.webp,0,False
day1/members/werner/14_0048.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/werner/14_0048.webp,0,False
day1/members/klaus/17_0206.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/klaus/17_0206.webp,2,False
day4/members/florian/11_0412.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/florian/11_0412.webp,3,False
day1/members/allie/18_0412.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/allie/18_0412.webp,3,False
day2/members/klaus/18_0601.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/klaus/18_0601.webp,2,False
day4/members/allie/12_0604.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/allie/12_0604.webp,3,False
day1/members/onanong/08_0572.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/onanong/08_0572.webp,2,False
day3/members/stevan/09_0286.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/stevan/09_0286.webp,2,False
day3/members/tien/20_0434.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/tien/20_0434.webp,3,False
day4/members/werner/18_0362.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/werner/18_0362.webp,0,False
day1/members/cathal/12_0342.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/cathal/12_0342.webp,4,False
day3/members/florian/19_0198.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/florian/19_0198.webp,1,False
day4/members/allie/18_0334.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/allie/18_0334.webp,1,False
day4/members/werner/09_0017.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/werner/09_0017.webp,0,False
day4/members/werner/12_0528.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/werner/12_0528.webp,3,False
day3/members/bjorn/20_0140.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/bjorn/20_0140.webp,5,False
day3/members/onanong/15_0413.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/onanong/15_0413.webp,2,False
day1/members/luca/13_0044.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/luca/13_0044.webp,1,False
day4/members/luca/11_0578.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/luca/11_0578.webp,6,False
day4/members/werner/18_0672.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/werner/18_0672.webp,3,False
day2/members/luca/11_0416.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/luca/11_0416.webp,5,False
day1/members/stevan/08_0631.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/stevan/08_0631.webp,0,False
day3/members/luca/17_0412.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/luca/17_0412.webp,4,False
day4/members/onanong/13_0378.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/onanong/13_0378.webp,6,False
day3/members/luca/11_0126.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/luca/11_0126.webp,3,False
day4/members/cathal/13_0074.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/cathal/13_0074.webp,7,False
day2/members/cathal/19_0687.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/cathal/19_0687.webp,3,False
day1/members/allie/09_0273.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/allie/09_0273.webp,6,False
day3/members/luca/13_0698.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/luca/13_0698.webp,1,False
day4/members/allie/09_0480.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/allie/09_0480.webp,1,False
day1/members/luca/18_0040.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/luca/18_0040.webp,1,False
day2/members/luca/10_0654.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/luca/10_0654.webp,4,False
day1/members/klaus/10_0063.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/klaus/10_0063.webp,1,False
day3/members/tien/20_0155.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/tien/20_0155.webp,3,False
day1/members/onanong/08_0611.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/onanong/08_0611.webp,1,False
day4/members/stevan/13_0714.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/stevan/13_0714.webp,4,False
day2/members/florian/12_0020.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/florian/12_0020.webp,0,False
day1/members/cathal/09_0001.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/cathal/09_0001.webp,5,False
day1/members/luca/08_0225.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/luca/08_0225.webp,2,False
day1/members/allie/14_0135.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/allie/14_0135.webp,5,False
day1/members/allie/10_0099.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/allie/10_0099.webp,4,False
day4/members/bao/08_0028.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/bao/08_0028.webp,0,False
day1/members/bjorn/18_0340.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/bjorn/18_0340.webp,0,False
day1/members/luca/15_0236.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/luca/15_0236.webp,3,False
day2/members/florian/19_0363.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/florian/19_0363.webp,0,False
day1/members/werner/18_0484.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/werner/18_0484.webp,3,False
day4/members/allie/08_0040.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/allie/08_0040.webp,1,False
day2/members/klaus/12_0264.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/klaus/12_0264.webp,0,False
day1/members/florian/08_0717.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/florian/08_0717.webp,5,False
day2/members/allie/13_0355.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/allie/13_0355.webp,0,False
day1/members/bjorn/15_0004.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/bjorn/15_0004.webp,4,False
day2/members/klaus/10_0629.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/klaus/10_0629.webp,5,False
day1/members/luca/08_0069.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/luca/08_0069.webp,0,False
day4/members/werner/08_0337.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/werner/08_0337.webp,2,False
day2/members/werner/17_0115.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/werner/17_0115.webp,1,False
day3/members/klaus/12_0484.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/klaus/12_0484.webp,0,False
day4/members/stevan/13_0149.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/stevan/13_0149.webp,4,False
day1/members/luca/08_0716.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/luca/08_0716.webp,2,False
day1/members/cathal/08_0346.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/cathal/08_0346.webp,0,False
day4/members/florian/10_0112.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/florian/10_0112.webp,2,False
day1/members/florian/13_0133.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/florian/13_0133.webp,1,False
day2/members/tien/19_0311.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/tien/19_0311.webp,2,False
day3/members/werner/08_0688.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/werner/08_0688.webp,3,False
day3/members/onanong/11_0042.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/onanong/11_0042.webp,2,False
day3/members/luca/18_0573.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/luca/18_0573.webp,4,False
day3/members/allie/17_0205.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/allie/17_0205.webp,1,False
day3/members/bjorn/18_0629.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/bjorn/18_0629.webp,5,False
day3/members/florian/19_0349.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/florian/19_0349.webp,0,False
day3/members/cathal/11_0509.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/cathal/11_0509.webp,0,False
day3/members/allie/17_0399.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/allie/17_0399.webp,3,False
day1/members/klaus/09_0114.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/klaus/09_0114.webp,5,False
day4/members/klaus/11_0401.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/klaus/11_0401.webp,6,False
day4/members/luca/14_0559.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/luca/14_0559.webp,1,False
day2/members/bjorn/19_0429.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/bjorn/19_0429.webp,0,False
day1/members/luca/12_0168.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/luca/12_0168.webp,0,False
day4/members/onanong/12_0450.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/onanong/12_0450.webp,0,False
day2/members/cathal/12_0044.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/cathal/12_0044.webp,2,False
day3/members/klaus/15_0375.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/klaus/15_0375.webp,0,False
day1/members/onanong/10_0201.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/onanong/10_0201.webp,4,False
day2/members/florian/14_0324.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/florian/14_0324.webp,9,False
day4/members/bao/11_0549.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/bao/11_0549.webp,9,False
day3/members/florian/12_0302.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/florian/12_0302.webp,1,False
day3/members/allie/12_0570.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/allie/12_0570.webp,0,False
day3/members/tien/09_0391.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/tien/09_0391.webp,0,False
day4/members/luca/10_0077.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/luca/10_0077.webp,1,False
day3/members/stevan/20_0090.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/stevan/20_0090.webp,0,False
day3/members/klaus/18_0283.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/klaus/18_0283.webp,7,False
day4/members/bjorn/08_0670.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/bjorn/08_0670.webp,1,False
day3/members/luca/18_0517.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/luca/18_0517.webp,5,False
day1/members/onanong/14_0049.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/onanong/14_0049.webp,1,False
day1/members/luca/15_0372.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/luca/15_0372.webp,3,False
day4/members/cathal/13_0418.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/cathal/13_0418.webp,5,False
day1/members/bjorn/10_0088.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/bjorn/10_0088.webp,4,False
day2/members/werner/10_0252.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/werner/10_0252.webp,2,False
day4/members/bjorn/13_0126.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/bjorn/13_0126.webp,6,False
day1/members/bjorn/11_0116.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/bjorn/11_0116.webp,4,False
day3/members/klaus/09_0194.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/klaus/09_0194.webp,1,False
day3/members/klaus/20_0128.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/klaus/20_0128.webp,5,False
day1/members/florian/08_0341.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/florian/08_0341.webp,0,False
day3/members/cathal/12_0524.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/cathal/12_0524.webp,0,False
day2/members/onanong/17_0009.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/onanong/17_0009.webp,1,False
day3/members/klaus/12_0480.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/klaus/12_0480.webp,0,False
day1/members/werner/19_0255.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/werner/19_0255.webp,1,False
day1/members/werner/13_0606.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/werner/13_0606.webp,0,False
day4/members/bjorn/10_0076.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/bjorn/10_0076.webp,0,False
day3/members/luca/19_0582.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/luca/19_0582.webp,0,False
day1/members/bjorn/18_0134.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/bjorn/18_0134.webp,2,False
day4/members/luca/10_0115.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/luca/10_0115.webp,1,False
day3/members/bjorn/18_0483.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/bjorn/18_0483.webp,8,False
day2/members/tien/19_0512.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/tien/19_0512.webp,8,False
day2/members/stevan/11_0452.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/stevan/11_0452.webp,7,False
day1/members/tien/08_0068.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/tien/08_0068.webp,0,False
day1/members/florian/18_0328.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/florian/18_0328.webp,0,False
day2/members/onanong/18_0325.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/onanong/18_0325.webp,3,False
day2/members/cathal/10_0597.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/cathal/10_0597.webp,4,False
day3/members/klaus/11_0207.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/klaus/11_0207.webp,0,False
day2/members/bjorn/15_0627.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/bjorn/15_0627.webp,0,False
day2/members/onanong/14_0193.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/onanong/14_0193.webp,5,False
day2/members/onanong/10_0373.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/onanong/10_0373.webp,2,False
day4/members/bao/11_0220.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/bao/11_0220.webp,7,False
day2/members/klaus/15_0590.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/klaus/15_0590.webp,0,False
day1/members/werner/11_0547.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/werner/11_0547.webp,0,False
day3/members/klaus/18_0613.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/klaus/18_0613.webp,5,False
day1/members/cathal/10_0708.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/cathal/10_0708.webp,5,False
day1/members/tien/19_0392.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/tien/19_0392.webp,9,False
day4/members/luca/11_0464.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/luca/11_0464.webp,6,False
day3/members/allie/10_0655.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/allie/10_0655.webp,0,False
day2/members/allie/13_0179.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/allie/13_0179.webp,0,False
day1/members/florian/15_0647.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/florian/15_0647.webp,0,False
day2/members/klaus/12_0531.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/klaus/12_0531.webp,0,False
day1/members/bjorn/15_0586.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/bjorn/15_0586.webp,0,False
day1/members/bjorn/09_0318.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/bjorn/09_0318.webp,0,False
day3/members/allie/12_0148.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/allie/12_0148.webp,3,False
day1/members/klaus/17_0521.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/klaus/17_0521.webp,4,False
day2/members/luca/10_0586.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/luca/10_0586.webp,4,False
day4/members/onanong/11_0656.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/onanong/11_0656.webp,7,False
day1/members/onanong/17_0468.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/onanong/17_0468.webp,1,False
day2/members/werner/14_0229.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/werner/14_0229.webp,1,False
day3/members/allie/18_0514.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/allie/18_0514.webp,5,False
day1/members/bjorn/10_0130.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/bjorn/10_0130.webp,5,False
day2/members/onanong/16_0470.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/onanong/16_0470.webp,0,False
day2/members/werner/20_0620.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/werner/20_0620.webp,0,False
day4/members/bjorn/08_0126.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/bjorn/08_0126.webp,0,False
day1/members/allie/10_0296.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/allie/10_0296.webp,4,False
day1/members/tien/08_0310.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/tien/08_0310.webp,3,False
day1/members/florian/18_0375.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/florian/18_0375.webp,0,False
day1/members/bjorn/14_0017.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/bjorn/14_0017.webp,0,False
day4/members/luca/18_0521.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/luca/18_0521.webp,0,False
day3/members/onanong/12_0488.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/onanong/12_0488.webp,1,False
day1/members/allie/10_0546.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/allie/10_0546.webp,7,False
day2/members/luca/20_0211.webp,nullface,outputs/03_anonymisation/03_nullface/images/day2/members/luca/20_0211.webp,4,False
day4/members/allie/11_0376.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/allie/11_0376.webp,5,False
day1/members/klaus/09_0268.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/klaus/09_0268.webp,7,False
day1/members/tien/15_0093.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/tien/15_0093.webp,5,False
day3/members/florian/19_0282.webp,nullface,outputs/03_anonymisation/03_nullface/images/day3/members/florian/19_0282.webp,0,False
day4/members/bjorn/12_0570.webp,nullface,outputs/03_anonymisation/03_nullface/images/day4/members/bjorn/12_0570.webp,1,False
day1/members/cathal/15_0298.webp,nullface,outputs/03_anonymisation/03_nullface/images/day1/members/cathal/15_0298.webp,4,False
