relative_path,output_path,boxes_processed,mean_abs_diff,failure_label,severity,reason
day3/members/stevan/20_0682.webp,outputs/03_anonymisation/03_nullface/images/day3/members/stevan/20_0682.webp,5,2.239077,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/luca/12_0078.webp,outputs/03_anonymisation/03_nullface/images/day1/members/luca/12_0078.webp,0,0.186749,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day3/members/tien/14_0649.webp,outputs/03_anonymisation/03_nullface/images/day3/members/tien/14_0649.webp,7,2.071886,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/bjorn/16_0250.webp,outputs/03_anonymisation/03_nullface/images/day2/members/bjorn/16_0250.webp,0,0.313015,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/stevan/10_0179.webp,outputs/03_anonymisation/03_nullface/images/day1/members/stevan/10_0179.webp,4,1.324671,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/werner/08_0619.webp,outputs/03_anonymisation/03_nullface/images/day3/members/werner/08_0619.webp,2,0.863797,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/tien/10_0512.webp,outputs/03_anonymisation/03_nullface/images/day3/members/tien/10_0512.webp,0,0.234456,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/werner/14_0048.webp,outputs/03_anonymisation/03_nullface/images/day1/members/werner/14_0048.webp,0,0.27559,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/klaus/17_0206.webp,outputs/03_anonymisation/03_nullface/images/day1/members/klaus/17_0206.webp,2,1.205856,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/florian/11_0412.webp,outputs/03_anonymisation/03_nullface/images/day4/members/florian/11_0412.webp,3,1.085711,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/allie/18_0412.webp,outputs/03_anonymisation/03_nullface/images/day1/members/allie/18_0412.webp,3,1.738562,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day2/members/klaus/18_0601.webp,outputs/03_anonymisation/03_nullface/images/day2/members/klaus/18_0601.webp,2,0.576127,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/allie/12_0604.webp,outputs/03_anonymisation/03_nullface/images/day4/members/allie/12_0604.webp,3,0.72347,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/onanong/08_0572.webp,outputs/03_anonymisation/03_nullface/images/day1/members/onanong/08_0572.webp,2,0.740343,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/stevan/09_0286.webp,outputs/03_anonymisation/03_nullface/images/day3/members/stevan/09_0286.webp,2,0.656386,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/tien/20_0434.webp,outputs/03_anonymisation/03_nullface/images/day3/members/tien/20_0434.webp,3,0.671486,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/werner/18_0362.webp,outputs/03_anonymisation/03_nullface/images/day4/members/werner/18_0362.webp,0,0.258409,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day1/members/cathal/12_0342.webp,outputs/03_anonymisation/03_nullface/images/day1/members/cathal/12_0342.webp,4,1.464681,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/florian/19_0198.webp,outputs/03_anonymisation/03_nullface/images/day3/members/florian/19_0198.webp,1,0.610768,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/allie/18_0334.webp,outputs/03_anonymisation/03_nullface/images/day4/members/allie/18_0334.webp,1,1.727403,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/werner/09_0017.webp,outputs/03_anonymisation/03_nullface/images/day4/members/werner/09_0017.webp,0,0.310746,no_face_processed_copy_through,medium,No face box was processed; output is effectively unchanged or copy-through.
day4/members/werner/12_0528.webp,outputs/03_anonymisation/03_nullface/images/day4/members/werner/12_0528.webp,3,0.547056,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/bjorn/20_0140.webp,outputs/03_anonymisation/03_nullface/images/day3/members/bjorn/20_0140.webp,5,0.820964,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day3/members/onanong/15_0413.webp,outputs/03_anonymisation/03_nullface/images/day3/members/onanong/15_0413.webp,2,1.663185,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day1/members/luca/13_0044.webp,outputs/03_anonymisation/03_nullface/images/day1/members/luca/13_0044.webp,1,0.798466,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
day4/members/luca/11_0578.webp,outputs/03_anonymisation/03_nullface/images/day4/members/luca/11_0578.webp,6,1.360713,no_auto_failure_flag,low,No automatic failure heuristic fired; manual quality still varies by condition.
