relative_path,retry_status,raw_status,box_count,runtime_seconds,output_path,error,retry_variant
day3/members/luca/11_0126.webp,RECOVERED_EXISTING_OUTPUT,existing,3,1.5e-05,outputs/03_anonymisation/05_reverse_personalization/images/day3/members/luca/11_0126.webp,,padding040_det005_face512_two_shards
day1/members/klaus/10_0063.webp,RECOVERED_EXISTING_OUTPUT,existing,1,1e-05,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/klaus/10_0063.webp,,padding040_det005_face512_two_shards
day3/members/onanong/11_0042.webp,FAILED_AFTER_RETRY,error,2,70.87539,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7EA94140AC50>.,padding040_det005_face512_two_shards
day2/members/werner/10_0252.webp,RECOVERED_EXISTING_OUTPUT,existing,2,3.3e-05,outputs/03_anonymisation/05_reverse_personalization/images/day2/members/werner/10_0252.webp,,padding040_det005_face512_two_shards
day1/members/bjorn/18_0134.webp,RECOVERED_EXISTING_OUTPUT,existing,2,1e-05,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/bjorn/18_0134.webp,,padding040_det005_face512_two_shards
day2/members/cathal/10_0597.webp,FAILED_AFTER_RETRY,error,4,103.491657,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7EA94140BB20>.,padding040_det005_face512_two_shards
day4/members/luca/11_0464.webp,RECOVERED_EXISTING_OUTPUT,existing,6,1.2e-05,outputs/03_anonymisation/05_reverse_personalization/images/day4/members/luca/11_0464.webp,,padding040_det005_face512_two_shards
day4/members/onanong/11_0656.webp,RECOVERED_EXISTING_OUTPUT,existing,7,1e-05,outputs/03_anonymisation/05_reverse_personalization/images/day4/members/onanong/11_0656.webp,,padding040_det005_face512_two_shards
day1/members/allie/10_0546.webp,RECOVERED_EXISTING_OUTPUT,existing,7,1e-05,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/allie/10_0546.webp,,padding040_det005_face512_two_shards
day4/members/klaus/14_0224.webp,FAILED_AFTER_RETRY,error,9,173.324321,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7EA9414345E0>.,padding040_det005_face512_two_shards
day1/members/onanong/18_0512.webp,RECOVERED,ok,1,35.039592,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/onanong/18_0512.webp,,padding040_det005_face512_two_shards
day3/members/onanong/16_0319.webp,RECOVERED,ok,1,34.795568,outputs/03_anonymisation/05_reverse_personalization/images/day3/members/onanong/16_0319.webp,,padding040_det005_face512_two_shards
day4/members/onanong/11_0635.webp,RECOVERED,ok,5,170.910411,outputs/03_anonymisation/05_reverse_personalization/images/day4/members/onanong/11_0635.webp,,padding040_det005_face512_two_shards
day4/members/florian/11_0305.webp,RECOVERED,ok,5,170.740332,outputs/03_anonymisation/05_reverse_personalization/images/day4/members/florian/11_0305.webp,,padding040_det005_face512_two_shards
day3/members/florian/17_0490.webp,RECOVERED,ok,4,137.246953,outputs/03_anonymisation/05_reverse_personalization/images/day3/members/florian/17_0490.webp,,padding040_det005_face512_two_shards
day3/members/stevan/18_0060.webp,FAILED_AFTER_RETRY,error,11,312.844943,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7EA94140AD40>.,padding040_det005_face512_two_shards
day2/members/cathal/10_0273.webp,RECOVERED,ok,1,35.109869,outputs/03_anonymisation/05_reverse_personalization/images/day2/members/cathal/10_0273.webp,,padding040_det005_face512_two_shards
day2/members/onanong/12_0404.webp,RECOVERED,ok,5,172.285552,outputs/03_anonymisation/05_reverse_personalization/images/day2/members/onanong/12_0404.webp,,padding040_det005_face512_two_shards
day2/members/bjorn/11_0031.webp,RECOVERED,ok,5,172.558701,outputs/03_anonymisation/05_reverse_personalization/images/day2/members/bjorn/11_0031.webp,,padding040_det005_face512_two_shards
day1/members/werner/18_0148.webp,RECOVERED,ok,6,205.235086,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/werner/18_0148.webp,,padding040_det005_face512_two_shards
day3/members/luca/11_0192.webp,FAILED_AFTER_RETRY,error,4,101.806374,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7EA941471F60>.,padding040_det005_face512_two_shards
day4/members/stevan/11_0074.webp,RECOVERED,ok,7,238.54952,outputs/03_anonymisation/05_reverse_personalization/images/day4/members/stevan/11_0074.webp,,padding040_det005_face512_two_shards
day4/members/werner/11_0358.webp,FAILED_AFTER_RETRY,error,6,137.150519,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7EA94140BB20>.,padding040_det005_face512_two_shards
day3/members/cathal/20_0569.webp,FAILED_AFTER_RETRY,error,8,207.985563,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7EA94145B9A0>.,padding040_det005_face512_two_shards
day1/members/onanong/15_0060.webp,RECOVERED,ok,4,137.894492,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/onanong/15_0060.webp,,padding040_det005_face512_two_shards
day3/members/tien/10_0690.webp,FAILED_AFTER_RETRY,error,3,0.15706,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7EA94146FFD0>.,padding040_det005_face512_two_shards
day3/members/onanong/11_0248.webp,FAILED_AFTER_RETRY,error,2,0.183454,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7EA9414826E0>.,padding040_det005_face512_two_shards
day3/members/luca/18_0524.webp,RECOVERED,ok,4,137.38781,outputs/03_anonymisation/05_reverse_personalization/images/day3/members/luca/18_0524.webp,,padding040_det005_face512_two_shards
day1/members/allie/09_0273.webp,RECOVERED_EXISTING_OUTPUT,existing,6,1.5e-05,outputs/03_anonymisation/05_reverse_personalization/images/day1/members/allie/09_0273.webp,,padding040_det005_face512_two_shards
day4/members/stevan/13_0149.webp,RECOVERED_EXISTING_OUTPUT,existing,4,1.1e-05,outputs/03_anonymisation/05_reverse_personalization/images/day4/members/stevan/13_0149.webp,,padding040_det005_face512_two_shards
day4/members/bao/11_0549.webp,FAILED_AFTER_RETRY,error,9,247.106036,,No face detected in <PIL.Image.Image image mode=RGB size=512x512 at 0x7DFA70EB88B0>.,padding040_det005_face512_two_shards
