relative_path,box_count,runtime_seconds,failure_reason,failure_subtype,missing_face_box,invalid_crop,too_small_face,multiple_faces,gpu_oom,timeout,method_exception,recommended_fix
day3/members/luca/11_0126.webp,3,119.334358,no_face_detected_in_rp_crop,single_or_few_box_crop_detector_failure,no,not_proven,possible_not_directly_measured,possible,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x72C16699AE30>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day1/members/allie/09_0273.webp,6,297.029477,no_face_detected_in_rp_crop,multi_face_or_cluttered_crop_detector_failure,no,not_proven,possible_not_directly_measured,possible,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x72C1713FE200>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day1/members/klaus/10_0063.webp,1,0.215473,no_face_detected_in_rp_crop,fast_detector_rejection_or_invalid_crop,no,possible,possible_not_directly_measured,unlikely_from_box_count,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x72C17EF3FB50>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day4/members/stevan/13_0149.webp,4,118.380493,no_face_detected_in_rp_crop,single_or_few_box_crop_detector_failure,no,not_proven,possible_not_directly_measured,possible,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x72C1714E3130>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day3/members/onanong/11_0042.webp,2,59.242959,no_face_detected_in_rp_crop,single_or_few_box_crop_detector_failure,no,not_proven,possible_not_directly_measured,unlikely_from_box_count,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x72C1714E0C70>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day4/members/bao/11_0549.webp,9,356.973488,no_face_detected_in_rp_crop,multi_face_or_cluttered_crop_detector_failure,no,not_proven,possible_not_directly_measured,possible,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x72C171423C10>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day2/members/werner/10_0252.webp,2,0.863783,no_face_detected_in_rp_crop,fast_detector_rejection_or_invalid_crop,no,possible,possible_not_directly_measured,unlikely_from_box_count,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x79E1E417C700>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day2/members/onanong/17_0009.webp,1,0.191443,no_face_detected_in_rp_crop,fast_detector_rejection_or_invalid_crop,no,possible,possible_not_directly_measured,unlikely_from_box_count,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x79E1E417C700>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day1/members/bjorn/18_0134.webp,2,0.18492,no_face_detected_in_rp_crop,fast_detector_rejection_or_invalid_crop,no,possible,possible_not_directly_measured,unlikely_from_box_count,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x79E1E417C610>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day2/members/tien/19_0512.webp,8,416.872075,no_face_detected_in_rp_crop,multi_face_or_cluttered_crop_detector_failure,no,not_proven,possible_not_directly_measured,possible,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x79E1CC4A7A90>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day2/members/cathal/10_0597.webp,4,178.263737,no_face_detected_in_rp_crop,single_or_few_box_crop_detector_failure,no,not_proven,possible_not_directly_measured,possible,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x79E1CC467640>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day1/members/tien/19_0392.webp,9,297.477943,no_face_detected_in_rp_crop,multi_face_or_cluttered_crop_detector_failure,no,not_proven,possible_not_directly_measured,possible,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x79E1CC4EFB80>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day4/members/luca/11_0464.webp,6,297.731167,no_face_detected_in_rp_crop,multi_face_or_cluttered_crop_detector_failure,no,not_proven,possible_not_directly_measured,possible,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x79E338585570>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day1/members/klaus/17_0521.webp,4,119.613298,no_face_detected_in_rp_crop,single_or_few_box_crop_detector_failure,no,not_proven,possible_not_directly_measured,possible,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x79E1CC467640>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
day4/members/onanong/11_0656.webp,7,119.111311,no_face_detected_in_rp_crop,multi_face_or_cluttered_crop_detector_failure,no,not_proven,possible_not_directly_measured,possible,no_evidence,no_evidence,No face detected in <PIL.Image.Image image mode=RGB size=1024x1024 at 0x79E338585570>.,"retry with manifest boxes, crop padding sweep, lower detector threshold, smaller face-image option, and layered fallback on repeat failure"
