category,category_source,support_count,method,output_rows,success_rows,perceptual_rows,reid_rows,runtime_rows,category_policy_ready
manual_no_face,manual,146,blur,146,146,146,1,146,yes
manual_no_face,manual,146,pixelate,146,146,146,1,146,yes
manual_no_face,manual,146,solid_mask_black,146,146,146,1,146,yes
manual_no_face,manual,146,layered_blur_downscale_noise,146,146,146,1,146,yes
manual_no_face,manual,146,nullface,146,146,146,1,0,yes
manual_no_face,manual,146,diffusion_low_step,146,146,146,1,146,yes
manual_no_face,manual,146,reverse_personalization,146,146,146,1,146,yes
manual_no_face,manual,146,styleid_stylegan,0,0,0,0,0,no
manual_no_face,manual,146,fams,0,0,0,0,0,no
pred_no_face,predicted_oapr_condition_profile,146,blur,146,146,146,0,146,yes
pred_no_face,predicted_oapr_condition_profile,146,pixelate,146,146,146,0,146,yes
pred_no_face,predicted_oapr_condition_profile,146,solid_mask_black,146,146,146,0,146,yes
pred_no_face,predicted_oapr_condition_profile,146,layered_blur_downscale_noise,146,146,146,0,146,yes
pred_no_face,predicted_oapr_condition_profile,146,nullface,146,146,146,0,0,yes
pred_no_face,predicted_oapr_condition_profile,146,diffusion_low_step,146,146,146,0,146,yes
pred_no_face,predicted_oapr_condition_profile,146,reverse_personalization,146,146,146,0,146,yes
pred_no_face,predicted_oapr_condition_profile,146,styleid_stylegan,0,0,0,0,0,no
pred_no_face,predicted_oapr_condition_profile,146,fams,0,0,0,0,0,no
manual_single_face,manual,79,blur,79,79,79,79,79,yes
manual_single_face,manual,79,pixelate,79,79,79,79,79,yes
manual_single_face,manual,79,solid_mask_black,79,79,79,79,79,yes
manual_single_face,manual,79,layered_blur_downscale_noise,79,79,79,79,79,yes
manual_single_face,manual,79,nullface,79,79,79,79,0,yes
manual_single_face,manual,79,diffusion_low_step,79,79,79,79,79,yes
manual_single_face,manual,79,reverse_personalization,79,70,77,77,70,no
manual_single_face,manual,79,styleid_stylegan,0,0,0,0,0,no
manual_single_face,manual,79,fams,0,0,0,0,0,no
pred_single_face,predicted_oapr_condition_profile,82,blur,82,82,82,81,82,yes
pred_single_face,predicted_oapr_condition_profile,82,pixelate,82,82,82,81,82,yes
pred_single_face,predicted_oapr_condition_profile,82,solid_mask_black,82,82,82,81,82,yes
pred_single_face,predicted_oapr_condition_profile,82,layered_blur_downscale_noise,82,82,82,81,82,yes
pred_single_face,predicted_oapr_condition_profile,82,nullface,82,82,82,81,0,yes
pred_single_face,predicted_oapr_condition_profile,82,diffusion_low_step,82,82,82,81,82,yes
pred_single_face,predicted_oapr_condition_profile,82,reverse_personalization,82,72,80,79,72,no
pred_single_face,predicted_oapr_condition_profile,82,styleid_stylegan,0,0,0,0,0,no
pred_single_face,predicted_oapr_condition_profile,82,fams,0,0,0,0,0,no
manual_multi_face,manual,275,blur,275,275,275,275,275,yes
manual_multi_face,manual,275,pixelate,275,275,275,275,275,yes
manual_multi_face,manual,275,solid_mask_black,275,275,275,275,275,yes
manual_multi_face,manual,275,layered_blur_downscale_noise,275,275,275,275,275,yes
manual_multi_face,manual,275,nullface,275,275,275,275,0,yes
manual_multi_face,manual,275,diffusion_low_step,275,275,275,275,275,yes
manual_multi_face,manual,275,reverse_personalization,275,228,259,259,228,no
manual_multi_face,manual,275,styleid_stylegan,1,1,0,0,1,no
manual_multi_face,manual,275,fams,1,1,0,0,1,no
pred_multi_face,predicted_oapr_condition_profile,275,blur,275,275,275,275,275,yes
pred_multi_face,predicted_oapr_condition_profile,275,pixelate,275,275,275,275,275,yes
pred_multi_face,predicted_oapr_condition_profile,275,solid_mask_black,275,275,275,275,275,yes
pred_multi_face,predicted_oapr_condition_profile,275,layered_blur_downscale_noise,275,275,275,275,275,yes
pred_multi_face,predicted_oapr_condition_profile,275,nullface,275,275,275,275,0,yes
pred_multi_face,predicted_oapr_condition_profile,275,diffusion_low_step,275,275,275,275,275,yes
pred_multi_face,predicted_oapr_condition_profile,275,reverse_personalization,275,228,259,259,228,no
pred_multi_face,predicted_oapr_condition_profile,275,styleid_stylegan,1,1,0,0,1,no
pred_multi_face,predicted_oapr_condition_profile,275,fams,1,1,0,0,1,no
pred_small_face,predicted_oapr_condition_profile,121,blur,121,121,121,121,121,yes
pred_small_face,predicted_oapr_condition_profile,121,pixelate,121,121,121,121,121,yes
pred_small_face,predicted_oapr_condition_profile,121,solid_mask_black,121,121,121,121,121,yes
pred_small_face,predicted_oapr_condition_profile,121,layered_blur_downscale_noise,121,121,121,121,121,yes
pred_small_face,predicted_oapr_condition_profile,121,nullface,121,121,121,121,0,yes
pred_small_face,predicted_oapr_condition_profile,121,diffusion_low_step,121,121,121,121,121,yes
pred_small_face,predicted_oapr_condition_profile,121,reverse_personalization,121,116,121,121,116,yes
pred_small_face,predicted_oapr_condition_profile,121,styleid_stylegan,0,0,0,0,0,no
pred_small_face,predicted_oapr_condition_profile,121,fams,0,0,0,0,0,no
pred_medium_face,predicted_oapr_condition_profile,154,blur,154,154,154,154,154,yes
pred_medium_face,predicted_oapr_condition_profile,154,pixelate,154,154,154,154,154,yes
pred_medium_face,predicted_oapr_condition_profile,154,solid_mask_black,154,154,154,154,154,yes
pred_medium_face,predicted_oapr_condition_profile,154,layered_blur_downscale_noise,154,154,154,154,154,yes
pred_medium_face,predicted_oapr_condition_profile,154,nullface,154,154,154,154,0,yes
pred_medium_face,predicted_oapr_condition_profile,154,diffusion_low_step,154,154,154,154,154,yes
pred_medium_face,predicted_oapr_condition_profile,154,reverse_personalization,154,123,140,140,123,no
pred_medium_face,predicted_oapr_condition_profile,154,styleid_stylegan,1,1,0,0,1,no
pred_medium_face,predicted_oapr_condition_profile,154,fams,1,1,0,0,1,no
pred_large_face,predicted_oapr_condition_profile,25,blur,25,25,25,24,25,yes
pred_large_face,predicted_oapr_condition_profile,25,pixelate,25,25,25,24,25,yes
pred_large_face,predicted_oapr_condition_profile,25,solid_mask_black,25,25,25,24,25,yes
pred_large_face,predicted_oapr_condition_profile,25,layered_blur_downscale_noise,25,25,25,24,25,yes
pred_large_face,predicted_oapr_condition_profile,25,nullface,25,25,25,24,0,yes
pred_large_face,predicted_oapr_condition_profile,25,diffusion_low_step,25,25,25,24,25,yes
pred_large_face,predicted_oapr_condition_profile,25,reverse_personalization,25,17,25,24,17,yes
pred_large_face,predicted_oapr_condition_profile,25,styleid_stylegan,0,0,0,0,0,no
pred_large_face,predicted_oapr_condition_profile,25,fams,0,0,0,0,0,no
pred_mixed_scale_face,predicted_oapr_condition_profile,44,blur,44,44,44,44,44,yes
pred_mixed_scale_face,predicted_oapr_condition_profile,44,pixelate,44,44,44,44,44,yes
pred_mixed_scale_face,predicted_oapr_condition_profile,44,solid_mask_black,44,44,44,44,44,yes
pred_mixed_scale_face,predicted_oapr_condition_profile,44,layered_blur_downscale_noise,44,44,44,44,44,yes
pred_mixed_scale_face,predicted_oapr_condition_profile,44,nullface,44,44,44,44,0,yes
pred_mixed_scale_face,predicted_oapr_condition_profile,44,diffusion_low_step,44,44,44,44,44,yes
pred_mixed_scale_face,predicted_oapr_condition_profile,44,reverse_personalization,44,34,41,41,34,no
pred_mixed_scale_face,predicted_oapr_condition_profile,44,styleid_stylegan,0,0,0,0,0,no
pred_mixed_scale_face,predicted_oapr_condition_profile,44,fams,0,0,0,0,0,no
pred_very_small_or_distant_face,predicted_oapr_condition_profile,11,blur,11,11,11,11,11,yes
pred_very_small_or_distant_face,predicted_oapr_condition_profile,11,pixelate,11,11,11,11,11,yes
pred_very_small_or_distant_face,predicted_oapr_condition_profile,11,solid_mask_black,11,11,11,11,11,yes
pred_very_small_or_distant_face,predicted_oapr_condition_profile,11,layered_blur_downscale_noise,11,11,11,11,11,yes
pred_very_small_or_distant_face,predicted_oapr_condition_profile,11,nullface,11,11,11,11,0,yes
pred_very_small_or_distant_face,predicted_oapr_condition_profile,11,diffusion_low_step,11,11,11,11,11,yes
pred_very_small_or_distant_face,predicted_oapr_condition_profile,11,reverse_personalization,11,9,10,10,9,no
pred_very_small_or_distant_face,predicted_oapr_condition_profile,11,styleid_stylegan,0,0,0,0,0,no
pred_very_small_or_distant_face,predicted_oapr_condition_profile,11,fams,0,0,0,0,0,no
pred_edge_or_partial_face,predicted_oapr_condition_profile,207,blur,207,207,207,207,207,yes
pred_edge_or_partial_face,predicted_oapr_condition_profile,207,pixelate,207,207,207,207,207,yes
pred_edge_or_partial_face,predicted_oapr_condition_profile,207,solid_mask_black,207,207,207,207,207,yes
pred_edge_or_partial_face,predicted_oapr_condition_profile,207,layered_blur_downscale_noise,207,207,207,207,207,yes
pred_edge_or_partial_face,predicted_oapr_condition_profile,207,nullface,207,207,207,207,0,yes
pred_edge_or_partial_face,predicted_oapr_condition_profile,207,diffusion_low_step,207,207,207,207,207,yes
pred_edge_or_partial_face,predicted_oapr_condition_profile,207,reverse_personalization,207,157,190,190,157,no
pred_edge_or_partial_face,predicted_oapr_condition_profile,207,styleid_stylegan,0,0,0,0,0,no
pred_edge_or_partial_face,predicted_oapr_condition_profile,207,fams,0,0,0,0,0,no
pred_profile_or_occluded_face,predicted_oapr_condition_profile,216,blur,216,216,216,216,216,yes
pred_profile_or_occluded_face,predicted_oapr_condition_profile,216,pixelate,216,216,216,216,216,yes
pred_profile_or_occluded_face,predicted_oapr_condition_profile,216,solid_mask_black,216,216,216,216,216,yes
pred_profile_or_occluded_face,predicted_oapr_condition_profile,216,layered_blur_downscale_noise,216,216,216,216,216,yes
pred_profile_or_occluded_face,predicted_oapr_condition_profile,216,nullface,216,216,216,216,0,yes
pred_profile_or_occluded_face,predicted_oapr_condition_profile,216,diffusion_low_step,216,216,216,216,216,yes
pred_profile_or_occluded_face,predicted_oapr_condition_profile,216,reverse_personalization,216,165,198,198,165,no
pred_profile_or_occluded_face,predicted_oapr_condition_profile,216,styleid_stylegan,0,0,0,0,0,no
pred_profile_or_occluded_face,predicted_oapr_condition_profile,216,fams,0,0,0,0,0,no
pred_downward_egocentric_view,predicted_oapr_condition_profile,95,blur,95,95,95,0,95,no
pred_downward_egocentric_view,predicted_oapr_condition_profile,95,pixelate,95,95,95,0,95,no
pred_downward_egocentric_view,predicted_oapr_condition_profile,95,solid_mask_black,95,95,95,0,95,no
pred_downward_egocentric_view,predicted_oapr_condition_profile,95,layered_blur_downscale_noise,95,95,95,0,95,no
pred_downward_egocentric_view,predicted_oapr_condition_profile,95,nullface,95,95,95,0,0,no
pred_downward_egocentric_view,predicted_oapr_condition_profile,95,diffusion_low_step,95,95,95,0,95,no
pred_downward_egocentric_view,predicted_oapr_condition_profile,95,reverse_personalization,95,95,95,0,95,no
pred_downward_egocentric_view,predicted_oapr_condition_profile,95,styleid_stylegan,0,0,0,0,0,no
pred_downward_egocentric_view,predicted_oapr_condition_profile,95,fams,0,0,0,0,0,no
manual_motion_blur_or_low_sharpness,manual,90,blur,90,90,90,46,90,yes
manual_motion_blur_or_low_sharpness,manual,90,pixelate,90,90,90,46,90,yes
manual_motion_blur_or_low_sharpness,manual,90,solid_mask_black,90,90,90,46,90,yes
manual_motion_blur_or_low_sharpness,manual,90,layered_blur_downscale_noise,90,90,90,46,90,yes
manual_motion_blur_or_low_sharpness,manual,90,nullface,90,90,90,46,0,yes
manual_motion_blur_or_low_sharpness,manual,90,diffusion_low_step,90,90,90,46,90,yes
manual_motion_blur_or_low_sharpness,manual,90,reverse_personalization,90,83,88,44,83,no
manual_motion_blur_or_low_sharpness,manual,90,styleid_stylegan,0,0,0,0,0,no
manual_motion_blur_or_low_sharpness,manual,90,fams,0,0,0,0,0,no
pred_motion_blur_or_low_sharpness,predicted_oapr_condition_profile,95,blur,95,95,95,46,95,yes
pred_motion_blur_or_low_sharpness,predicted_oapr_condition_profile,95,pixelate,95,95,95,46,95,yes
pred_motion_blur_or_low_sharpness,predicted_oapr_condition_profile,95,solid_mask_black,95,95,95,46,95,yes
pred_motion_blur_or_low_sharpness,predicted_oapr_condition_profile,95,layered_blur_downscale_noise,95,95,95,46,95,yes
pred_motion_blur_or_low_sharpness,predicted_oapr_condition_profile,95,nullface,95,95,95,46,0,yes
pred_motion_blur_or_low_sharpness,predicted_oapr_condition_profile,95,diffusion_low_step,95,95,95,46,95,yes
pred_motion_blur_or_low_sharpness,predicted_oapr_condition_profile,95,reverse_personalization,95,88,91,42,88,no
pred_motion_blur_or_low_sharpness,predicted_oapr_condition_profile,95,styleid_stylegan,0,0,0,0,0,no
pred_motion_blur_or_low_sharpness,predicted_oapr_condition_profile,95,fams,0,0,0,0,0,no
pred_low_light_or_dim,predicted_oapr_condition_profile,101,blur,101,101,101,62,101,yes
pred_low_light_or_dim,predicted_oapr_condition_profile,101,pixelate,101,101,101,62,101,yes
pred_low_light_or_dim,predicted_oapr_condition_profile,101,solid_mask_black,101,101,101,62,101,yes
pred_low_light_or_dim,predicted_oapr_condition_profile,101,layered_blur_downscale_noise,101,101,101,62,101,yes
pred_low_light_or_dim,predicted_oapr_condition_profile,101,nullface,101,101,101,62,0,yes
pred_low_light_or_dim,predicted_oapr_condition_profile,101,diffusion_low_step,101,101,101,62,101,yes
pred_low_light_or_dim,predicted_oapr_condition_profile,101,reverse_personalization,101,90,98,59,90,no
pred_low_light_or_dim,predicted_oapr_condition_profile,101,styleid_stylegan,0,0,0,0,0,no
pred_low_light_or_dim,predicted_oapr_condition_profile,101,fams,0,0,0,0,0,no
pred_high_clutter,predicted_oapr_condition_profile,193,blur,193,193,193,147,193,yes
pred_high_clutter,predicted_oapr_condition_profile,193,pixelate,193,193,193,147,193,yes
pred_high_clutter,predicted_oapr_condition_profile,193,solid_mask_black,193,193,193,147,193,yes
pred_high_clutter,predicted_oapr_condition_profile,193,layered_blur_downscale_noise,193,193,193,147,193,yes
pred_high_clutter,predicted_oapr_condition_profile,193,nullface,193,193,193,147,0,yes
pred_high_clutter,predicted_oapr_condition_profile,193,diffusion_low_step,193,193,193,147,193,yes
pred_high_clutter,predicted_oapr_condition_profile,193,reverse_personalization,193,170,187,141,170,no
pred_high_clutter,predicted_oapr_condition_profile,193,styleid_stylegan,0,0,0,0,0,no
pred_high_clutter,predicted_oapr_condition_profile,193,fams,0,0,0,0,0,no
