relative_path,box_count,face_count_category,face_scale_category,manual_no_face,manual_single_face,manual_multi_face,manual_small_face,manual_medium_face,manual_large_face,manual_mixed_scale_face,manual_very_small_or_distant_face,manual_edge_or_partial_face,manual_profile_or_occluded_face,manual_downward_egocentric_view,manual_motion_blur_or_low_sharpness,manual_low_light_or_dim,manual_high_clutter,detected_box_count,pred_no_face,pred_single_face,pred_multi_face,pred_small_face,pred_medium_face,pred_large_face,pred_mixed_scale_face,pred_very_small_or_distant_face,pred_edge_or_partial_face,pred_profile_or_occluded_face,pred_downward_egocentric_view,pred_motion_blur_or_low_sharpness,pred_low_light_or_dim,pred_high_clutter,text_present,screen_present,no_text_screen_risk,multimodal_risk_state
day3/members/stevan/20_0682.webp,6,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,,,,
day1/members/luca/12_0078.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,
day3/members/tien/14_0649.webp,7,multi_face,mixed_scale,False,False,True,False,False,False,False,False,False,False,False,False,False,False,7.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,,,,
day2/members/bjorn/16_0250.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,
day1/members/stevan/10_0179.webp,4,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,,,,
day3/members/werner/08_0619.webp,2,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,,,
day3/members/tien/10_0512.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
day1/members/werner/14_0048.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
day1/members/klaus/17_0206.webp,2,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,,,,
day4/members/florian/11_0412.webp,3,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,,,,
day1/members/allie/18_0412.webp,3,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,,,,
day2/members/klaus/18_0601.webp,2,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,
day4/members/allie/12_0604.webp,3,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3.0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,,,,
day1/members/onanong/08_0572.webp,2,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,
day3/members/stevan/09_0286.webp,2,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,,,
day3/members/tien/20_0434.webp,3,multi_face,small,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3.0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,,,,
day4/members/werner/18_0362.webp,0,no_face,none,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
day1/members/cathal/12_0342.webp,4,multi_face,medium,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,,,,
