category,category_source,support_count,scored_frame_count,method,success_rate,SSIM_mean,LPIPS_mean,privacy_score_mean,utility_score_mean,runtime_score_mean,privacy_first_score,balanced_oapr_anonymisation_score,utility_preserving_score,runtime_practical_score,runtime_mean_for_score,privacy_first_score_rank,balanced_oapr_anonymisation_score_rank,utility_preserving_score_rank,runtime_practical_score_rank
downward_egocentric_view,manual_condition_review,89,1,blur,1.0,0.9978656784730379,0.0002774638414848596,1.0,0.9961582008216703,0.8980544,0.9943264501232504,0.988652900246501,0.9878845404108352,0.968647960164334,0.509728,1,1,1,3
downward_egocentric_view,manual_condition_review,89,1,diffusion_low_step,1.0,0.9955678892290826,0.0011862311512231827,1.0,0.9859216331023095,0.870278,0.9914021449653464,0.9828042899306928,0.9799886165511548,0.9582677266204619,0.64861,5,5,5,5
downward_egocentric_view,manual_condition_review,89,1,layered_blur_downscale_noise,1.0,0.9955678892290826,0.0011861551320180297,1.0,0.985922393294361,0.9088938,0.9933330489941541,0.9866660979883083,0.9838505766471806,0.9698526186588722,0.455531,3,3,3,1
downward_egocentric_view,manual_condition_review,89,1,nullface,1.0,0.9955678892290826,0.0011861551320180297,1.0,0.985922393294361,0.0,0.9478883589941541,0.8957767179883083,0.8929611966471805,0.6971844786588722,20.167529,6,6,6,6
downward_egocentric_view,manual_condition_review,89,1,pixelate,1.0,0.9978656784730379,0.0002774638414848596,1.0,0.9961582008216703,0.8937886,0.9941131601232505,0.988226320246501,0.9874579604108352,0.967368220164334,0.531057,2,2,2,4
downward_egocentric_view,manual_condition_review,89,1,reverse_personalization,1.0,0.9955678892290826,0.0011861837701871991,1.0,0.9859221069126693,0.0,0.9478883160369004,0.8957766320738008,0.8929610534563347,0.6971844213825339,139.439574,7,7,7,7
downward_egocentric_view,manual_condition_review,89,1,solid_mask_black,1.0,0.9955678892290826,0.0011861551320180297,1.0,0.985922393294361,0.9087852,0.9933276189941541,0.9866552379883082,0.9838397166471805,0.9698200386588722,0.456074,4,4,4,2
edge_or_partial_face,manual_condition_review,193,193,blur,1.0,0.9895304836759221,0.012763845411969538,0.9224268031910519,0.8677444244816358,0.9008584880829015,0.9209033503101268,0.9116225777483068,0.9006861020064235,0.9127771525976184,0.49570755958549223,3,2,2,3
edge_or_partial_face,manual_condition_review,193,193,diffusion_low_step,1.0,0.980243716244831,0.01603111004881522,0.9676833097817553,0.8304334438066596,0.3722170424870467,0.92055418554258,0.8701933922815801,0.8427434190865611,0.7648251254201481,3.3632771295336785,4,4,3,5
edge_or_partial_face,manual_condition_review,193,193,layered_blur_downscale_noise,1.0,0.9853214521324751,0.014762430198471318,0.9762429064890205,0.8464397859492709,0.9099556373056995,0.95583378429999,0.9330489527598615,0.9070883286519116,0.9327718109771722,0.4502218134715026,1,1,1,1
edge_or_partial_face,manual_condition_review,193,193,nullface,1.0,0.9516087667952914,0.042173621686262326,0.9055574247284093,0.7233436604317093,0.0,0.8423917463746428,0.7697818104937174,0.7333390576343773,0.6068917019777056,20.167529,5,6,6,6
