objective_mode,selected_method,image_count
balanced_high_compute,layered_blur_downscale_noise,286
balanced_high_compute,no_action_copy,133
balanced_high_compute,solid_mask_black,81
balanced_standard,layered_blur_downscale_noise,286
balanced_standard,no_action_copy,133
balanced_standard,solid_mask_black,81
failure_avoidance,layered_blur_downscale_noise,286
failure_avoidance,no_action_copy,133
failure_avoidance,solid_mask_black,81
privacy_first,layered_blur_downscale_noise,244
privacy_first,no_action_copy,133
privacy_first,solid_mask_black,123
runtime_practical,layered_blur_downscale_noise,286
runtime_practical,no_action_copy,133
runtime_practical,solid_mask_black,81
utility_priority,layered_blur_downscale_noise,367
utility_priority,no_action_copy,133
