fold,relative_path,policy_category,selected_method,selection_source,score,privacy,utility
1,day1/members/klaus/09_0114.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.848342431095621,1.0,0.5274761454296577
1,day1/members/klaus/09_0268.webp,medium_face,blur,train_fold_category,0.8722574872673938,1.0,0.6084415198581768
1,day1/members/klaus/10_0063.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8747988002989027,1.0,0.6127422884385643
1,day1/members/klaus/10_0589.webp,small_face,blur,train_fold_category,0.8737610954428617,1.0,0.6122099519908533
1,day1/members/klaus/11_0523.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8603408162946153,1.0,0.57027547904968
1,day1/members/klaus/12_0400.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day1/members/klaus/12_0632.webp,motion_blur_or_low_sharpness,layered_blur_downscale_noise,train_fold_category,0.8757133567089854,1.0,0.6109132225239352
1,day1/members/klaus/15_0547.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day1/members/klaus/16_0531.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8710172656311691,1.0,0.5969959862048304
1,day1/members/klaus/17_0002.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.837580068688797,1.0,0.4870355330657081
1,day1/members/klaus/17_0206.webp,medium_face,blur,train_fold_category,0.6405568176485331,0.5,0.6656930893871874
1,day1/members/klaus/17_0521.webp,medium_face,blur,train_fold_category,0.792321640708678,0.8333333333333334,0.6153622414492945
1,day1/members/werner/08_0280.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8670316006845153,1.0,0.5822391610723048
1,day1/members/werner/10_0429.webp,small_face,blur,train_fold_category,0.8551051877850772,0.9523809523809524,0.6277610704800881
1,day1/members/werner/11_0515.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.8651317470519951,1.0,0.5797865076221618
1,day1/members/werner/11_0547.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day1/members/werner/13_0365.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day1/members/werner/13_0606.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day1/members/werner/14_0048.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day1/members/werner/14_0080.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day1/members/werner/15_0198.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day1/members/werner/15_0199.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day1/members/werner/15_0312.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day1/members/werner/17_0457.webp,no_face,no_action_copy,verified_no_face,1.0,1.0,1.0
1,day1/members/werner/18_0011.webp,medium_face,blur,train_fold_category,0.8495927995359799,0.9333333333333333,0.6413190853970835
1,day1/members/werner/18_0148.webp,medium_face,blur,train_fold_category,0.8762976113926669,1.0,0.6197274253365274
1,day1/members/werner/18_0484.webp,medium_face,blur,train_fold_category,0.8260497865672469,0.8888888888888888,0.6359950153026358
1,day1/members/werner/19_0255.webp,single_face,layered_blur_downscale_noise,train_fold_category,0.7048084128182025,0.6666666666666667,0.5977744374399578
1,day1/members/werner/19_0438.webp,medium_face,blur,train_fold_category,0.8776967261989728,1.0,0.6265766828830874
1,day2/members/klaus/10_0219.webp,small_face,blur,train_fold_category,0.8748164043712433,1.0,0.6153023247138794
1,day2/members/klaus/10_0464.webp,mixed_scale_face,layered_blur_downscale_noise,train_fold_category,0.8292731218099255,1.0,0.4639137032623879
