method,n_images,success_rate,privacy_score,utility_score,mean_runtime_seconds,balanced_score,high_compute_score
blur,500,1.0,0.9419259259259259,0.7393065181238513,0.492744408,0.8833741728292924,0.8757328131296701
diffusion_low_step,500,1.0,0.9701076238576238,0.7389734866779093,2.29643385,0.8734753363223796,0.8830921983475789
falco,500,1.0,0.9969833333333333,0.6952886852021549,16.623069160474,0.8106769135141331,0.8632494359819051
layered_blur_downscale_noise,500,1.0,0.980810052910053,0.6927380944770735,0.440964332,0.8897889134252596,0.879227966785249
nullface,500,1.0,0.9420670995670996,0.7714476264596781,20.167529,0.8042390503023596,0.8606206644666728
pixelate,500,1.0,0.7580694805194805,0.7542533121714442,0.48575424399999995,0.7960566641001208,0.7890826523499765
reverse_personalization,500,0.964,0.8704156084656084,0.7978138623900379,139.439574,0.770951962949893,0.8115651842240273
riddle,500,1.0,0.9958833333333333,0.7066845947272702,0.36497419842200035,0.9030561813295034,0.8923779741732808
solid_mask_black,500,1.0,0.9920732804232804,0.5676846510636457,0.427300688,0.8581546746593752,0.8411853654257798
grouped_heldout_policy_with_group2,500,1.0,0.9938833333333335,0.7305761860559238,,0.9097979498169918,
