sample_index,relative_path,riddle_visually_plausible,riddle_obvious_artifact,riddle_artifact_type,falco_visually_plausible,falco_obvious_artifact,falco_artifact_type,review_scope
1,day1/members/allie/14_0135.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
2,day1/members/onanong/16_0577.webp,1,0,none,0,1,expression_eye_artifact,first_operational_face_box_deterministic_random_sample
3,day4/members/onanong/10_0182.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
4,day3/members/onanong/11_0248.webp,0,1,compositing_discontinuity,0,1,compositing_discontinuity,first_operational_face_box_deterministic_random_sample
5,day2/members/cathal/11_0012.webp,1,0,none,0,1,expression_eye_artifact,first_operational_face_box_deterministic_random_sample
6,day1/members/bjorn/10_0088.webp,1,0,none,0,1,multi_face_blending_artifact,first_operational_face_box_deterministic_random_sample
7,day4/members/werner/18_0672.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
8,day4/members/klaus/11_0401.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
9,day1/members/klaus/09_0268.webp,0,1,implausible_eye_rendering,1,0,none,first_operational_face_box_deterministic_random_sample
10,day4/members/stevan/10_0044.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
11,day1/members/tien/15_0585.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
12,day1/members/allie/09_0673.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
13,day1/members/tien/10_0032.webp,1,0,none,0,1,geometry_artifact,first_operational_face_box_deterministic_random_sample
14,day2/members/luca/14_0016.webp,1,0,none,0,1,expression_eye_artifact,first_operational_face_box_deterministic_random_sample
15,day1/members/florian/18_0042.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
16,day2/members/klaus/19_0493.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
17,day4/members/luca/10_0115.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
18,day2/members/klaus/10_0219.webp,0,1,geometry_blending_artifact,1,0,none,first_operational_face_box_deterministic_random_sample
19,day2/members/allie/17_0331.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
20,day3/members/luca/11_0126.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
21,day3/members/tien/10_0690.webp,1,0,none,0,1,expression_eye_artifact,first_operational_face_box_deterministic_random_sample
22,day4/members/bao/12_0438.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
23,day3/members/tien/14_0649.webp,0,1,implausible_eye_rendering,1,0,none,first_operational_face_box_deterministic_random_sample
24,day1/members/florian/08_0717.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
25,day2/members/florian/14_0303.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
26,day4/members/bao/10_0060.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
27,day1/members/cathal/14_0484.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
28,day2/members/allie/17_0093.webp,0,1,implausible_eye_rendering,1,0,none,first_operational_face_box_deterministic_random_sample
29,day2/members/florian/14_0672.webp,1,0,none,0,1,expression_eye_artifact,first_operational_face_box_deterministic_random_sample
30,day1/members/onanong/14_0049.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
31,day2/members/onanong/17_0009.webp,0,1,false_positive_face_insertion,0,1,false_positive_face_insertion,first_operational_face_box_deterministic_random_sample
32,day1/members/cathal/14_0490.webp,0,1,implausible_eye_rendering,0,1,expression_eye_artifact,first_operational_face_box_deterministic_random_sample
33,day1/members/cathal/09_0001.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
34,day1/members/cathal/14_0708.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
35,day2/members/allie/10_0243.webp,1,0,none,0,1,expression_eye_artifact,first_operational_face_box_deterministic_random_sample
36,day2/members/florian/14_0293.webp,1,0,none,0,1,expression_eye_artifact,first_operational_face_box_deterministic_random_sample
37,day2/members/klaus/18_0601.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
38,day1/members/allie/10_0339.webp,0,1,compositing_discontinuity,0,1,compositing_discontinuity,first_operational_face_box_deterministic_random_sample
39,day2/members/tien/12_0017.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
40,day3/members/cathal/20_0569.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
41,day1/members/onanong/08_0611.webp,1,0,none,0,1,expression_artifact,first_operational_face_box_deterministic_random_sample
42,day1/members/allie/18_0412.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
43,day1/members/klaus/17_0002.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
44,day3/members/klaus/18_0613.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
45,day4/members/allie/12_0604.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
46,day1/members/tien/14_0026.webp,0,1,local_geometry_artifact,1,0,none,first_operational_face_box_deterministic_random_sample
47,day2/members/werner/20_0424.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
48,day3/members/florian/20_0698.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
49,day4/members/bao/13_0504.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
50,day2/members/bjorn/19_0586.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
51,day3/members/onanong/12_0488.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
52,day3/members/werner/17_0005.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
53,day1/members/tien/13_0571.webp,0,1,implausible_eye_rendering,1,0,none,first_operational_face_box_deterministic_random_sample
54,day1/members/luca/18_0040.webp,1,0,none,0,1,geometry_artifact,first_operational_face_box_deterministic_random_sample
55,day2/members/luca/10_0586.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
56,day2/members/luca/10_0654.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
57,day1/members/stevan/18_0014.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
58,day2/members/bjorn/11_0031.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
59,day1/members/luca/11_0691.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
60,day3/members/luca/18_0517.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
61,day2/members/tien/19_0472.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
62,day4/members/werner/12_0528.webp,0,1,implausible_eye_rendering,1,0,none,first_operational_face_box_deterministic_random_sample
63,day4/members/bjorn/12_0570.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
64,day3/members/cathal/19_0263.webp,1,0,none,0,1,expression_eye_artifact,first_operational_face_box_deterministic_random_sample
65,day3/members/bjorn/18_0629.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
66,day3/members/klaus/08_0380.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
67,day2/members/onanong/18_0325.webp,1,0,none,1,0,none,first_operational_face_box_deterministic_random_sample
