comparator,policy_mean,comparator_mean,mean_difference,ci_low,ci_high,policy_wins,comparator_wins,ties
blur,0.9069905036186733,0.8833741728292924,0.023616330789380892,0.01834783916356013,0.029370812263733843,365,135,0
diffusion_low_step,0.9069905036186733,0.8734753363223796,0.033515167296293724,0.030296406750675995,0.03684906257385153,453,47,0
falco,0.9069905036186733,0.8106769135141331,0.09631359010454023,0.09267466055048187,0.09942186179108838,494,6,0
layered_blur_downscale_noise,0.9069905036186733,0.8897889134252596,0.01720159019341374,0.014991803521698151,0.019494274600118534,387,38,75
nullface,0.9069905036186733,0.8042390503023596,0.10275145331631376,0.09690731865445774,0.10890121316041917,496,4,0
pixelate,0.9069905036186733,0.7960566641001208,0.11093383951855253,0.09873184369640055,0.12310006025252972,462,32,6
reverse_personalization,0.9069905036186733,0.770951962949893,0.1360385406687804,0.12208255355690373,0.150988476269782,495,5,0
riddle,0.9069905036186733,0.9030561813295033,0.0039343222891699515,0.0006669526716780367,0.006521814907212579,159,55,286
solid_mask_black,0.9069905036186733,0.8581546746593752,0.048835828959298055,0.04565297342054899,0.05191128613547285,490,10,0
ungated_grouped_heldout_policy,0.9069905036186733,0.9097979498169918,-0.002807446198318461,-0.00433646902418678,-0.0014552635688442578,22,53,425
