modality,variant,split,runtime_seconds_full_250,image_count,ground_truth_region_count,predicted_region_count,tp,fp,fn,precision,recall,f1,f2,strict_iou50_precision,strict_iou50_recall,strict_iou50_f1,mean_ground_truth_area_coverage,mean_prediction_purity,image_tp,image_fp,image_fn,image_tn,image_precision,image_recall,image_f1,oapr_multimodal_score
text,craft_documented_default,development,136.67793211499884,175,91,5184,76,3789,15,0.01966364812419146,0.8351648351648352,0.03842264914054601,0.08985575786237883,0.004050925925925926,0.23076923076923078,0.007962085308056872,0.5462018976807158,0.2676199588785062,29,80,5,61,0.26605504587155965,0.8529411764705882,0.4055944055944056,0.5544291699546986
text,craft_documented_default,test,136.67793211499884,75,25,1806,20,1184,5,0.016611295681063124,0.8,0.03254678600488202,0.07668711656441718,0.0027685492801771874,0.2,0.005461496450027308,0.37697016184305077,0.34371713719470937,13,29,2,31,0.30952380952380953,0.8666666666666667,0.45614035087719296,0.5297978260693268
text,craft_documented_default,all,136.67793211499884,250,116,6990,96,4973,20,0.018938646675872955,0.8275862068965517,0.03702989392478303,0.08675221398879453,0.0037195994277539344,0.22413793103448276,0.007317759639741064,0.5097295408191502,0.2872811182546239,42,109,7,92,0.2781456953642384,0.8571428571428571,0.42,0.5490823726315417
text,craft_recall_4k,development,307.21443235699917,175,91,5368,82,3784,9,0.021210553543714435,0.9010989010989011,0.041445539550164265,0.09692671394799054,0.005774962742175857,0.34065934065934067,0.011357391463638029,0.6810973277033213,0.29119197504912697,32,98,2,43,0.24615384615384617,0.9411764705882353,0.3902439024390244,0.5981967259561982
text,craft_recall_4k,test,307.21443235699917,75,25,1791,21,1164,4,0.017721518987341773,0.84,0.03471074380165289,0.08171206225680934,0.005583472920156337,0.4,0.011013215859030838,0.5556930457033036,0.3481269736645025,14,39,1,21,0.2641509433962264,0.9333333333333333,0.411764705882353,0.5564498378491474
text,craft_recall_4k,all,307.21443235699917,250,116,7159,103,4948,13,0.020392001583844785,0.8879310344827587,0.039868395587381464,0.09338168631006347,0.0057270568515155745,0.35344827586206895,0.01127147766323024,0.6540705427895246,0.30543566586071197,46,137,3,64,0.25136612021857924,0.9387755102040817,0.39655172413793105,0.5891614714690229
text,doctr_db_resnet50,development,46.30287550399953,175,91,3924,59,3060,32,0.01891631933311959,0.6483516483516484,0.0367601246105919,0.08469710020097616,0.003567787971457696,0.15384615384615385,0.00697384806973848,0.37301462471204716,0.21916733520976117,28,97,6,44,0.224,0.8235294117647058,0.3522012578616352,0.4325102345145314
text,doctr_db_resnet50,test,46.30287550399953,75,25,1189,5,716,20,0.006934812760055479,0.2,0.013404825737265418,0.030450669914738125,0.0,0.0,0.0,0.056027923762039716,0.39960707346356095,11,27,4,33,0.2894736842105263,0.7333333333333333,0.4150943396226416,0.1340446877103219
text,doctr_db_resnet50,all,46.30287550399953,250,116,5113,64,3776,52,0.016666666666666666,0.5517241379310345,0.03235591506572295,0.07434944237918216,0.0027381185214159984,0.1206896551724138,0.00535475234270415,0.30469852536937314,0.26112760291634596,39,124,10,77,0.2392638036809816,0.7959183673469388,0.3679245283018868,0.3683763350882698
screen,yolov8n_coco_640_conf025,development,23.921103288001177,175,97,110,51,55,46,0.4811320754716981,0.5257731958762887,0.5024630541871921,0.5161943319838057,0.4636363636363636,0.5257731958762887,0.49275362318840576,0.7256230079786575,0.4840846756945298,75,11,14,75,0.872093023255814,0.8426966292134831,0.8571428571428571,0.5154815484135555
screen,yolov8n_coco_640_conf025,test,23.921103288001177,75,42,42,20,21,22,0.4878048780487805,0.47619047619047616,0.4819277108433735,0.4784688995215311,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.6641970094987988,0.4866277657829329,29,4,9,33,0.8787878787878788,0.7631578947368421,0.8169014084507042,0.47878622503953094
screen,yolov8n_coco_640_conf025,all,23.921103288001177,250,139,152,71,76,68,0.48299319727891155,0.5107913669064749,0.4965034965034965,0.5049786628733998,0.46710526315789475,0.5107913669064749,0.4879725085910653,0.7070626343372614,0.4847873716400096,104,15,23,108,0.8739495798319328,0.8188976377952756,0.8455284552845529,0.5044395823429739
screen,yolov8n_coco_1280_conf025,development,25.864501214000484,175,97,168,59,102,38,0.36645962732919257,0.6082474226804123,0.4573643410852713,0.5373406193078323,0.35119047619047616,0.6082474226804123,0.4452830188679245,0.795149613828733,0.37825452178030605,82,25,7,61,0.7663551401869159,0.9213483146067416,0.8367346938775511,0.5463478727465052
screen,yolov8n_coco_1280_conf025,test,25.864501214000484,75,42,64,18,41,24,0.3050847457627119,0.42857142857142855,0.3564356435643565,0.39647577092511016,0.28125,0.42857142857142855,0.3396226415094339,0.687834533084871,0.3923039982881511,32,7,6,30,0.8205128205128205,0.8421052631578947,0.8311688311688312,0.3981888140387889
screen,yolov8n_coco_1280_conf025,all,25.864501214000484,250,139,232,77,143,62,0.35,0.5539568345323741,0.4289693593314763,0.49613402061855666,0.33189655172413796,0.5539568345323741,0.41509433962264153,0.7627234743233935,0.3821302394376426,114,32,13,91,0.7808219178082192,0.8976377952755905,0.8351648351648352,0.5023142822789123
screen,yolo11n_coco_640_conf025,development,22.421630951001134,175,97,108,56,50,41,0.5283018867924528,0.5773195876288659,0.5517241379310345,0.5668016194331983,0.5185185185185185,0.5773195876288659,0.5463414634146342,0.7790449124844357,0.5027608058746433,75,7,14,79,0.9146341463414634,0.8426966292134831,0.8771929824561403,0.5660189551207668
screen,yolo11n_coco_640_conf025,test,22.421630951001134,75,42,50,26,22,16,0.5416666666666666,0.6190476190476191,0.5777777777777778,0.6018518518518519,0.52,0.6190476190476191,0.5652173913043478,0.806467319528823,0.5101238710365745,31,3,7,34,0.9117647058823529,0.8157894736842105,0.861111111111111,0.6009920634920636
screen,yolo11n_coco_640_conf025,all,22.421630951001134,250,139,158,82,72,57,0.5324675324675324,0.5899280575539568,0.5597269624573379,0.5774647887323944,0.5189873417721519,0.5899280575539568,0.5521885521885521,0.7873308196489268,0.505090889786647,106,10,21,113,0.9137931034482759,0.8346456692913385,0.8724279835390947,0.5766317312711596
screen,yolo11n_coco_1280_conf025,development,22.421327708001627,175,97,158,56,98,41,0.36363636363636365,0.5773195876288659,0.44621513944223107,0.5166051660516605,0.35443037974683544,0.5773195876288659,0.4392156862745098,0.8392719400421522,0.39165892700337784,81,18,8,68,0.8181818181818182,0.9101123595505618,0.8617021276595745,0.523175153182957
screen,yolo11n_coco_1280_conf025,test,22.421327708001627,75,42,54,28,24,14,0.5384615384615384,0.6666666666666666,0.5957446808510638,0.6363636363636364,0.5185185185185185,0.6666666666666666,0.5833333333333334,0.8429848769879636,0.5187054926373045,33,5,5,32,0.868421052631579,0.868421052631579,0.868421052631579,0.6361156573922532
screen,yolo11n_coco_1280_conf025,all,22.421327708001627,250,139,212,84,122,55,0.4077669902912621,0.60431654676259,0.4869565217391304,0.5511811023622047,0.39622641509433965,0.60431654676259,0.4786324786324787,0.8403938346588722,0.42401984466484977,114,23,13,100,0.8321167883211679,0.8976377952755905,0.8636363636363636,0.5553215848595923
screen,yolo11n_coco_1280_conf010,development,24.243332681999163,175,97,247,61,174,36,0.25957446808510637,0.6288659793814433,0.36746987951807225,0.48956661316211875,0.24696356275303644,0.6288659793814433,0.3546511627906977,0.8899807270897778,0.3015976834313979,83,34,6,52,0.7094017094017094,0.9325842696629213,0.8058252427184467,0.5265878032859669
