protocol_id,image_id,evaluation_split,ground_truth_risk_state,predicted_risk_state,ground_truth_text_present,predicted_text_present,ground_truth_screen_present,predicted_screen_present,text_present,screen_present,no_text_screen_risk,multimodal_risk_state,route_action,multimodal_route_action
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0003,day1/members/onanong/10_0305.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0004,day1/members/tien/10_0531.webp,test,no_text_screen_risk,screen_present,False,False,False,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0005,day1/members/bjorn/11_0716.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0006,day1/members/bjorn/11_0618.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0007,day1/members/florian/11_0315.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0008,day1/members/klaus/11_0127.webp,development,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0009,day1/members/allie/12_0701.webp,development,text_and_screen_present,text_and_screen_present,True,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0010,day1/members/onanong/12_0397.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0011,day1/members/onanong/12_0645.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0012,day1/members/onanong/12_0150.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0013,day1/members/onanong/13_0656.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0014,day1/members/allie/13_0023.webp,test,text_and_screen_present,screen_present,True,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0015,day1/members/werner/13_0227.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0016,day1/members/onanong/13_0418.webp,test,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0017,day1/members/allie/14_0032.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0018,day1/members/cathal/14_0438.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0019,day1/members/luca/14_0671.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0020,day1/members/tien/14_0109.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0021,day1/members/luca/15_0032.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0022,day1/members/onanong/15_0174.webp,development,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0023,day1/members/onanong/15_0421.webp,test,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0024,day1/members/florian/15_0596.webp,test,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0025,day1/members/werner/16_0501.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0026,day1/members/werner/16_0278.webp,development,screen_present,no_text_screen_risk,False,False,True,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0027,day1/members/florian/16_0046.webp,test,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0028,day1/members/cathal/16_0128.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0029,day1/members/klaus/17_0225.webp,development,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0030,day1/members/cathal/17_0482.webp,test,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0031,day1/members/stevan/17_0713.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0032,day1/members/tien/17_0143.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0033,day1/members/werner/18_0025.webp,development,text_present,text_present,True,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0034,day1/members/cathal/18_0506.webp,development,screen_present,text_and_screen_present,False,True,True,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0035,day1/members/luca/18_0100.webp,development,screen_present,text_present,False,True,True,False,True,False,False,text_present,redact_text,redact_text
MM2_0036,day1/members/bjorn/18_0423.webp,development,no_text_screen_risk,text_present,False,True,False,False,True,False,False,text_present,redact_text,redact_text
MM2_0037,day1/members/werner/19_0440.webp,test,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0038,day1/members/onanong/19_0549.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0039,day1/members/allie/19_0644.webp,development,screen_present,screen_present,False,False,True,True,False,True,False,screen_present,redact_screen,redact_screen
MM2_0040,day1/members/tien/19_0234.webp,development,no_text_screen_risk,no_text_screen_risk,False,False,False,False,False,False,True,no_text_screen_risk,skip_multimodal_redaction,skip_multimodal_redaction
MM2_0041,day1/members/florian/20_0272.webp,test,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
MM2_0042,day1/members/florian/20_0329.webp,development,text_present,text_and_screen_present,True,True,False,True,True,True,False,text_and_screen_present,redact_text_and_screen,redact_text_and_screen
