protocol_id,image_id,evaluation_split,ground_truth_risk_state,predicted_risk_state,variant,screen_area_threshold,ground_truth_text_count,ground_truth_screen_count,predicted_text_count,predicted_screen_count,privacy_score,text_ocr_suppression_rate,text_ocr_privacy_score,text_region_obscuration,screen_region_obscuration,utility_score,SSIM,LPIPS,non_sensitive_change_fraction,runtime_seconds,runtime_score,success_score,multimodal_anonymisation_score
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_fill_screen_blur,,0,0,1,0,1.0,,,,,0.9688863929795596,0.9942823477958384,0.0028254780918359,0.0049402006172839,0.0111887690000003,0.9888112309999996,1.0,0.9895470409938676
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_blur_screen_blur,,0,0,1,0,1.0,,,,,0.9924180099327802,0.9997601404891788,0.0007462060311809,0.0003163580246913,0.0104504769988125,0.9895495230011876,1.0,0.9966803552799528
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_pixelate_screen_pixelate,,0,0,1,0,1.0,,,,,0.9963723115001308,0.9998179114344466,0.0003536644217092,0.0002391975308641,0.009334223010228,0.990665776989772,1.0,0.9979782711490164
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_fill_screen_fill,,0,0,1,0,1.0,,,,,0.9688863929795596,0.9942823477958384,0.0028254780918359,0.0049402006172839,0.0088068959885276,0.9911931040114724,1.0,0.9897852282950148
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_blur_screen_fill,,0,0,1,0,1.0,,,,,0.9924180099327802,0.9997601404891788,0.0007462060311809,0.0003163580246913,0.0105998119979631,0.9894001880020368,1.0,0.9966654217800376
MM2_0001,day1/members/onanong/10_0700.webp,development,no_text_screen_risk,text_present,text_pixelate_screen_blur,,0,0,1,0,1.0,,,,,0.9963723115001308,0.9998179114344466,0.0003536644217092,0.0002391975308641,0.0119929960055742,0.9880070039944258,1.0,0.9977123938494818
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_fill_screen_blur,,0,1,0,2,0.3557694253232547,,,,0.3557694253232547,0.6942934966543879,0.9839478386361532,0.0297680422663688,0.012559676827029,0.0156362020061351,0.9843637979938648,1.0,0.5846091414573302
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_blur_screen_blur,,0,1,0,2,0.3557694253232547,,,,0.3557694253232547,0.6942934966543879,0.9839478386361532,0.0297680422663688,0.012559676827029,0.0140613580006174,0.9859386419993824,1.0,0.584766625857882
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_pixelate_screen_pixelate,,0,1,0,2,0.2626566024601655,,,,0.2626566024601655,0.9285847714496926,0.9938532379176768,0.0068341847509145,0.0097348909688241,0.0099938200000906,0.9900061799999094,1.0,0.6089043506649815
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_fill_screen_fill,,0,1,0,2,0.9561434050360152,,,,0.9561434050360152,0.4755616829634911,0.9511233659269824,0.0574549213051795,0.0186757451538942,0.0106632980023277,0.9893367019976722,1.0,0.8196738776068221
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_blur_screen_fill,,0,1,0,2,0.9561434050360152,,,,0.9561434050360152,0.4755616829634911,0.9511233659269824,0.0574549213051795,0.0186757451538942,0.0106196289998479,0.989380371000152,1.0,0.8196782445070702
MM2_0002,day1/members/tien/10_0239.webp,development,screen_present,screen_present,text_pixelate_screen_blur,,0,1,0,2,0.3557694253232547,,,,0.3557694253232547,0.6942934966543879,0.9839478386361532,0.0297680422663688,0.012559676827029,0.0156054550025146,0.9843945449974854,1.0,0.5846122161576923
MM2_0003,day1/members/onanong/10_0305.webp,development,screen_present,screen_present,text_fill_screen_blur,,0,1,0,1,0.4607243239983587,,,,0.4607243239983587,0.8091644330447221,0.9885020968566944,0.0185086615383625,0.0013002973240832,0.0148244440060807,0.9851755559939191,1.0,0.6716290475119878
MM2_0003,day1/members/onanong/10_0305.webp,development,screen_present,screen_present,text_blur_screen_blur,,0,1,0,1,0.4607243239983587,,,,0.4607243239983587,0.8091644330447221,0.9885020968566944,0.0185086615383625,0.0013002973240832,0.0139533409965224,0.9860466590034777,1.0,0.6717161578129437
MM2_0003,day1/members/onanong/10_0305.webp,development,screen_present,screen_present,text_pixelate_screen_pixelate,,0,1,0,1,0.3620354827196684,,,,0.3620354827196684,0.952872066265513,0.9956293245229512,0.0044942595995962,0.0009653121902874,0.011532503995113,0.9884674960048868,1.0,0.6657261108399768
MM2_0003,day1/members/onanong/10_0305.webp,development,screen_present,screen_present,text_fill_screen_fill,,0,1,0,1,0.9819587109821984,,,,0.9819587109821984,0.5569834720725919,0.967610734032612,0.0426821894943714,0.0025906838453914,0.0092792729992652,0.9907207270007348,1.0,0.8571464698129503
MM2_0003,day1/members/onanong/10_0305.webp,development,screen_present,screen_present,text_blur_screen_fill,,0,1,0,1,0.9819587109821984,,,,0.9819587109821984,0.5569834720725919,0.967610734032612,0.0426821894943714,0.0025906838453914,0.0071525330131407,0.9928474669868592,1.0,0.8573591438115628
MM2_0003,day1/members/onanong/10_0305.webp,development,screen_present,screen_present,text_pixelate_screen_blur,,0,1,0,1,0.4607243239983587,,,,0.4607243239983587,0.8091644330447221,0.9885020968566944,0.0185086615383625,0.0013002973240832,0.011569893991691,0.9884301060083088,1.0,0.6719545025134268
MM2_0004,day1/members/tien/10_0531.webp,test,no_text_screen_risk,screen_present,text_fill_screen_blur,,0,0,0,4,1.0,,,,,0.4888026971113261,0.9776053942226522,0.0546061806380748,0.0421431327160493,0.0190956910082604,0.9809043089917396,1.0,0.8447312400325718
MM2_0004,day1/members/tien/10_0531.webp,test,no_text_screen_risk,screen_present,text_blur_screen_blur,,0,0,0,4,1.0,,,,,0.4888026971113261,0.9776053942226522,0.0546061806380748,0.0421431327160493,0.0208898950077127,0.9791101049922872,1.0,0.8445518196326266
MM2_0004,day1/members/tien/10_0531.webp,test,no_text_screen_risk,screen_present,text_pixelate_screen_pixelate,,0,0,0,4,1.0,,,,,0.8516886973813573,0.9921072114379008,0.0144364908337593,0.0255864197530864,0.0127692370006116,0.9872307629993884,1.0,0.954229685514346
MM2_0004,day1/members/tien/10_0531.webp,test,no_text_screen_risk,screen_present,text_fill_screen_fill,,0,0,0,4,1.0,,,,,0.4519598901880506,0.9039197803761012,0.0842787623405456,0.081730324074074,0.0100041370023973,0.9899958629976028,1.0,0.8345875533561754
MM2_0004,day1/members/tien/10_0531.webp,test,no_text_screen_risk,screen_present,text_blur_screen_fill,,0,0,0,4,1.0,,,,,0.4519598901880506,0.9039197803761012,0.0842787623405456,0.081730324074074,0.0108308399940142,0.9891691600059858,1.0,0.8345048830570138
MM2_0004,day1/members/tien/10_0531.webp,test,no_text_screen_risk,screen_present,text_pixelate_screen_blur,,0,0,0,4,1.0,,,,,0.4888026971113261,0.9776053942226522,0.0546061806380748,0.0421431327160493,0.0227637149946531,0.9772362850053468,1.0,0.8443644376339325
MM2_0005,day1/members/bjorn/11_0716.webp,development,no_text_screen_risk,no_text_screen_risk,text_fill_screen_blur,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.0067336059873923,0.9932663940126076,1.0,0.9993266394012608
MM2_0005,day1/members/bjorn/11_0716.webp,development,no_text_screen_risk,no_text_screen_risk,text_blur_screen_blur,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.0089321400009794,0.9910678599990206,1.0,0.999106785999902
MM2_0005,day1/members/bjorn/11_0716.webp,development,no_text_screen_risk,no_text_screen_risk,text_pixelate_screen_pixelate,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.0138180920039303,0.9861819079960696,1.0,0.998618190799607
MM2_0005,day1/members/bjorn/11_0716.webp,development,no_text_screen_risk,no_text_screen_risk,text_fill_screen_fill,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.0088784719991963,0.9911215280008036,1.0,0.9991121528000804
MM2_0005,day1/members/bjorn/11_0716.webp,development,no_text_screen_risk,no_text_screen_risk,text_blur_screen_fill,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.0093092949973652,0.9906907050026348,1.0,0.9990690705002636
MM2_0005,day1/members/bjorn/11_0716.webp,development,no_text_screen_risk,no_text_screen_risk,text_pixelate_screen_blur,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.0112315589940408,0.9887684410059592,1.0,0.998876844100596
MM2_0006,day1/members/bjorn/11_0618.webp,development,no_text_screen_risk,no_text_screen_risk,text_fill_screen_blur,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.007015256996965,0.992984743003035,1.0,0.9992984743003036
MM2_0006,day1/members/bjorn/11_0618.webp,development,no_text_screen_risk,no_text_screen_risk,text_blur_screen_blur,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.0084665149915963,0.9915334850084035,1.0,0.9991533485008404
MM2_0006,day1/members/bjorn/11_0618.webp,development,no_text_screen_risk,no_text_screen_risk,text_pixelate_screen_pixelate,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.0077363140007946,0.9922636859992052,1.0,0.9992263685999204
MM2_0006,day1/members/bjorn/11_0618.webp,development,no_text_screen_risk,no_text_screen_risk,text_fill_screen_fill,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.0096261739963665,0.9903738260036334,1.0,0.9990373826003632
MM2_0006,day1/members/bjorn/11_0618.webp,development,no_text_screen_risk,no_text_screen_risk,text_blur_screen_fill,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.0120053389982786,0.9879946610017214,1.0,0.998799466100172
MM2_0006,day1/members/bjorn/11_0618.webp,development,no_text_screen_risk,no_text_screen_risk,text_pixelate_screen_blur,,0,0,0,0,1.0,,,,,1.0,1.0,0.0,0.0,0.0106272989942226,0.9893727010057772,1.0,0.9989372701005778
MM2_0007,day1/members/florian/11_0315.webp,development,text_present,text_and_screen_present,text_fill_screen_blur,,1,0,8,1,0.006500586179896,0.0,0.0,0.0216686205996535,,0.4846664640407507,0.9693329280815014,0.0669546574354171,0.0482935214322653,0.0192293970030732,0.9807706029969268,1.0,0.3467272926018659
MM2_0007,day1/members/florian/11_0315.webp,development,text_present,text_and_screen_present,text_blur_screen_blur,,1,0,8,1,0.0013329486651457,0.0,0.0,0.0044431622171523,,0.5477723276869249,0.9771832567961596,0.0440819300711154,0.0452660163602521,0.0207118190010078,0.9792881809989922,1.0,0.3629269907385495
MM2_0007,day1/members/florian/11_0315.webp,development,text_present,text_and_screen_present,text_pixelate_screen_pixelate,,1,0,8,1,0.001399734626883,0.0,0.0,0.0046657820896102,,0.8438434908901016,0.9911919889577946,0.0151752503588795,0.0308089468427895,0.0117327329935505,0.9882672670064494,1.0,0.4526796412811169
MM2_0007,day1/members/florian/11_0315.webp,development,text_present,text_and_screen_present,text_fill_screen_fill,,1,0,8,1,0.006500586179896,0.0,0.0,0.0216686205996535,,0.4601901622137505,0.9203803244275012,0.1013529151678085,0.0746533339195722,0.0118703459884272,0.9881296540115728,1.0,0.3401203071552304
MM2_0007,day1/members/florian/11_0315.webp,development,text_present,text_and_screen_present,text_blur_screen_fill,,1,0,8,1,0.0013329486651457,0.0,0.0,0.0044431622171523,,0.4641153265710796,0.9282306531421592,0.0801362693309784,0.071625828847559,0.0102132710017031,0.9897867289982968,1.0,0.3388797452037264
MM2_0007,day1/members/florian/11_0315.webp,development,text_present,text_and_screen_present,text_pixelate_screen_blur,,1,0,8,1,0.001399734626883,0.0,0.0,0.0046657820896102,,0.5502150612998988,0.977320767030912,0.0438445322215557,0.0450440830700492,0.0206969419959932,0.9793030580040069,1.0,0.3636946915038118
MM2_0008,day1/members/klaus/11_0127.webp,development,text_present,text_present,text_fill_screen_blur,,1,0,1,0,0.0,0.0,0.0,0.0,,0.9691821999709584,0.9984640612921672,0.0030049830675125,0.0009634176553166,0.0106760670023504,0.9893239329976496,1.0,0.4896870532910524
MM2_0008,day1/members/klaus/11_0127.webp,development,text_present,text_present,text_blur_screen_blur,,1,0,1,0,0.0,0.0,0.0,0.0,,0.9966084708631544,0.9998198191280556,0.0003301438700873,0.0006331030306366,0.0104618259938433,0.9895381740061566,1.0,0.497936358659562
MM2_0008,day1/members/klaus/11_0127.webp,development,text_present,text_present,text_pixelate_screen_pixelate,,1,0,1,0,0.0,0.0,0.0,0.0,,0.9977075781997956,0.9998210432657434,0.0002202943433076,0.0006448999815181,0.0107703039975604,0.9892296960024396,1.0,0.4982352430601826
MM2_0008,day1/members/klaus/11_0127.webp,development,text_present,text_present,text_fill_screen_fill,,1,0,1,0,0.0,0.0,0.0,0.0,,0.9691821999709584,0.9984640612921672,0.0030049830675125,0.0009634176553166,0.00685713099665,0.99314286900335,1.0,0.4900689468916225
MM2_0008,day1/members/klaus/11_0127.webp,development,text_present,text_present,text_blur_screen_fill,,1,0,1,0,0.0,0.0,0.0,0.0,,0.9966084708631544,0.9998198191280556,0.0003301438700873,0.0006331030306366,0.010988456007908,0.989011543992092,1.0,0.4978836956581555
MM2_0008,day1/members/klaus/11_0127.webp,development,text_present,text_present,text_pixelate_screen_blur,,1,0,1,0,0.0,0.0,0.0,0.0,,0.9977075781997956,0.9998210432657434,0.0002202943433076,0.0006448999815181,0.0089154659945052,0.9910845340054948,1.0,0.4984207268604881
MM2_0009,day1/members/allie/12_0701.webp,development,text_and_screen_present,text_and_screen_present,text_fill_screen_blur,,1,1,162,1,0.5802587291531951,1.0,1.0,0.6472535986119801,0.2663413787227963,0.4579307156516145,0.9158614313032292,0.0954022780060768,0.018693194664255,0.0287564400059636,0.9712435599940364,1.0,0.6246329352714856
MM2_0009,day1/members/allie/12_0701.webp,development,text_and_screen_present,text_and_screen_present,text_blur_screen_blur,,1,1,162,1,0.5389388501328419,1.0,1.0,0.371787738476292,0.2663413787227963,0.4751556171415461,0.9503112342830922,0.0902699902653694,0.0175220438616323,0.0334819319978123,0.9665180680021876,1.0,0.6086679170091035
MM2_0009,day1/members/allie/12_0701.webp,development,text_and_screen_present,text_and_screen_present,text_pixelate_screen_pixelate,,1,1,162,1,0.4721635647864213,1.0,1.0,0.3663791588465898,0.1344133819188657,0.5416572983233967,0.9680299898324092,0.0442357696592807,0.0121546461677594,0.0165117349970387,0.9834882650029612,1.0,0.5969277983905258
MM2_0009,day1/members/allie/12_0701.webp,development,text_and_screen_present,text_and_screen_present,text_fill_screen_fill,,1,1,162,1,0.9431522009241046,1.0,1.0,0.6472535986119801,0.9921283222646152,0.4196414218864773,0.8392828437729546,0.1177134662866592,0.029513904589645,0.0151405770011479,0.984859422998852,1.0,0.7959544693278807
MM2_0009,day1/members/allie/12_0701.webp,development,text_and_screen_present,text_and_screen_present,text_blur_screen_fill,,1,1,162,1,0.9018323219037514,1.0,1.0,0.371787738476292,0.9921283222646152,0.4368663233764087,0.8737326467528174,0.1128651425242424,0.0283427537870223,0.0189849110029172,0.9810150889970828,1.0,0.7800775668645066
MM2_0009,day1/members/allie/12_0701.webp,development,text_and_screen_present,text_and_screen_present,text_pixelate_screen_blur,,1,1,162,1,0.5381275631883866,1.0,1.0,0.3663791588465898,0.2663413787227963,0.4756335114341687,0.9512670228683376,0.0805371552705764,0.0177323083879719,0.0268192529911175,0.9731807470088824,1.0,0.6090719097253322
MM2_0010,day1/members/onanong/12_0397.webp,development,screen_present,screen_present,text_fill_screen_blur,,0,1,0,3,0.2525206394869257,,,,0.2525206394869257,0.5348304690307342,0.9723689618480132,0.0451354011893272,0.0352216264717034,0.018311669002287,0.9816883309977128,1.0,0.4848782935524544
MM2_0010,day1/members/onanong/12_0397.webp,development,screen_present,screen_present,text_blur_screen_blur,,0,1,0,3,0.2525206394869257,,,,0.2525206394869257,0.5348304690307342,0.9723689618480132,0.0451354011893272,0.0352216264717034,0.0179036840127082,0.9820963159872916,1.0,0.4849190920514122
MM2_0010,day1/members/onanong/12_0397.webp,development,screen_present,screen_present,text_pixelate_screen_pixelate,,0,1,0,3,0.1969498524838062,,,,0.1969498524838062,0.8462675483210176,0.98941577398445,0.0148440338671207,0.0247224334147885,0.0118118229875108,0.9881881770124892,1.0,0.5511740084394573
MM2_0010,day1/members/onanong/12_0397.webp,development,screen_present,screen_present,text_fill_screen_fill,,0,1,0,3,0.9994350183583184,,,,0.9994350183583184,0.4614068258591056,0.9228136517182112,0.0661118030548095,0.0423521050991259,0.0113078790018334,0.9886921209981664,1.0,0.8370087690367075
MM2_0010,day1/members/onanong/12_0397.webp,development,screen_present,screen_present,text_blur_screen_fill,,0,1,0,3,0.9994350183583184,,,,0.9994350183583184,0.4614068258591056,0.9228136517182112,0.0661118030548095,0.0423521050991259,0.0124413370067486,0.9875586629932512,1.0,0.8368954232362159
MM2_0010,day1/members/onanong/12_0397.webp,development,screen_present,screen_present,text_pixelate_screen_blur,,0,1,0,3,0.2525206394869257,,,,0.2525206394869257,0.5348304690307342,0.9723689618480132,0.0451354011893272,0.0352216264717034,0.0221069760009413,0.9778930239990586,1.0,0.4844987628525889
MM2_0011,day1/members/onanong/12_0645.webp,development,screen_present,text_and_screen_present,text_fill_screen_blur,,0,1,1,2,0.2670926627588983,,,,0.2670926627588983,0.4818283574851841,0.9636567149703682,0.0609273239970207,0.0303155900290129,0.0163678769895341,0.983632123010466,1.0,0.476458050926051
MM2_0011,day1/members/onanong/12_0645.webp,development,screen_present,text_and_screen_present,text_blur_screen_blur,,0,1,1,2,0.2670926627588983,,,,0.2670926627588983,0.6928204541468845,0.9817433844137642,0.0298051238059997,0.0279669212702548,0.0189497290120925,0.9810502709879074,1.0,0.5394974947223052
MM2_0011,day1/members/onanong/12_0645.webp,development,screen_present,text_and_screen_present,text_pixelate_screen_pixelate,,0,1,1,2,0.2203164415764248,,,,0.2203164415764248,0.8993310526307288,0.9920813382259732,0.0096709616482257,0.0214972269919276,0.0122344830015208,0.9877655169984793,1.0,0.5787340882772789
MM2_0011,day1/members/onanong/12_0645.webp,development,screen_present,text_and_screen_present,text_fill_screen_fill,,0,1,1,2,0.999688044444876,,,,0.999688044444876,0.467657674105669,0.935315348211338,0.0758873671293258,0.0332445181281702,0.0071090239944169,0.9928909760055832,1.0,0.839430422054697
MM2_0011,day1/members/onanong/12_0645.webp,development,screen_present,text_and_screen_present,text_blur_screen_fill,,0,1,1,2,0.999688044444876,,,,0.999688044444876,0.5123692776271489,0.9534020176547342,0.0464331731200218,0.030895849369412,0.0141593699954682,0.9858406300045316,1.0,0.8521388685110358
MM2_0011,day1/members/onanong/12_0645.webp,development,screen_present,text_and_screen_present,text_pixelate_screen_blur,,0,1,1,2,0.2670926627588983,,,,0.2670926627588983,0.746119429741537,0.98557212466843,0.0246666632592678,0.0244754968717311,0.0166350820072693,0.9833649179927306,1.0,0.5557186521011833
MM2_0012,day1/members/onanong/12_0150.webp,development,screen_present,text_and_screen_present,text_fill_screen_blur,,0,1,1,1,0.2033488941818403,,,,0.2033488941818403,0.4770676874966222,0.9541353749932444,0.0621488094329834,0.0369880849049159,0.0139889220008626,0.9860110779991372,1.0,0.4433958611398205
MM2_0012,day1/members/onanong/12_0150.webp,development,screen_present,text_and_screen_present,text_blur_screen_blur,,0,1,1,1,0.2033488941818403,,,,0.2033488941818403,0.6832932958803832,0.9804099758073208,0.0306911692023277,0.0310995817880533,0.019075210992014,0.980924789007986,1.0,0.5047549147558338
MM2_0012,day1/members/onanong/12_0150.webp,development,screen_present,text_and_screen_present,text_pixelate_screen_pixelate,,0,1,1,1,0.1637587009548834,,,,0.1637587009548834,0.9110887301120578,0.990476129383528,0.0084149334579706,0.0258048607275309,0.0120611690072109,0.987938830992789,1.0,0.5539998526103379
MM2_0012,day1/members/onanong/12_0150.webp,development,screen_present,text_and_screen_present,text_fill_screen_fill,,0,1,1,1,0.9914902351769644,,,,0.9914902351769644,0.4667359557639064,0.9334719115278128,0.0724916383624076,0.0381953759962124,0.0082652739947661,0.9917347260052338,1.0,0.8349393769181775
MM2_0012,day1/members/onanong/12_0150.webp,development,screen_present,text_and_screen_present,text_blur_screen_fill,,0,1,1,1,0.9914902351769644,,,,0.9914902351769644,0.5510144097449345,0.9597465123418892,0.042885884642601,0.0323068728793498,0.0116633359866682,0.9883366640133318,1.0,0.8598831069132956
MM2_0012,day1/members/onanong/12_0150.webp,development,screen_present,text_and_screen_present,text_pixelate_screen_blur,,0,1,1,1,0.2033488941818403,,,,0.2033488941818403,0.789903808392624,0.9864305779487686,0.020331148058176,0.0261737552276493,0.0126374639949062,0.9873625360050936,1.0,0.5373818432092167
MM2_0013,day1/members/onanong/13_0656.webp,development,screen_present,text_and_screen_present,text_fill_screen_blur,,0,3,2,4,0.3287941069150761,,,,0.3287941069150761,0.4740762153390618,0.9481524306781236,0.106306567788124,0.0560383729369812,0.0390913640003418,0.960908635999658,1.0,0.5027107816592224
