split,policy,n_images,privacy_score,utility_score,runtime_score,success_score,multimodal_anonymisation_score,SSIM,LPIPS,non_sensitive_change_fraction,runtime_seconds,adaptive_minus_fixed_mean,difference_ci_low,difference_ci_high,adaptive_win_count,fixed_win_count,tie_count
all,adaptive_multimodal_policy,250,0.8696660167844367,0.6648808521237494,0.990167710459631,1.0,0.8333140350753062,0.9101954773491846,0.082506093859738,0.04405385137533444,2.458072385092229,0.0,0.0,0.0,0,0,250
all,fixed_text_blur_screen_fill,250,0.8696660167844368,0.6648808521237494,0.9881831165753537,1.0,0.8331155756868786,0.9101954773491846,0.082506093859738,0.044053851375334435,2.9542208561615433,0.00019845938842772526,0.00015704061899897756,0.00024233242667308884,80,5,165
all,fixed_text_fill_screen_fill,250,0.8833011763107183,0.6232653040313424,0.9893134682921227,1.0,0.827561526193974,0.9022456920827331,0.09138331305701283,0.047214814014992314,2.6716329269693104,0.005752508881332188,0.0010380939465821381,0.010243112430181878,200,50,0
all,fixed_text_blur_screen_area_aware_t15,250,0.8171186961328833,0.6740120322930157,0.9821071431162273,1.0,0.808973672065969,0.9284578376877171,0.07124896851188532,0.039706356358608544,4.473214220943191,0.024340363009337243,0.018515824569885896,0.03049846312853135,150,100,0
all,fixed_text_blur_screen_area_aware_t10,250,0.8099242859664687,0.6750837925267384,0.9809855962401925,1.0,0.8055858403652751,0.9306013581551625,0.06976526603109233,0.039057454184264484,4.753600939951866,0.027728194710031198,0.021409254208401153,0.034247452472160066,130,76,44
all,fixed_text_blur_screen_area_aware_t08,250,0.805321982490027,0.6761449102136043,0.9800340058759902,1.0,0.8035078648966938,0.9319186177808325,0.06899036334461561,0.038617245121729094,4.991498531002435,0.029806170178612493,0.023510327102951586,0.036399343296232324,166,84,0
all,fixed_text_fill_screen_area_aware_t15,250,0.8307538556591648,0.6323954480642776,0.9830694344760704,1.0,0.8034025056964728,0.9205059801486037,0.08017645996529608,0.042867318998266436,4.232641380982386,0.029911529378833547,0.022480736762986477,0.03726088030607063,197,53,0
all,fixed_text_fill_screen_area_aware_t10,250,0.8235594454927501,0.6334672031669658,0.9821462965718966,1.0,0.8000345133536545,0.9226494903539799,0.07872198015172034,0.04221841682392237,4.463425857025868,0.03327952172165181,0.02571878542770335,0.04095512633761408,197,53,0
all,fixed_text_blur_screen_area_aware_t05,250,0.7969068156329361,0.6779929192591849,0.9789918954120512,1.0,0.7997504731354286,0.934362317370521,0.0675137397945582,0.03766718680409988,5.252026146987191,0.03356356193987765,0.02705509975911117,0.04029897187142865,173,77,0
all,fixed_text_fill_screen_area_aware_t08,250,0.8189571420163083,0.6345282705648085,0.9813277322960057,1.0,0.7979698254071973,0.923966649401603,0.0779588084788993,0.04177820776138697,4.668066925998573,0.03534420966810898,0.027632679348941085,0.04296214505588374,200,50,0
all,fixed_text_fill_screen_area_aware_t05,250,0.8105419751592176,0.635946805196994,0.9805155018800724,1.0,0.7941065793267141,0.9264103489912917,0.07649909345526248,0.04082814944375777,4.871124529981898,0.03920745574859204,0.03132208162851171,0.04695821036311602,204,46,0
