protocol_id,image_id,evaluation_split,ground_truth_risk_state,predicted_risk_state,variant,privacy_score,text_ocr_suppression_rate,text_ocr_privacy_score,text_region_obscuration,screen_region_obscuration,utility_score,SSIM,LPIPS,non_sensitive_change_fraction,runtime_seconds,runtime_score,success_score,multimodal_anonymisation_score,screen_area_threshold,ground_truth_text_count,ground_truth_screen_count,predicted_text_count,predicted_screen_count,policy,ground_truth_text_present,predicted_text_present,ground_truth_screen_present,predicted_screen_present,missed_text_detection,missed_screen_detection,residual_text_readability,insufficient_screen_obscuration,utility_below_050,any_residual_risk_flag
MM2_0005,day1/members/bjorn/11_0716.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0006,day1/members/bjorn/11_0618.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0019,day1/members/luca/14_0671.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0021,day1/members/luca/15_0032.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0026,day1/members/werner/16_0278.webp,development,screen_present,no_text_screen_risk,no_action_copy,0.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,,,,,,adaptive_multimodal_policy,False,False,True,False,False,True,False,True,False,True
MM2_0028,day1/members/cathal/16_0128.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0032,day1/members/tien/17_0143.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0037,day1/members/werner/19_0440.webp,test,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0038,day1/members/onanong/19_0549.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
MM2_0040,day1/members/tien/19_0234.webp,development,no_text_screen_risk,no_text_screen_risk,no_action_copy,1.0,,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,adaptive_multimodal_policy,False,False,False,False,False,False,False,False,False,False
