split,policy,n_images,privacy_score,utility_score,runtime_score,success_score,multimodal_anonymisation_score,SSIM,LPIPS,non_sensitive_change_fraction,runtime_seconds,adaptive_minus_fixed_mean,difference_ci_low,difference_ci_high,adaptive_win_count,fixed_win_count,tie_count
all,adaptive_multimodal_policy,250,0.8656706146508808,0.6665586856311527,0.9920489132725634,1.0,0.8320078043420425,0.9103490144355959,0.08234598736331827,0.043989441422144025,1.987771681859158,0.0,0.0,0.0,0,0,250
all,fixed_text_blur_screen_fill,250,0.8656706146508809,0.6665586856311527,0.9909071699880296,1.0,0.8318936300135892,0.9103490144355959,0.08234598736331827,0.043989441422144025,2.273207502992591,0.00011417432845336829,8.399009102431485e-05,0.00014636528353584392,96,37,117
all,fixed_text_fill_screen_fill,250,0.8793057741771625,0.6249435812999825,0.9921507448317716,1.0,0.8263510359617531,0.9023992291691444,0.09122316218446941,0.04715040406180192,1.9623137920571025,0.005656768380289436,0.0008700434602376833,0.01022305588956186,177,26,47
all,fixed_text_pixelate_screen_pixelate,250,0.5300465985877172,0.8395240299758254,0.9905338992920588,1.0,0.7159338982158122,0.9861100645435424,0.016155166192147588,0.01831219441962672,2.3665251769853057,0.11607390612623039,0.09666727398777838,0.13607484144490142,165,85,0
all,fixed_text_pixelate_screen_blur,250,0.5826329819089422,0.7324051501779404,0.9805718647402245,1.0,0.7090952224818757,0.9705606699769431,0.04835083064500213,0.026100404983313976,4.857033814943861,0.12291258186016685,0.10431090192669204,0.14156950964542897,171,79,0
all,fixed_text_blur_screen_blur,250,0.5841498643762981,0.7208524307502137,0.9796059868086013,1.0,0.7062912600940733,0.9699323065826133,0.05035855047783844,0.026794830772838243,5.098503297849675,0.12571654424796921,0.10763263457894247,0.14382060670328234,170,35,45
all,fixed_text_fill_screen_blur,250,0.5977850239025797,0.673973009918196,0.9806632843440166,1.0,0.6991507433611502,0.9619791946808507,0.05940624144533649,0.029955793412496125,4.834178913995856,0.13285706098089226,0.11405318058943212,0.1518805327235735,216,34,0
test,adaptive_multimodal_policy,75,0.8546368755983333,0.6689439828212507,0.9928536755469395,1.0,0.8272870002002357,0.9127300547311349,0.07917795467733715,0.04070338709788312,0.5359743339795386,0.0,0.0,0.0,0,0,75
test,fixed_text_blur_screen_fill,75,0.8546368755983333,0.6689439828212507,0.9914323983461751,1.0,0.8271448724801593,0.9127300547311351,0.07917795467733715,0.04070338709788312,0.6425701240368653,0.00014212772007642964,8.270088468658592e-05,0.00020596845865462494,31,10,34
test,fixed_text_fill_screen_fill,75,0.8728000759346431,0.6316002751234887,0.9922304913727567,1.0,0.8251031696416438,0.9067655153510409,0.08625744896009564,0.04353770088829174,0.5827131470432505,0.0021838305585920414,-0.005186772518951608,0.008464585125631025,55,7,13
test,fixed_text_pixelate_screen_pixelate,75,0.5201096367312058,0.8516316309817104,0.9907275935202293,1.0,0.7146170670121389,0.986962089575324,0.014915959993377328,0.016128603872932613,0.6954304859827971,0.11266993318809694,0.07987645160267558,0.1463661825989714,52,23,0
test,fixed_text_pixelate_screen_blur,75,0.5708482504967411,0.7278313540720197,0.9809102515468839,1.0,0.7018645566246647,0.9718375689331695,0.04606455189952006,0.023677379060239978,1.4317311339837033,0.12542244357557109,0.09353185375687685,0.15841973189383585,53,22,0
test,fixed_text_blur_screen_blur,75,0.5749422948054319,0.7189268383336604,0.9803343618948323,1.0,0.7011826350922973,0.9714091229810148,0.04748097405070439,0.024250824944242876,1.4749228578875773,0.12610436510793865,0.09450516765450749,0.15884950301413103,54,8,13
test,fixed_text_fill_screen_blur,75,0.5931054951417414,0.6755960362714062,0.9809693411066353,1.0,0.697328492562956,0.96544159642091,0.05464695125818252,0.027085138734651508,1.4272994170023594,0.12995850763727976,0.09716585854833204,0.16367378011008743,65,10,0
